報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年31週(07月31日～08月06日),2023年08月09日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週,24週,24週,25週,25週,26週,26週,27週,27週,28週,28週,29週,29週,30週,30週,31週,31週
福井県,10081,272.46,122,3.3,203,5.49,449,12.14,939,25.38,1312,35.46,1666,45.03,1811,48.95,1227,33.16,868,23.46,684,18.49,336,9.08,162,4.38,110,2.97,60,1.62,33,0.89,14,0.38,4,0.11,10,0.26,13,0.33,5,0.13,4,0.1,7,0.18,2,0.05,15,0.38,6,0.15,6,0.15,1,0.03,1,0.03,7,0.18,2,0.05,2,0.05
山梨県,2092,51.02,134,3.27,128,3.12,76,1.85,54,1.32,103,2.51,112,2.73,80,1.95,138,3.37,119,2.9,156,3.8,177,4.32,145,3.54,123,3,81,1.98,59,1.44,103,2.51,66,1.61,66,1.61,25,0.61,9,0.22,18,0.44,26,0.63,8,0.2,9,0.22,3,0.07,1,0.02,11,0.27,12,0.29,31,0.76,11,0.27,8,0.2
長野県,9227,106.06,286,3.25,350,3.98,490,5.57,342,3.89,489,5.56,820,9.43,952,10.94,963,11.07,794,9.13,937,10.77,693,7.97,433,4.98,291,3.34,135,1.55,160,1.84,197,2.26,117,1.34,145,1.67,127,1.44,196,2.23,91,1.03,65,0.74,31,0.35,18,0.2,19,0.22,22,0.25,13,0.15,14,0.16,6,0.07,12,0.14,19,0.22
岐阜県,5183,60.27,255,2.93,350,4.02,297,3.41,371,4.26,374,4.3,388,4.46,274,3.15,268,3.08,289,3.32,335,3.85,342,3.93,278,3.2,201,2.36,158,1.82,125,1.44,90,1.03,59,0.68,115,1.32,74,0.85,82,0.94,79,0.91,80,0.92,54,0.62,47,0.54,48,0.55,14,0.16,18,0.21,29,0.33,38,0.44,23,0.26,28,0.32
静岡県,10350,74.46,444,3.19,642,4.62,634,4.56,418,3.01,465,3.35,589,4.24,449,3.23,418,3.01,578,4.16,829,5.96,638,4.62,471,3.39,331,2.28,183,1.33,298,2.16,353,2.56,295,2.12,217,1.56,129,0.93,242,1.74,251,1.81,309,2.22,189,1.36,157,1.13,110,0.79,75,0.54,88,0.63,154,1.11,125,0.9,139,1,130,0.94
愛知県,26699,136.92,907,4.65,1367,7.01,1552,7.96,1458,7.48,1959,10.05,1818,9.32,1750,8.97,1575,8.08,1581,8.11,2179,11.17,1954,10.02,1600,8.21,1027,5.24,807,4.14,606,3.11,590,3.03,490,2.51,360,1.85,266,1.36,342,1.75,316,1.62,287,1.47,280,1.44,282,1.45,233,1.19,201,1.03,229,1.17,216,1.11,161,0.83,164,0.84,142,0.73
三重県,10906,153.61,309,4.35,477,6.72,625,8.8,580,8.29,703,9.9,477,6.63,493,6.85,583,8.1,577,8.01,574,7.97,681,9.46,567,7.88,310,4.31,276,3.83,255,3.54,418,5.81,399,5.54,417,5.79,191,2.65,134,1.86,130,1.81,184,2.56,221,3.07,110,1.53,128,1.78,169,2.35,190,2.64,194,2.69,217,3.01,174,2.42,143,1.99
滋賀県,9383,159.03,195,3.25,332,5.53,451,7.52,579,9.65,644,10.73,884,14.73,904,15.07,862,14.37,851,14.18,951,15.85,705,11.75,497,8.28,237,3.95,141,2.43,134,2.23,166,2.77,112,1.9,93,1.63,40,0.67,52,0.87,45,0.75,51,0.85,29,0.48,41,0.68,11,0.18,17,0.29,28,0.47,67,1.14,90,1.5,116,1.93,58,0.97
京都府,25155,201.24,691,5.53,1200,9.6,1898,15.18,2510,20.08,3351,26.81,3264,26.11,2974,23.79,2361,18.89,1757,14.17,1566,12.53,970,7.76,606,4.89,267,2.17,185,1.48,130,1.04,135,1.08,79,0.64,41,0.33,66,0.53,114,0.9,76,0.6,116,0.93,78,0.62,42,0.33,58,0.46,61,0.49,91,0.72,107,0.85,128,1.02,110,0.87,123,0.99
大阪府,61275,207.71,2589,8.69,3719,12.48,6195,20.79,7434,24.95,9024,30.28,8576,28.78,6703,22.49,4401,14.82,3100,10.44,2491,8.36,1591,5.34,964,3.23,505,1.69,344,1.17,231,0.78,233,0.8,248,0.84,155,0.53,138,0.48,207,0.72,187,0.64,212,0.73,213,0.73,191,0.66,161,0.55,172,0.58,225,0.76,282,0.95,256,0.86,275,0.92,253,0.85
兵庫県,30835,155.73,824,4.12,1644,8.26,2413,12.13,2790,14.02,3376,16.96,3110,15.63,2828,14.21,2263,11.37,1819,9.14,1958,9.84,1316,6.61,929,4.67,512,2.56,353,1.79,294,1.49,234,1.19,259,1.32,247,1.25,284,1.43,498,2.5,333,1.67,234,1.18,192,0.96,229,1.15,239,1.2,196,0.98,337,1.69,381,1.91,297,1.49,228,1.15,218,1.1
奈良県,8235,149.73,220,4,412,7.49,580,10.55,739,13.44,1044,18.98,1085,19.73,899,16.35,723,13.15,602,10.95,452,8.22,384,6.98,326,5.93,151,2.75,79,1.44,53,0.96,63,1.15,38,0.69,32,0.58,35,0.64,50,0.91,33,0.6,19,0.35,10,0.18,35,0.64,16,0.29,22,0.4,19,0.35,15,0.27,36,0.65,35,0.64,28,0.51
和歌山県,5423,110.67,210,4.29,418,8.53,520,10.61,564,11.51,545,11.12,536,10.51,525,10.71,501,10.22,440,8.98,335,6.84,232,4.73,130,2.65,56,1.14,36,0.73,33,0.67,26,0.53,13,0.27,9,0.18,30,0.61,24,0.49,15,0.31,30,0.61,20,0.41,16,0.33,11,0.22,17,0.35,21,0.43,30,0.61,47,0.96,10,0.2,23,0.47
鳥取県,1987,68.52,121,4.17,122,4.21,112,3.86,66,2.28,83,2.86,93,3.21,90,3.1,82,2.83,121,4.17,178,6.14,132,4.55,143,4.93,104,3.59,42,1.45,40,1.38,26,0.9,70,2.41,59,2.03,40,1.38,47,1.62,26,0.9,25,0.86,9,0.31,4,0.14,3,0.1,8,0.28,6,0.21,20,0.69,28,0.97,38,1.31,49,1.69
島根県,3346,88.05,80,2.11,100,2.63,163,4.29,171,4.5,223,5.87,313,8.24,297,7.82,260,6.84,332,8.74,255,6.71,160,4.21,147,3.87,131,3.45,108,2.84,67,1.76,61,1.61,66,1.74,89,2.34,36,0.95,46,1.21,33,0.87,37,0.97,50,1.32,30,0.79,27,0.71,16,0.42,17,0.45,7,0.18,3,0.08,10,0.26,11,0.29
岡山県,9984,118.86,307,3.65,442,5.26,490,5.83,515,6.13,657,7.82,670,7.98,789,9.39,787,9.37,690,8.21,1037,12.35,871,10.37,589,7.01,385,4.58,270,3.21,207,2.46,248,2.95,218,2.6,145,1.73,125,1.49,113,1.35,73,0.87,48,0.57,40,0.48,15,0.18,22,0.26,16,0.19,36,0.43,39,0.46,59,0.7,42,0.5,39,0.46
広島県,16323,144.45,274,2.4,478,4.16,942,8.19,1010,8.78,1004,8.73,1061,9.23,965,8.39,880,7.65,1033,8.98,1166,10.14,1114,9.69,1158,10.07,913,8.01,626,5.49,434,3.81,479,4.2,435,3.82,312,2.76,222,1.98,323,2.88,224,2,201,1.79,168,1.49,155,1.37,154,1.36,104,0.93,99,0.88,81,0.72,114,1.02,121,1.08,73,0.66
山口県,7977,120.86,205,3.11,347,5.34,277,4.2,273,4.14,331,5.02,310,4.7,402,6.09,498,7.55,524,7.94,668,10.12,616,9.33,470,7.12,224,3.39,143,2.13,139,2.14,165,2.54,110,1.69,101,1.51,126,1.88,116,1.73,170,2.54,181,2.7,160,2.39,130,1.94,94,1.4,120,1.79,267,3.99,271,4.04,130,1.94,207,3.09,202,3.01
徳島県,3176,85.84,172,4.65,264,7.14,228,6.16,203,5.49,172,4.65,203,5.49,224,6.05,263,7.11,288,7.78,378,10.22,227,6.14,95,2.57,76,2.05,48,1.3,22,0.59,39,1.05,63,1.7,36,0.97,26,0.7,18,0.49,32,0.86,11,0.3,10,0.27,6,0.16,1,0.03,12,0.32,12,0.32,5,0.14,7,0.19,15,0.41,20,0.54
香川県,7002,148.98,171,3.64,441,9.38,444,9.45,424,9.02,634,13.49,804,17.11,795,16.91,653,13.89,547,11.64,662,14.09,479,10.19,414,8.81,183,3.89,90,1.91,39,0.83,43,0.91,28,0.6,22,0.47,8,0.17,19,0.4,5,0.11,33,0.7,16,0.34,6,0.13,5,0.11,7,0.15,8,0.17,2,0.04,5,0.11,4,0.09,11,0.23
愛媛県,9530,158.83,451,7.39,625,10.25,544,8.92,544,8.92,575,9.43,368,6.03,387,6.34,457,7.49,430,7.05,565,9.26,416,6.82,261,4.28,234,3.9,166,2.72,130,2.13,77,1.26,52,0.85,63,1.03,115,1.89,223,3.66,224,3.67,222,3.64,219,3.59,232,3.8,151,2.48,143,2.34,264,4.33,327,5.36,341,5.59,407,6.67,317,5.2
高知県,5438,123.59,129,2.87,323,7.18,386,8.58,452,10.04,530,11.78,483,10.73,455,10.11,349,7.76,354,7.87,295,6.56,162,3.6,143,3.18,101,2.24,75,1.67,146,3.24,145,3.22,86,1.91,52,1.16,42,0.95,43,0.98,91,2.07,98,2.23,98,2.23,115,2.61,81,1.84,66,1.5,49,1.11,44,1,21,0.48,9,0.2,15,0.34
福岡県,48433,244.61,1912,9.66,3456,17.45,4100,20.71,4296,21.7,4822,24.35,4826,24.37,3930,19.85,3060,15.45,2879,14.54,2939,14.84,2026,10.23,1727,8.72,1009,5.1,601,3.04,512,2.59,523,2.64,360,1.82,323,1.63,236,1.19,233,1.18,248,1.25,240,1.21,210,1.06,226,1.14,123,0.62,153,0.77,261,1.32,364,1.84,635,3.21,1076,5.43,1127,5.69
佐賀県,7721,197.97,393,10.08,616,15.79,660,16.92,489,12.54,738,18.92,697,17.87,767,19.67,691,17.72,627,16.08,565,14.49,285,7.31,202,5.18,167,4.28,111,2.85,114,2.92,67,1.72,88,2.26,63,1.62,50,1.28,61,1.56,34,0.87,34,0.87,13,0.33,8,0.21,9,0.23,10,0.26,8,0.21,8,0.21,25,0.64,66,1.69,55,1.41
長崎県,14676,209.66,498,7.11,1032,14.74,1036,14.8,858,12.26,1013,14.47,1250,17.86,1055,15.07,1045,14.93,880,12.57,782,11.17,377,5.39,275,3.93,211,3.01,169,2.41,86,1.23,105,1.5,83,1.19,68,0.97,118,1.69,155,2.21,290,4.14,237,3.39,331,4.73,313,4.47,206,2.94,368,5.26,639,9.13,395,5.64,296,4.23,336,4.8,169,2.41
熊本県,13175,166.77,437,5.46,688,8.6,700,8.75,726,9.08,833,10.41,913,11.41,731,9.14,583,7.29,582,7.28,707,8.84,554,6.93,436,5.52,287,3.63,154,1.97,92,1.19,112,1.44,124,1.57,147,1.84,215,2.72,241,3.05,187,2.37,208,2.63,197,2.49,137,1.71,188,2.35,319,3.99,442,5.53,508,6.35,602,7.53,707,8.84,418,5.23
大分県,11973,206.43,298,5.14,490,8.45,603,10.4,690,11.9,914,15.76,1215,20.95,846,14.59,1009,17.4,872,15.03,939,16.19,645,11.12,500,8.62,280,4.83,205,3.53,154,2.66,133,2.29,90,1.55,46,0.79,94,1.62,99,1.71,84,1.45,86,1.48,156,2.69,122,2.1,87,1.5,108,1.86,186,3.21,286,4.93,231,3.98,204,3.52,301,5.19
宮崎県,15635,274.3,705,12.37,949,16.65,985,17.59,939,16.47,1273,22.33,1349,23.26,1049,18.09,703,12.12,511,8.81,544,9.38,335,5.78,308,5.31,193,3.33,56,0.97,53,0.91,103,1.78,113,1.98,115,1.98,137,2.36,263,4.53,410,7.07,309,5.33,379,6.53,473,8.16,395,6.81,426,7.34,512,8.83,536,9.24,579,9.98,513,8.84,420,7.24
鹿児島県,22095,242.8,599,6.58,1248,13.57,894,9.72,762,8.28,805,8.75,720,7.83,387,4.21,387,4.21,355,3.86,407,4.42,332,3.61,190,2.07,102,1.13,104,1.16,75,0.83,170,1.89,170,1.89,143,1.59,149,1.64,171,1.88,216,2.37,322,3.54,464,5.1,960,10.55,1646,18.09,1826,20.07,2485,27.31,2462,27.05,1699,18.67,1151,12.65,694,7.63
沖縄県,16997,314.76,1032,18.43,1861,33.23,2171,38.77,2309,41.23,2642,47.18,1664,30.25,1020,18.55,702,12.76,443,8.05,620,11.27,496,9.02,416,7.56,244,4.36,133,2.38,112,2.04,74,1.35,45,0.82,39,0.72,44,0.81,33,0.61,40,0.74,58,1.07,45,0.83,38,0.7,39,0.72,24,0.44,38,0.7,36,0.67,52,0.96,231,4.28,296,5.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週,24週,24週,25週,25週,26週,26週,27週,27週,28週,28週,29週,29週,30週,30週,31週,31週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,127560,40.6,579,0.18,562,0.18,896,0.28,954,0.3,960,0.3,952,0.3,1012,0.32,965,0.31,1063,0.34,1120,0.36,1233,0.39,1316,0.42,1516,0.48,1695,0.54,2720,0.87,3523,1.12,3390,1.08,3101,0.99,3258,1.04,4896,1.56,6125,1.95,6657,2.12,8316,2.65,9131,2.91,9962,3.17,9998,3.18,10649,3.39,9913,3.16,8169,2.6,7075,2.25,5854,1.87
北海道,7855,56.92,44,0.32,46,0.33,64,0.46,80,0.58,98,0.71,152,1.09,182,1.31,191,1.37,240,1.73,249,1.79,293,2.11,252,1.81,231,1.66,216,1.55,316,2.27,394,2.81,334,2.39,260,1.87,277,2.02,334,2.44,372,2.72,367,2.68,371,2.71,336,2.45,322,2.35,321,2.34,338,2.47,315,2.32,295,2.15,291,2.09,274,1.96
青森県,813,20.33,3,0.07,11,0.26,11,0.26,13,0.31,5,0.12,3,0.07,21,0.5,0,0,0,0,34,0.81,1,0.02,2,0.05,2,0.05,12,0.3,31,0.78,42,1.05,34,0.85,27,0.68,26,0.68,37,0.97,66,1.74,39,1.03,47,1.24,56,1.47,52,1.37,48,1.26,53,1.39,32,0.84,36,0.95,43,1.13,26,0.68
岩手県,1278,32.77,17,0.43,5,0.13,14,0.35,28,0.7,41,1.03,24,0.6,32,0.8,43,1.08,31,0.78,26,0.65,22,0.55,9,0.23,29,0.73,29,0.74,21,0.54,31,0.79,29,0.74,42,1.05,26,0.65,58,1.45,59,1.48,47,1.18,39,0.98,56,1.4,59,1.48,91,2.28,88,2.2,85,2.13,77,1.97,68,1.74,52,1.33
宮城県,2649,47.3,24,0.41,9,0.16,53,0.91,28,0.48,21,0.36,24,0.41,35,0.6,33,0.57,38,0.66,13,0.22,16,0.28,9,0.16,14,0.24,23,0.41,30,0.55,35,0.64,22,0.4,27,0.49,31,0.57,61,1.13,50,0.93,91,1.69,117,2.13,203,3.69,287,5.22,259,4.71,261,4.75,242,4.4,190,3.45,229,4.16,174,3.16
秋田県,513,15.55,2,0.06,5,0.15,2,0.06,9,0.27,6,0.18,3,0.09,5,0.15,1,0.03,2,0.06,4,0.12,2,0.06,2,0.06,2,0.06,1,0.03,2,0.06,3,0.09,8,0.24,1,0.03,10,0.29,8,0.24,44,1.29,26,0.76,23,0.68,20,0.59,39,1.15,29,0.85,43,1.26,37,1.09,41,1.21,69,2.03,64,1.88
山形県,1119,39.96,8,0.28,7,0.24,25,0.86,17,0.59,18,0.62,10,0.34,19,0.66,23,0.79,14,0.48,5,0.17,6,0.21,4,0.14,3,0.1,3,0.11,3,0.11,2,0.07,2,0.07,1,0.04,7,0.25,11,0.39,23,0.82,19,0.68,35,1.25,39,1.39,87,3.11,90,3.21,116,4.14,91,3.25,119,4.25,123,4.39,189,6.75
福島県,2721,55.53,54,1.08,38,0.76,100,2,117,2.34,104,2.08,68,1.36,59,1.18,42,0.84,44,0.88,46,0.92,40,0.8,41,0.82,38,0.76,32,0.64,39,0.78,57,1.14,38,0.76,45,0.9,37,0.76,84,1.71,74,1.51,113,2.31,108,2.2,137,2.8,137,2.8,153,3.12,159,3.24,187,3.82,166,3.39,212,4.33,152,3.1
茨城県,1451,19.35,4,0.05,5,0.07,8,0.11,12,0.16,22,0.29,25,0.33,5,0.07,4,0.05,13,0.17,2,0.03,5,0.07,3,0.04,4,0.05,4,0.05,10,0.13,2,0.03,8,0.1,7,0.09,13,0.17,28,0.37,48,0.64,50,0.67,65,0.87,71,0.95,91,1.21,121,1.61,159,2.12,181,2.41,183,2.44,155,2.07,143,1.91
栃木県,1553,32.35,9,0.19,8,0.17,3,0.06,6,0.13,1,0.02,2,0.04,2,0.04,0,0,2,0.04,3,0.06,1,0.02,2,0.04,4,0.08,8,0.17,9,0.19,15,0.31,35,0.73,18,0.38,16,0.33,30,0.63,39,0.81,62,1.29,76,1.58,96,2,135,2.81,164,3.42,224,4.67,199,4.15,176,3.67,111,2.31,97,2.02
群馬県,1129,21.3,16,0.3,7,0.13,12,0.23,7,0.13,7,0.13,3,0.06,8,0.15,7,0.13,2,0.04,1,0.02,0,0,2,0.04,2,0.04,3,0.06,6,0.11,3,0.06,8,0.15,5,0.09,20,0.37,20,0.37,21,0.39,40,0.74,51,0.94,58,1.07,87,1.61,99,1.83,114,2.11,136,2.52,137,2.54,105,1.94,142,2.63
埼玉県,5089,31.61,16,0.1,9,0.06,15,0.09,23,0.14,13,0.08,23,0.14,22,0.14,23,0.14,27,0.17,28,0.17,35,0.22,37,0.23,53,0.34,68,0.42,110,0.68,136,0.84,116,0.72,92,0.56,122,0.75,197,1.21,281,1.72,321,1.96,415,2.53,431,2.63,470,2.87,405,2.47,448,2.73,404,2.54,320,1.95,245,1.49,184,1.12
千葉県,3038,23.55,10,0.08,6,0.05,10,0.08,24,0.18,22,0.17,11,0.08,4,0.03,2,0.02,0,0,5,0.04,8,0.06,9,0.07,8,0.06,11,0.09,26,0.2,22,0.17,31,0.24,32,0.25,65,0.5,114,0.89,151,1.17,206,1.6,338,2.64,344,2.67,321,2.51,324,2.55,275,2.15,257,2.06,162,1.28,147,1.16,93,0.73
