報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年23週(06月05日～06月11日),2023年06月14日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
愛知県,25273,129.61,907,4.65,1367,7.01,1552,7.96,1458,7.48,1959,10.05,1818,9.32,1750,8.97,1575,8.08,1581,8.11,2179,11.17,1954,10.02,1600,8.21,1027,5.24,807,4.14,606,3.11,590,3.03,490,2.51,360,1.85,266,1.36,387,1.98,368,1.89,329,1.69,343,1.76
三重県,9581,134.94,309,4.35,477,6.72,625,8.8,580,8.29,703,9.9,477,6.63,493,6.85,583,8.1,577,8.01,574,7.97,681,9.46,567,7.88,310,4.31,276,3.83,255,3.54,418,5.81,399,5.54,417,5.79,191,2.65,134,1.86,130,1.81,184,2.56,221,3.07
滋賀県,8955,151.78,195,3.25,332,5.53,451,7.52,579,9.65,644,10.73,884,14.73,904,15.07,862,14.37,851,14.18,951,15.85,705,11.75,497,8.28,237,3.95,141,2.43,134,2.23,166,2.77,112,1.9,93,1.63,40,0.67,52,0.87,45,0.75,51,0.85,29,0.48
京都府,24435,197.06,691,5.53,1200,9.6,1898,15.18,2510,20.08,3351,26.81,3264,26.11,2974,23.79,2361,18.89,1757,14.17,1566,12.53,970,7.76,606,4.89,267,2.17,185,1.48,130,1.04,135,1.08,79,0.64,41,0.33,66,0.53,114,0.9,76,0.6,116,0.93,78,0.62
大阪府,59449,201.52,2589,8.69,3719,12.48,6195,20.79,7434,24.95,9024,30.28,8576,28.78,6703,22.49,4401,14.82,3100,10.44,2491,8.36,1591,5.34,964,3.23,505,1.69,344,1.17,231,0.78,233,0.8,248,0.84,155,0.53,138,0.48,207,0.72,187,0.64,212,0.73,202,0.7
兵庫県,28710,145,824,4.12,1644,8.26,2413,12.13,2790,14.02,3376,16.96,3110,15.63,2828,14.21,2263,11.37,1819,9.14,1958,9.84,1316,6.61,929,4.67,512,2.56,353,1.79,294,1.49,234,1.19,259,1.32,247,1.25,284,1.43,498,2.5,333,1.67,234,1.18,192,0.96
奈良県,8029,145.98,220,4,412,7.49,580,10.55,739,13.44,1044,18.98,1085,19.73,899,16.35,723,13.15,602,10.95,452,8.22,384,6.98,326,5.93,151,2.75,79,1.44,53,0.96,63,1.15,38,0.69,32,0.58,35,0.64,50,0.91,33,0.6,19,0.35,10,0.18
和歌山県,5248,107.1,210,4.29,418,8.53,520,10.61,564,11.51,545,11.12,536,10.51,525,10.71,501,10.22,440,8.98,335,6.84,232,4.73,130,2.65,56,1.14,36,0.73,33,0.67,26,0.53,13,0.27,9,0.18,30,0.61,24,0.49,15,0.31,30,0.61,20,0.41
鳥取県,1831,63.14,121,4.17,122,4.21,112,3.86,66,2.28,83,2.86,93,3.21,90,3.1,82,2.83,121,4.17,178,6.14,132,4.55,143,4.93,104,3.59,42,1.45,40,1.38,26,0.9,70,2.41,59,2.03,40,1.38,47,1.62,26,0.9,25,0.86,9,0.31
島根県,3225,84.87,80,2.11,100,2.63,163,4.29,171,4.5,223,5.87,313,8.24,297,7.82,260,6.84,332,8.74,255,6.71,160,4.21,147,3.87,131,3.45,108,2.84,67,1.76,61,1.61,66,1.74,89,2.34,36,0.95,46,1.21,33,0.87,37,0.97,50,1.32
岡山県,9716,115.67,307,3.65,442,5.26,490,5.83,515,6.13,657,7.82,670,7.98,789,9.39,787,9.37,690,8.21,1037,12.35,871,10.37,589,7.01,385,4.58,270,3.21,207,2.46,248,2.95,218,2.6,145,1.73,125,1.49,113,1.35,73,0.87,48,0.57,40,0.48
広島県,15422,135.28,274,2.4,478,4.16,942,8.19,1010,8.78,1004,8.73,1061,9.23,965,8.39,880,7.65,1033,8.98,1166,10.14,1114,9.69,1158,10.07,913,8.01,626,5.49,434,3.81,479,4.2,435,3.82,312,2.76,222,1.98,323,2.88,224,2,201,1.79,168,1.49
山口県,6556,99.33,205,3.11,347,5.34,277,4.2,273,4.14,331,5.02,310,4.7,402,6.09,498,7.55,524,7.94,668,10.12,616,9.33,470,7.12,224,3.39,143,2.13,139,2.14,165,2.54,110,1.69,101,1.51,126,1.88,116,1.73,170,2.54,181,2.7,160,2.39
徳島県,3098,83.73,172,4.65,264,7.14,228,6.16,203,5.49,172,4.65,203,5.49,224,6.05,263,7.11,288,7.78,378,10.22,227,6.14,95,2.57,76,2.05,48,1.3,22,0.59,39,1.05,63,1.7,36,0.97,26,0.7,18,0.49,32,0.86,11,0.3,10,0.27
香川県,6954,147.96,171,3.64,441,9.38,444,9.45,424,9.02,634,13.49,804,17.11,795,16.91,653,13.89,547,11.64,662,14.09,479,10.19,414,8.81,183,3.89,90,1.91,39,0.83,43,0.91,28,0.6,22,0.47,8,0.17,19,0.4,5,0.11,33,0.7,16,0.34
愛媛県,7348,122.47,451,7.39,625,10.25,544,8.92,544,8.92,575,9.43,368,6.03,387,6.34,457,7.49,430,7.05,565,9.26,416,6.82,261,4.28,234,3.9,166,2.72,130,2.13,77,1.26,52,0.85,63,1.03,115,1.89,223,3.66,224,3.67,222,3.64,219,3.59
高知県,5038,114.5,129,2.87,323,7.18,386,8.58,452,10.04,530,11.78,483,10.73,455,10.11,349,7.76,354,7.87,295,6.56,162,3.6,143,3.18,101,2.24,75,1.67,146,3.24,145,3.22,86,1.91,52,1.16,42,0.95,43,0.98,91,2.07,98,2.23,98,2.23
福岡県,44467,224.58,1912,9.66,3456,17.45,4100,20.71,4296,21.7,4822,24.35,4826,24.37,3930,19.85,3060,15.45,2879,14.54,2939,14.84,2026,10.23,1727,8.72,1009,5.1,601,3.04,512,2.59,523,2.64,360,1.82,323,1.63,236,1.19,233,1.18,248,1.25,239,1.21,210,1.06
佐賀県,7532,193.13,393,10.08,616,15.79,660,16.92,489,12.54,738,18.92,697,17.87,767,19.67,691,17.72,627,16.08,565,14.49,285,7.31,202,5.18,167,4.28,111,2.85,114,2.92,67,1.72,88,2.26,63,1.62,50,1.28,61,1.56,34,0.87,34,0.87,13,0.33
長崎県,11954,170.77,498,7.11,1032,14.74,1036,14.8,858,12.26,1013,14.47,1250,17.86,1055,15.07,1045,14.93,880,12.57,782,11.17,377,5.39,275,3.93,211,3.01,169,2.41,86,1.23,105,1.5,83,1.19,68,0.97,118,1.69,155,2.21,290,4.14,237,3.39,331,4.73
熊本県,9854,124.73,437,5.46,688,8.6,700,8.75,726,9.08,833,10.41,913,11.41,731,9.14,583,7.29,582,7.28,707,8.84,554,6.93,436,5.52,287,3.63,154,1.97,92,1.19,112,1.44,124,1.57,147,1.84,215,2.72,241,3.05,187,2.37,208,2.63,197,2.49
大分県,10448,180.14,298,5.14,490,8.45,603,10.4,690,11.9,914,15.76,1215,20.95,846,14.59,1009,17.4,872,15.03,939,16.19,645,11.12,500,8.62,280,4.83,205,3.53,154,2.66,133,2.29,90,1.55,46,0.79,94,1.62,99,1.71,84,1.45,86,1.48,156,2.69
宮崎県,11781,206.68,705,12.37,949,16.65,985,17.59,939,16.47,1273,22.33,1349,23.26,1049,18.09,703,12.12,511,8.81,544,9.38,335,5.78,308,5.31,193,3.33,56,0.97,53,0.91,103,1.78,113,1.98,115,1.98,137,2.36,263,4.53,410,7.07,309,5.33,379,6.53
鹿児島県,9172,100.79,599,6.58,1248,13.57,894,9.72,762,8.28,805,8.75,720,7.83,387,4.21,387,4.21,355,3.86,407,4.42,332,3.61,190,2.07,102,1.13,104,1.16,75,0.83,170,1.89,170,1.89,143,1.59,149,1.64,171,1.88,216,2.37,322,3.54,464,5.1
沖縄県,16243,295.33,1032,18.43,1861,33.23,2171,38.77,2309,41.23,2642,47.18,1664,30.25,1020,18.55,702,12.76,443,8.05,620,11.27,496,9.02,416,7.56,244,4.36,133,2.38,112,2.04,74,1.35,45,0.82,39,0.72,44,0.81,33,0.61,40,0.74,58,1.07,45,0.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,56711,18.04,579,0.18,562,0.18,896,0.28,954,0.3,960,0.3,952,0.3,1010,0.32,964,0.31,1061,0.34,1117,0.35,1229,0.39,1313,0.42,1514,0.48,1688,0.54,2718,0.87,3520,1.12,3388,1.08,3096,0.99,3257,1.04,4888,1.56,6112,1.95,6648,2.12,8285,2.64
北海道,5363,38.86,44,0.32,46,0.33,64,0.46,80,0.58,98,0.71,152,1.09,182,1.31,191,1.37,240,1.73,249,1.79,293,2.11,252,1.81,231,1.66,216,1.55,316,2.27,394,2.81,334,2.39,260,1.87,277,2.02,334,2.44,372,2.72,367,2.68,371,2.71
青森県,467,11.68,3,0.07,11,0.26,11,0.26,13,0.31,5,0.12,3,0.07,21,0.5,0,0,0,0,34,0.81,1,0.02,2,0.05,2,0.05,12,0.3,31,0.78,42,1.05,34,0.85,27,0.68,26,0.68,37,0.97,66,1.74,39,1.03,47,1.24
岩手県,702,18,17,0.43,5,0.13,14,0.35,28,0.7,41,1.03,24,0.6,32,0.8,43,1.08,31,0.78,26,0.65,22,0.55,9,0.23,29,0.73,29,0.74,21,0.54,31,0.79,29,0.74,42,1.05,26,0.65,58,1.45,59,1.48,47,1.18,39,0.98
宮城県,804,14.36,24,0.41,9,0.16,53,0.91,28,0.48,21,0.36,24,0.41,35,0.6,33,0.57,38,0.66,13,0.22,16,0.28,9,0.16,14,0.24,23,0.41,30,0.55,35,0.64,22,0.4,27,0.49,31,0.57,61,1.13,50,0.93,91,1.69,117,2.13
秋田県,171,5.18,2,0.06,5,0.15,2,0.06,9,0.27,6,0.18,3,0.09,5,0.15,1,0.03,2,0.06,4,0.12,2,0.06,2,0.06,2,0.06,1,0.03,2,0.06,3,0.09,8,0.24,1,0.03,10,0.29,8,0.24,44,1.29,26,0.76,23,0.68
山形県,265,9.46,8,0.28,7,0.24,25,0.86,17,0.59,18,0.62,10,0.34,19,0.66,23,0.79,14,0.48,5,0.17,6,0.21,4,0.14,3,0.1,3,0.11,3,0.11,2,0.07,2,0.07,1,0.04,7,0.25,11,0.39,23,0.82,19,0.68,35,1.25
福島県,1418,28.94,54,1.08,38,0.76,100,2,117,2.34,104,2.08,68,1.36,59,1.18,42,0.84,44,0.88,46,0.92,40,0.8,41,0.82,38,0.76,32,0.64,39,0.78,57,1.14,38,0.76,45,0.9,37,0.76,84,1.71,74,1.51,113,2.31,108,2.2
茨城県,347,4.63,4,0.05,5,0.07,8,0.11,12,0.16,22,0.29,25,0.33,5,0.07,4,0.05,13,0.17,2,0.03,5,0.07,3,0.04,4,0.05,4,0.05,10,0.13,2,0.03,8,0.1,7,0.09,13,0.17,28,0.37,48,0.64,50,0.67,65,0.87
栃木県,351,7.31,9,0.19,8,0.17,3,0.06,6,0.13,1,0.02,2,0.04,2,0.04,0,0,2,0.04,3,0.06,1,0.02,2,0.04,4,0.08,8,0.17,9,0.19,15,0.31,35,0.73,18,0.38,16,0.33,30,0.63,39,0.81,62,1.29,76,1.58
群馬県,251,4.74,16,0.3,7,0.13,12,0.23,7,0.13,7,0.13,3,0.06,8,0.15,7,0.13,2,0.04,1,0.02,0,0,2,0.04,2,0.04,3,0.06,6,0.11,3,0.06,8,0.15,5,0.09,20,0.37,20,0.37,21,0.39,40,0.74,51,0.94
埼玉県,2182,13.55,16,0.1,9,0.06,15,0.09,23,0.14,13,0.08,23,0.14,22,0.14,23,0.14,27,0.17,28,0.17,35,0.22,37,0.23,53,0.34,68,0.42,110,0.68,136,0.84,116,0.72,92,0.56,122,0.75,197,1.21,281,1.72,321,1.96,415,2.53
千葉県,1115,8.64,10,0.08,6,0.05,10,0.08,24,0.18,22,0.17,11,0.08,4,0.03,2,0.02,0,0,5,0.04,8,0.06,9,0.07,8,0.06,11,0.09,26,0.2,22,0.17,31,0.24,32,0.25,65,0.5,114,0.89,151,1.17,206,1.6,338,2.64
東京都,2115,8.17,12,0.05,21,0.08,16,0.06,15,0.06,46,0.18,10,0.04,9,0.03,11,0.04,15,0.06,26,0.1,39,0.15,37,0.14,44,0.17,64,0.25,84,0.32,110,0.42,87,0.33,98,0.38,95,0.36,171,0.65,293,1.12,364,1.39,448,1.72
神奈川県,1209,5.33,11,0.05,13,0.06,23,0.1,11,0.05,13,0.06,18,0.08,15,0.07,14,0.06,33,0.14,13,0.06,9,0.04,10,0.04,18,0.08,25,0.11,23,0.1,18,0.08,39,0.17,26,0.12,57,0.25,113,0.49,160,0.7,208,0.9,339,1.51
新潟県,1426,25.93,29,0.52,20,0.36,42,0.75,54,0.96,25,0.45,42,0.75,29,0.52,19,0.34,61,1.09,30,0.54,41,0.73,34,0.61,35,0.65,34,0.63,46,0.85,96,1.78,72,1.33,50,0.93,63,1.17,123,2.28,141,2.61,143,2.65,197,3.65
富山県,703,24.24,5,0.17,9,0.31,12,0.41,13,0.45,18,0.62,24,0.83,36,1.24,44,1.52,18,0.62,16,0.55,28,0.97,33,1.14,31,1.07,42,1.45,37,1.28,76,2.62,58,2,32,1.1,30,1.03,44,1.52,29,1,20,0.69,48,1.66
石川県,605,20.86,3,0.1,5,0.17,5,0.17,18,0.62,30,1.03,46,1.59,20,0.69,19,0.66,25,0.86,15,0.52,14,0.48,16,0.55,7,0.24,14,0.48,26,0.9,26,0.9,27,0.93,26,0.9,31,1.07,53,1.83,65,2.24,65,2.24,49,1.69
福井県,878,38.17,6,0.26,5,0.22,7,0.3,5,0.22,8,0.35,6,0.26,6,0.26,5,0.22,6,0.26,9,0.39,10,0.43,16,0.7,18,0.78,40,1.74,85,3.7,91,3.96,68,2.96,82,3.28,64,2.56,102,4.08,80,3.2,71,2.84,88,3.52
山梨県,128,5.33,14,0.58,10,0.42,10,0.42,5,0.21,8,0.33,1,0.04,6,0.25,4,0.17,1,0.04,0,0,1,0.04,1,0.04,4,0.17,4,0.17,0,0,1,0.04,0,0,0,0,2,0.08,2,0.08,0,0,29,1.21,25,1.04
長野県,420,7.92,25,0.46,20,0.37,22,0.41,33,0.61,14,0.26,5,0.09,9,0.17,9,0.17,10,0.19,7,0.13,10,0.19,15,0.28,15,0.28,4,0.08,8,0.15,15,0.28,11,0.21,13,0.25,11,0.2,26,0.48,50,0.93,33,0.61,55,1.02
岐阜県,903,17.37,5,0.09,4,0.08,2,0.04,1,0.02,1,0.02,6,0.11,10,0.19,11,0.21,4,0.08,8,0.15,6,0.11,10,0.19,12,0.24,23,0.43,30,0.57,45,0.85,44,0.83,56,1.06,59,1.11,88,1.66,120,2.26,140,2.64,218,4.11
静岡県,1154,13.11,20,0.22,15,0.17,37,0.42,22,0.25,15,0.17,26,0.29,36,0.4,25,0.28,18,0.2,34,0.38,14,0.16,31,0.35,36,0.39,32,0.36,31,0.35,51,0.58,50,0.57,62,0.7,46,0.52,74,0.83,110,1.24,165,1.85,204,2.29
愛知県,1983,10.9,5,0.03,13,0.07,9,0.05,22,0.12,13,0.07,28,0.15,10,0.05,9,0.05,11,0.06,24,0.13,12,0.07,22,0.12,27,0.15,30,0.16,56,0.31,77,0.42,86,0.47,84,0.46,122,0.67,170,0.93,265,1.46,402,2.21,486,2.67
三重県,640,14.55,0,0,0,0,5,0.11,3,0.07,1,0.02,1,0.02,0,0,1,0.02,1,0.02,7,0.16,7,0.16,2,0.04,4,0.09,2,0.04,17,0.38,21,0.47,28,0.62,39,0.87,37,0.82,69,1.53,84,1.87,135,3,176,3.91
滋賀県,687,19.63,2,0.06,2,0.06,3,0.08,2,0.06,1,0.03,1,0.03,1,0.03,0,0,4,0.11,2,0.06,3,0.08,9,0.25,8,0.22,8,0.23,22,0.61,49,1.36,81,2.25,38,1.12,59,1.64,86,2.39,112,3.11,101,2.81,93,2.58
京都府,1495,19.67,9,0.12,4,0.05,7,0.09,8,0.11,4,0.05,12,0.16,3,0.04,7,0.09,20,0.26,23,0.3,42,0.55,57,0.76,68,0.89,66,0.87,97,1.28,144,1.89,149,2.01,105,1.38,100,1.32,137,1.78,162,2.1,106,1.39,165,2.14
大阪府,6674,34.58,24,0.12,30,0.15,15,0.08,26,0.13,29,0.15,29,0.15,40,0.21,52,0.27,63,0.32,101,0.52,124,0.64,190,0.97,219,1.12,236,1.22,435,2.24,583,3.04,619,3.17,603,3.11,543,2.86,709,3.73,740,3.87,643,3.35,621,3.25
兵庫県,3499,27.34,8,0.06,21,0.16,16,0.12,22,0.17,12,0.09,22,0.17,27,0.21,41,0.32,30,0.23,35,0.27,46,0.36,70,0.54,92,0.71,94,0.73,140,1.09,205,1.59,233,1.82,196,1.54,265,2.05,339,2.63,458,3.55,534,4.14,593,4.6
奈良県,1136,33.41,1,0.03,1,0.03,3,0.09,4,0.12,7,0.21,11,0.32,15,0.44,9,0.26,13,0.38,11,0.32,20,0.59,20,0.59,10,0.29,23,0.68,72,2.12,88,2.59,81,2.38,69,2.03,90,2.65,129,3.79,136,4,148,4.35,175,5.15
和歌山県,1303,43.43,9,0.3,12,0.4,1,0.03,16,0.53,5,0.17,4,0.13,1,0.03,10,0.33,3,0.1,2,0.07,2,0.07,7,0.23,21,0.7,20,0.67,50,1.67,111,3.7,113,3.77,151,5.03,125,4.17,184,6.13,177,5.9,154,5.13,125,4.17
鳥取県,150,7.89,1,0.05,1,0.05,2,0.11,0,0,0,0,1,0.05,2,0.11,1,0.05,2,0.11,2,0.11,0,0,0,0,1,0.05,0,0,1,0.05,2,0.11,24,1.26,1,0.05,3,0.16,37,1.95,13,0.68,21,1.11,35,1.84
島根県,217,9.43,0,0,0,0,0,0,0,0,0,0,2,0.09,0,0,2,0.09,3,0.13,1,0.04,0,0,0,0,1,0.04,1,0.04,2,0.09,5,0.22,8,0.35,6,0.26,6,0.26,18,0.78,41,1.78,44,1.91,77,3.35
岡山県,549,10.17,9,0.17,20,0.37,19,0.35,16,0.3,46,0.85,12,0.22,8,0.15,18,0.33,25,0.46,17,0.31,12,0.22,7,0.13,14,0.26,12,0.22,18,0.33,27,0.5,37,0.69,17,0.31,13,0.24,28,0.52,57,1.06,50,0.93,67,1.24
広島県,1628,22.93,9,0.13,26,0.36,19,0.26,16,0.22,9,0.13,11,0.15,18,0.25,7,0.1,7,0.1,5,0.07,15,0.21,21,0.29,42,0.58,31,0.43,60,0.83,69,0.96,100,1.39,63,0.88,103,1.45,154,2.17,247,3.48,256,3.61,340,4.79
