報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,
2025年03週(01月13日～01月19日),2025年01月22日作成,,,,,,,
インフルエンザ,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,405982,86.58,142308,33.89,172962,35.06,90712,18.38
北海道,15278,72.75,6490,34.71,5957,26.83,2831,12.75
青森県,3791,70.2,1721,36.62,1341,23.12,729,12.57
岩手県,5788,93.35,2200,35.48,2225,35.89,1363,21.98
宮城県,7532,82.77,1519,16.69,3773,41.46,2240,24.62
秋田県,1896,46.24,261,12.43,975,18.75,660,12.69
山形県,3171,88.08,674,25.92,1370,32.62,1127,26.83
福島県,8486,103.49,3841,46.84,2970,36.22,1675,20.43
茨城県,13279,117.51,6018,60.18,4940,41.17,2321,19.34
栃木県,5960,88.96,1460,28.63,3072,40.42,1428,18.79
群馬県,6944,92.59,1964,35.71,3121,36.72,1859,21.87
埼玉県,19950,91.1,6190,45.85,9131,34.98,4629,17.74
千葉県,16975,87.95,4872,28.33,8101,39.91,4002,19.62
東京都,17937,46.59,4474,13.98,9166,21.93,4297,10.28
神奈川県,16815,52.22,2957,12.37,9636,26.55,4222,11.6
新潟県,6906,80.3,1911,21.97,3041,35.36,1954,22.72
富山県,3350,71.28,622,13.82,1661,34.6,1067,22.23
石川県,4999,104.15,1239,25.81,2233,46.52,1527,31.81
福井県,3426,87.85,1042,26.72,1448,37.13,936,24
山梨県,2926,71.37,786,19.17,1568,38.24,572,13.95
長野県,8497,106.21,3115,47.92,3477,39.51,1905,21.65
岐阜県,10484,120.51,6148,70.67,2911,33.46,1425,16.38
静岡県,15050,108.27,5047,36.31,6635,47.73,3368,24.23
愛知県,23606,121.06,10914,55.97,8374,42.94,4318,22.14
三重県,6121,92.74,1973,36.54,2815,39.1,1333,18.51
滋賀県,5195,98.02,2191,53.44,1934,32.23,1070,17.83
京都府,9550,78.93,3538,30.24,3950,31.85,2062,16.63
大阪府,19000,63.12,7735,25.61,7701,25.5,3564,11.84
兵庫県,14181,75.43,3771,22.18,6995,35.33,3415,17.25
奈良県,3480,80.93,496,24.8,1998,36.33,986,17.93
和歌山県,4432,94.3,1179,26.2,2098,43.71,1155,24.06
鳥取県,2829,97.55,1413,48.72,887,30.59,529,18.24
島根県,3376,88.84,1744,45.89,1053,27.71,579,15.24
岡山県,7468,88.9,2883,34.32,3016,35.9,1569,18.68
広島県,9246,86.41,3596,40.4,3766,32.19,1884,16.1
山口県,6291,93.9,1957,29.21,2907,43.39,1427,21.3
徳島県,4818,130.22,1566,42.32,2123,57.38,1129,30.51
香川県,4840,102.98,1749,37.21,1913,40.7,1178,25.06
愛媛県,6204,114.89,1509,34.3,3014,50.23,1681,28.02
高知県,5939,134.98,2045,46.48,2480,56.36,1414,32.14
福岡県,18847,95.67,8268,41.97,7052,35.8,3527,17.9
佐賀県,4606,121.21,1635,45.42,1976,50.67,995,25.51
長崎県,8255,117.93,3192,45.6,3294,47.06,1769,25.27
熊本県,9657,122.24,3782,47.87,3920,49.62,1955,24.75
大分県,6440,111.03,3147,54.26,2140,36.9,1153,19.88
宮崎県,7319,130.7,2164,41.62,3320,57.24,1835,31.64
鹿児島県,8979,100.89,3236,36.36,3560,40,2183,24.53
沖縄県,5863,104.7,2074,37.04,1924,34.36,1865,33.3
,,,,,,,,
ＲＳウイルス感染症,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,2790,0.94,447,0.17,1070,0.34,1273,0.41
北海道,373,2.98,62,0.59,158,1.16,153,1.13
青森県,32,0.91,7,0.22,13,0.35,12,0.32
岩手県,21,0.54,8,0.21,7,0.18,6,0.15
宮城県,25,0.45,5,0.09,8,0.15,12,0.22
秋田県,17,0.63,5,0.33,5,0.15,7,0.21
山形県,24,1,4,0.22,5,0.19,15,0.56
