報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,
2024年07週(02月12日～02月18日),2024年02月21日作成,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,639995,129.92,62229,12.7,64106,13,87425,17.73,94820,19.22,111574,22.62,118009,23.95,101832,20.64
北海道,17868,79.77,2310,10.55,1666,7.4,1205,5.36,1583,7.04,2581,11.47,3772,16.76,4751,21.12
青森県,3859,66.53,747,12.66,583,9.88,423,7.17,392,6.64,425,7.2,646,11.14,643,10.9
岩手県,5267,87.78,789,12.93,602,9.87,573,9.39,802,13.15,767,12.57,906,15.1,828,13.8
宮城県,12298,135.14,1025,11.26,1056,11.6,1579,17.35,2144,23.56,2211,24.3,2329,25.59,1954,21.47
秋田県,3828,76.56,851,17.37,658,12.9,690,13.53,632,12.39,382,7.49,337,6.61,278,5.45
山形県,4340,100.93,462,10.74,494,11.49,646,15.02,656,15.26,567,13.19,768,17.86,747,17.37
福島県,6885,83.96,1350,16.46,1057,12.89,1348,16.44,1026,12.51,637,7.77,668,8.15,799,9.74
茨城県,13672,113.93,2681,22.34,1896,15.8,2186,18.22,1796,14.97,1705,14.21,1637,13.64,1771,14.76
栃木県,7136,93.89,606,7.97,848,11.16,1388,18.26,1251,16.46,996,13.11,1059,13.93,988,13
群馬県,8343,98.15,887,10.44,857,10.08,1226,14.42,1235,14.53,1203,14.15,1401,16.48,1534,18.05
埼玉県,41536,160.37,3551,13.93,4145,15.88,5874,22.51,6336,24.28,6357,24.36,7732,29.74,7541,29
千葉県,32584,161.31,2919,14.45,3623,17.85,4958,24.54,5296,26.35,5456,26.75,5513,27.43,4819,23.86
東京都,48535,117.52,3164,7.81,4192,10.13,6725,16.24,7672,18.53,8398,20.29,9475,22.83,8909,21.47
神奈川県,49559,136.53,2776,7.71,4328,11.96,6809,18.71,7902,21.59,9111,25.17,10035,27.64,8598,23.62
新潟県,7905,91.92,948,11.02,823,9.57,1177,13.69,1520,17.67,1350,15.7,1248,14.51,839,9.76
富山県,5085,105.94,498,10.38,578,12.04,797,16.6,795,16.56,768,16,881,18.35,768,16
石川県,5146,114.36,566,12.86,450,10.23,605,13.44,645,14.02,693,15.07,966,21,1221,25.44
福井県,4709,120.74,435,11.15,513,13.15,647,16.59,658,16.87,660,16.92,887,22.74,909,23.31
山梨県,3498,85.32,346,8.44,477,11.63,781,19.05,601,14.66,434,10.59,461,11.24,398,9.71
長野県,7412,84.23,1183,13.44,899,10.22,1147,13.03,1063,12.08,1067,12.13,1094,12.43,959,10.9
岐阜県,8417,96.75,1811,20.82,1244,14.3,1251,14.38,1076,12.37,920,10.57,1070,12.3,1045,12.01
静岡県,13329,95.89,1611,11.59,1924,13.84,2088,15.02,1972,14.19,2008,14.45,1924,13.84,1802,12.96
愛知県,31842,163.29,3303,16.94,3428,17.58,4428,22.71,4812,24.68,5368,27.53,5768,29.58,4735,24.28
三重県,9160,127.22,995,13.82,995,13.82,1292,17.94,1278,17.75,1495,20.76,1618,22.47,1487,20.65
滋賀県,6926,117.39,881,14.93,699,11.65,949,16.08,1066,18.07,1097,18.28,1168,19.47,1066,17.77
京都府,18730,151.05,1361,11.16,1479,11.83,2436,19.65,2993,24.14,3844,31,3775,30.44,2842,22.74
大阪府,45308,148.07,3602,11.77,3710,12.12,5901,19.28,7306,23.88,9069,29.64,9146,29.79,6574,21.41
