報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,
2025年02週(01月06日～01月12日),2025年01月15日作成,,,,,
インフルエンザ,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,314657,68.96,142240,33.85,172417,35.02
北海道,12432,60.94,6490,34.71,5942,26.89
青森県,3062,58.88,1721,36.62,1341,23.12
岩手県,4425,71.37,2200,35.48,2225,35.89
宮城県,5292,58.15,1519,16.69,3773,41.46
秋田県,1236,34.33,261,12.43,975,18.75
山形県,2044,60.12,674,25.92,1370,32.62
福島県,6811,83.06,3841,46.84,2970,36.22
茨城県,10908,99.16,6018,60.18,4890,40.75
栃木県,4532,71.94,1460,28.63,3072,40.42
群馬県,5085,72.64,1964,35.71,3121,36.72
埼玉県,15321,77.38,6190,45.85,9131,34.98
千葉県,12917,69.45,4872,28.33,8045,40.02
東京都,13640,36.86,4474,13.85,9166,21.93
神奈川県,12526,42.03,2957,12.37,9569,26.73
新潟県,4952,57.58,1911,21.97,3041,35.36
富山県,2283,49.63,622,13.82,1661,34.6
石川県,3472,72.33,1239,25.81,2233,46.52
福井県,2490,63.85,1042,26.72,1448,37.13
山梨県,2354,57.41,786,19.17,1568,38.24
長野県,6592,86.74,3115,47.92,3477,39.51
岐阜県,9059,104.13,6148,70.67,2911,33.46
静岡県,11682,84.04,5047,36.31,6635,47.73
愛知県,19288,98.91,10914,55.97,8374,42.94
三重県,4788,76,1973,36.54,2815,39.1
滋賀県,4054,81.08,2123,51.78,1931,32.18
京都府,7488,62.4,3538,30.24,3950,31.85
大阪府,15263,50.54,7735,25.61,7528,24.93
兵庫県,10740,58.69,3771,22.18,6969,35.38
奈良県,2494,67.41,496,24.8,1998,36.33
和歌山県,3277,71.24,1179,26.2,2098,43.71
鳥取県,2300,79.31,1413,48.72,887,30.59
島根県,2797,73.61,1744,45.89,1053,27.71
岡山県,5899,70.23,2883,34.32,3016,35.9
広島県,7362,71.48,3596,40.4,3766,32.19
山口県,4864,72.6,1957,29.21,2907,43.39
徳島県,3689,99.7,1566,42.32,2123,57.38
香川県,3662,77.91,1749,37.21,1913,40.7
愛媛県,4500,88.24,1509,34.3,2991,50.69
高知県,4525,102.84,2045,46.48,2480,56.36
福岡県,15188,77.1,8268,41.97,6920,35.13
佐賀県,3611,97.59,1635,45.42,1976,50.67
長崎県,6486,92.66,3192,45.6,3294,47.06
熊本県,7702,97.49,3782,47.87,3920,49.62
大分県,5287,91.16,3147,54.26,2140,36.9
宮崎県,5484,99.71,2164,41.62,3320,57.24
鹿児島県,6796,76.36,3236,36.36,3560,40
沖縄県,3998,71.39,2074,37.04,1924,34.36
,,,,,,
ＲＳウイルス感染症,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,1505,0.52,447,0.17,1058,0.34
北海道,217,1.81,62,0.59,155,1.15
青森県,20,0.59,7,0.22,13,0.35
岩手県,15,0.38,8,0.21,7,0.18
宮城県,13,0.24,5,0.09,8,0.15
秋田県,10,0.42,5,0.33,5,0.15
山形県,9,0.41,4,0.22,5,0.19
福島県,22,0.45,8,0.16,14,0.29
茨城県,30,0.44,15,0.25,15,0.2
栃木県,30,0.75,11,0.33,19,0.4
群馬県,10,0.23,5,0.14,5,0.09
埼玉県,99,0.78,32,0.36,67,0.41
千葉県,23,0.2,9,0.09,14,0.11
東京都,103,0.44,17,0.08,86,0.33
神奈川県,78,0.41,22,0.15,56,0.24
新潟県,20,0.36,7,0.13,13,0.24
富山県,9,0.32,4,0.14,5,0.17
石川県,13,0.45,3,0.1,10,0.34
福井県,24,0.96,9,0.36,15,0.6
山梨県,3,0.13,0,0,3,0.13
長野県,19,0.4,5,0.13,14,0.26
岐阜県,23,0.43,5,0.09,18,0.34
静岡県,29,0.33,10,0.11,19,0.21
愛知県,68,0.37,18,0.1,50,0.27
三重県,40,1,8,0.23,32,0.71
滋賀県,14,0.47,4,0.17,10,0.28
京都府,25,0.35,11,0.16,14,0.19
大阪府,216,1.12,59,0.31,157,0.81
兵庫県,78,0.67,11,0.1,67,0.53
奈良県,25,1.14,3,0.3,22,0.65
和歌山県,26,0.93,7,0.25,19,0.66
鳥取県,3,0.16,0,0,3,0.16
島根県,4,0.17,0,0,4,0.17
岡山県,6,0.11,2,0.04,4,0.07
広島県,13,0.21,5,0.09,8,0.11
山口県,19,0.44,9,0.21,10,0.23
徳島県,13,0.57,11,0.48,2,0.09
香川県,7,0.25,0,0,7,0.25
愛媛県,18,0.62,4,0.17,14,0.39
高知県,0,0,0,0,0,0
福岡県,48,0.4,19,0.16,29,0.24
佐賀県,2,0.09,1,0.05,1,0.04
長崎県,12,0.27,2,0.05,10,0.23
熊本県,8,0.16,3,0.06,5,0.1
大分県,8,0.22,4,0.11,4,0.11
宮崎県,8,0.24,0,0,8,0.22
鹿児島県,24,0.47,13,0.25,11,0.22
沖縄県,1,0.03,0,0,1,0.03
,,,,,,
咽頭結膜熱,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,1292,0.45,311,0.12,981,0.31
北海道,63,0.53,15,0.14,48,0.36
青森県,33,0.97,11,0.34,22,0.59
岩手県,19,0.49,7,0.18,12,0.31
宮城県,67,1.22,24,0.44,43,0.78
秋田県,5,0.21,0,0,5,0.15
山形県,36,1.64,7,0.39,29,1.07
福島県,42,0.86,18,0.37,24,0.49
茨城県,34,0.5,10,0.16,24,0.32
栃木県,12,0.3,3,0.09,9,0.19
群馬県,28,0.64,7,0.2,21,0.4
埼玉県,55,0.43,17,0.19,38,0.23
千葉県,40,0.35,2,0.02,38,0.3
東京都,46,0.2,12,0.06,34,0.13
神奈川県,32,0.17,7,0.05,25,0.11
新潟県,38,0.69,13,0.24,25,0.45
富山県,14,0.5,1,0.04,13,0.45
石川県,15,0.52,2,0.07,13,0.45
福井県,10,0.4,5,0.2,5,0.2
山梨県,9,0.38,1,0.04,8,0.33
長野県,13,0.28,4,0.1,9,0.17
岐阜県,25,0.47,4,0.08,21,0.4
静岡県,27,0.3,5,0.06,22,0.25
愛知県,50,0.27,4,0.02,46,0.25
三重県,28,0.7,7,0.2,21,0.47
滋賀県,11,0.37,5,0.21,6,0.17
京都府,46,0.65,5,0.07,41,0.55
大阪府,53,0.27,8,0.04,45,0.23
兵庫県,59,0.5,4,0.04,55,0.43
奈良県,8,0.36,0,0,8,0.24
和歌山県,4,0.14,2,0.07,2,0.07
鳥取県,7,0.37,1,0.05,6,0.32
島根県,10,0.43,1,0.04,9,0.39
岡山県,12,0.22,2,0.04,10,0.19
広島県,29,0.46,4,0.08,25,0.34
山口県,13,0.3,6,0.14,7,0.16
徳島県,12,0.52,3,0.13,9,0.39
香川県,2,0.07,1,0.04,1,0.04
愛媛県,15,0.52,3,0.13,12,0.33
高知県,3,0.12,0,0,3,0.12
福岡県,78,0.66,32,0.27,46,0.39
佐賀県,11,0.5,1,0.05,10,0.43
長崎県,18,0.41,3,0.07,15,0.34
熊本県,19,0.39,6,0.12,13,0.27
大分県,37,1.03,16,0.44,21,0.58
宮崎県,42,1.24,9,0.27,33,0.92
鹿児島県,53,1.04,13,0.25,40,0.78
沖縄県,9,0.28,0,0,9,0.28
,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,7026,2.43,1609,0.61,5417,1.73
北海道,440,3.67,116,1.1,324,2.4
青森県,51,1.5,12,0.38,39,1.05
岩手県,123,3.15,24,0.62,99,2.54
宮城県,131,2.38,31,0.56,100,1.82
秋田県,22,0.92,1,0.07,21,0.62
山形県,70,3.18,17,0.94,53,1.96
福島県,96,1.96,39,0.8,57,1.16
茨城県,607,8.93,179,2.93,428,5.71
栃木県,111,2.78,27,0.82,84,1.75
群馬県,67,1.52,16,0.46,51,0.96
埼玉県,396,3.12,72,0.8,324,1.98
千葉県,402,3.5,69,0.66,333,2.62
東京都,498,2.14,89,0.44,409,1.56
神奈川県,290,1.53,22,0.15,268,1.17
新潟県,239,4.35,78,1.42,161,2.93
富山県,122,4.36,18,0.64,104,3.59
石川県,71,2.45,20,0.69,51,1.76
福井県,35,1.4,8,0.32,27,1.08
山梨県,11,0.46,2,0.08,9,0.38
長野県,79,1.68,26,0.65,53,0.98
岐阜県,67,1.26,15,0.28,52,0.98
静岡県,104,1.17,19,0.21,85,0.96
愛知県,207,1.14,23,0.13,184,1.01
三重県,88,2.2,21,0.6,67,1.49
滋賀県,50,1.67,11,0.46,39,1.08
京都府,149,2.1,40,0.59,109,1.45
大阪府,230,1.19,46,0.24,184,0.95
兵庫県,172,1.47,15,0.14,157,1.24
奈良県,33,1.5,2,0.2,31,0.91
和歌山県,32,1.14,11,0.39,21,0.72
鳥取県,65,3.42,11,0.58,54,2.84
島根県,42,1.83,9,0.39,33,1.43
岡山県,80,1.48,31,0.57,49,0.91
広島県,112,1.78,17,0.32,95,1.28
山口県,175,4.07,56,1.3,119,2.77
徳島県,23,1,9,0.39,14,0.61
香川県,59,2.11,16,0.57,43,1.54
愛媛県,107,3.69,26,1.13,81,2.25
高知県,59,2.36,21,0.84,38,1.52
福岡県,467,3.92,114,0.96,353,2.97
佐賀県,71,3.23,7,0.33,64,2.78
長崎県,165,3.75,56,1.27,109,2.48
熊本県,134,2.73,39,0.8,95,1.94
大分県,159,4.42,52,1.44,107,2.97
宮崎県,100,2.94,19,0.58,81,2.25
鹿児島県,116,2.27,26,0.51,90,1.76
沖縄県,99,3.09,31,0.97,68,2.13
,,,,,,
感染性胃腸炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,15839,5.48,2904,1.09,12935,4.13
北海道,253,2.11,51,0.49,202,1.5
青森県,119,3.5,19,0.59,100,2.7
岩手県,235,6.03,62,1.59,173,4.44
宮城県,215,3.91,48,0.87,167,3.04
秋田県,116,4.83,11,0.73,105,3.09
山形県,80,3.64,15,0.83,65,2.41
福島県,169,3.45,50,1.02,119,2.43
茨城県,340,5,79,1.3,261,3.48
栃木県,137,3.43,17,0.52,120,2.5
群馬県,316,7.18,47,1.34,269,5.08
埼玉県,849,6.69,100,1.11,749,4.57
千葉県,792,6.89,107,1.03,685,5.39
東京都,1689,7.25,174,0.85,1515,5.76
神奈川県,1074,5.68,119,0.8,955,4.17
新潟県,99,1.8,9,0.16,90,1.64
富山県,217,7.75,55,1.96,162,5.59
石川県,257,8.86,55,1.9,202,6.97
福井県,204,8.16,64,2.56,140,5.6
山梨県,83,3.46,6,0.25,77,3.21
長野県,185,3.94,38,0.95,147,2.72
岐阜県,204,3.85,56,1.06,148,2.79
静岡県,526,5.91,114,1.28,412,4.63
愛知県,798,4.38,123,0.68,675,3.71
三重県,292,7.3,64,1.83,228,5.07
滋賀県,138,4.6,29,1.21,109,3.03
京都府,272,3.83,46,0.68,226,3.01
大阪府,913,4.73,142,0.74,771,3.99
兵庫県,734,6.27,96,0.9,638,5.02
奈良県,153,6.95,9,0.9,144,4.24
和歌山県,134,4.79,31,1.11,103,3.55
鳥取県,98,5.16,31,1.63,67,3.53
島根県,95,4.13,20,0.87,75,3.26
岡山県,334,6.19,119,2.2,215,3.98
広島県,358,5.68,47,0.89,311,4.2
山口県,205,4.77,47,1.09,158,3.67
徳島県,121,5.26,34,1.48,87,3.78
香川県,163,5.82,26,0.93,137,4.89
愛媛県,290,10,71,3.09,219,6.08
高知県,28,1.12,12,0.48,16,0.64
福岡県,720,6.05,176,1.48,544,4.57
佐賀県,121,5.5,28,1.33,93,4.04
長崎県,154,3.5,28,0.64,126,2.86
熊本県,361,7.37,95,1.94,266,5.43
大分県,480,13.33,131,3.64,349,9.69
宮崎県,257,7.56,41,1.24,216,6
鹿児島県,327,6.41,90,1.76,237,4.65
沖縄県,134,4.19,72,2.25,62,1.94
,,,,,,
水痘,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,1465,0.51,367,0.14,1098,0.35
北海道,173,1.44,33,0.31,140,1.04
青森県,14,0.41,1,0.03,13,0.35
岩手県,22,0.56,8,0.21,14,0.36
宮城県,36,0.65,11,0.2,25,0.45
秋田県,12,0.5,3,0.2,9,0.26
山形県,12,0.55,4,0.22,8,0.3
福島県,25,0.51,8,0.16,17,0.35
茨城県,15,0.22,1,0.02,14,0.19
栃木県,13,0.33,3,0.09,10,0.21
群馬県,33,0.75,11,0.31,22,0.42
埼玉県,90,0.71,18,0.2,72,0.44
千葉県,40,0.35,8,0.08,32,0.25
東京都,189,0.81,32,0.16,157,0.6
神奈川県,114,0.6,16,0.11,98,0.43
新潟県,55,1,19,0.35,36,0.65
富山県,8,0.29,2,0.07,6,0.21
石川県,40,1.38,5,0.17,35,1.21
福井県,15,0.6,3,0.12,12,0.48
山梨県,5,0.21,1,0.04,4,0.17
長野県,20,0.43,3,0.08,17,0.31
岐阜県,4,0.08,0,0,4,0.08
静岡県,26,0.29,7,0.08,19,0.21
愛知県,32,0.18,11,0.06,21,0.12
三重県,13,0.33,6,0.17,7,0.16
滋賀県,26,0.87,9,0.38,17,0.47
京都府,19,0.27,1,0.01,18,0.24
大阪府,37,0.19,8,0.04,29,0.15
兵庫県,33,0.28,9,0.08,24,0.19
