報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,
2024年06週(02月05日～02月11日),2024年02月14日作成,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,537806,109.24,62229,12.7,64106,13,87425,17.73,94820,19.22,111574,22.62,117652,23.93
北海道,13117,58.56,2310,10.55,1666,7.4,1205,5.36,1583,7.04,2581,11.47,3772,16.76
青森県,3216,55.45,747,12.66,583,9.88,423,7.17,392,6.64,425,7.2,646,11.14
岩手県,4439,73.98,789,12.93,602,9.87,573,9.39,802,13.15,767,12.57,906,15.1
宮城県,10344,113.67,1025,11.26,1056,11.6,1579,17.35,2144,23.56,2211,24.3,2329,25.59
秋田県,3549,70.98,851,17.37,658,12.9,690,13.53,632,12.39,382,7.49,336,6.72
山形県,3593,83.56,462,10.74,494,11.49,646,15.02,656,15.26,567,13.19,768,17.86
福島県,6086,74.22,1350,16.46,1057,12.89,1348,16.44,1026,12.51,637,7.77,668,8.15
茨城県,11901,99.18,2681,22.34,1896,15.8,2186,18.22,1796,14.97,1705,14.21,1637,13.64
栃木県,6148,80.89,606,7.97,848,11.16,1388,18.26,1251,16.46,996,13.11,1059,13.93
群馬県,6775,80.65,887,10.44,857,10.08,1226,14.42,1235,14.53,1203,14.15,1367,16.27
埼玉県,33965,131.14,3551,13.93,4145,15.88,5874,22.51,6336,24.28,6357,24.36,7702,29.74
千葉県,27640,137.51,2919,14.45,3623,17.85,4958,24.54,5296,26.35,5456,26.75,5388,27.21
東京都,39626,96.18,3164,7.81,4192,10.13,6725,16.24,7672,18.53,8398,20.29,9475,22.83
神奈川県,40870,112.9,2776,7.71,4328,11.96,6809,18.71,7902,21.59,9111,25.17,9944,27.78
新潟県,7066,82.16,948,11.02,823,9.57,1177,13.69,1520,17.67,1350,15.7,1248,14.51
富山県,4317,89.94,498,10.38,578,12.04,797,16.6,795,16.56,768,16,881,18.35
石川県,3925,87.22,566,12.86,450,10.23,605,13.44,645,14.02,693,15.07,966,21
福井県,3800,97.44,435,11.15,513,13.15,647,16.59,658,16.87,660,16.92,887,22.74
山梨県,3100,75.61,346,8.44,477,11.63,781,19.05,601,14.66,434,10.59,461,11.24
長野県,6453,73.33,1183,13.44,899,10.22,1147,13.03,1063,12.08,1067,12.13,1094,12.43
岐阜県,7372,84.74,1811,20.82,1244,14.3,1251,14.38,1076,12.37,920,10.57,1070,12.3
静岡県,11527,82.93,1611,11.59,1924,13.84,2088,15.02,1972,14.19,2008,14.45,1924,13.84
愛知県,27101,138.98,3303,16.94,3428,17.58,4428,22.71,4812,24.68,5368,27.53,5762,29.55
三重県,7673,106.57,995,13.82,995,13.82,1292,17.94,1278,17.75,1495,20.76,1618,22.47
滋賀県,5860,99.32,881,14.93,699,11.65,949,16.08,1066,18.07,1097,18.28,1168,19.47
京都府,15888,129.17,1361,11.16,1479,11.83,2436,19.65,2993,24.14,3844,31,3775,30.44
大阪府,38664,126.35,3602,11.77,3710,12.12,5901,19.28,7306,23.88,9069,29.64,9076,29.56
兵庫県,22930,115.81,1962,9.91,2263,11.43,3858,19.48,4407,22.26,5160,26.06,5280,26.67
奈良県,7355,133.73,454,8.25,750,13.64,1202,21.85,1428,25.96,1729,31.44,1792,32.58
和歌山県,4570,93.27,521,10.63,596,12.16,759,15.49,796,16.24,975,19.9,923,18.84
鳥取県,1895,65.34,408,14.07,335,11.55,254,8.76,288,9.93,267,9.21,343,11.83
島根県,1974,51.95,443,11.66,277,7.29,324,8.53,246,6.47,380,10,304,8
岡山県,7096,84.48,922,10.98,882,10.5,1057,12.58,1144,13.62,1526,18.17,1565,18.63
広島県,8988,80.25,1226,10.85,1030,9.2,1260,11.15,1384,12.25,1837,16.4,2251,20.28
山口県,6821,101.81,752,11.22,995,14.85,1164,17.37,1031,15.39,1322,19.73,1557,23.24
徳島県,3294,89.03,503,13.59,492,13.3,576,15.57,617,16.68,610,16.49,496,13.41
香川県,3291,70.02,651,13.85,446,9.49,624,13.28,448,9.53,624,13.28,498,10.6
愛媛県,5843,97.38,588,9.97,876,14.36,1228,20.13,1106,18.13,1144,18.75,901,14.77
高知県,4070,92.5,721,16.39,640,14.55,553,12.57,534,12.14,806,18.32,816,18.55
福岡県,41309,208.63,3504,17.7,3189,16.11,5159,26.06,6914,34.92,11359,57.37,11184,56.48
佐賀県,5790,148.46,487,12.49,513,13.15,857,21.97,873,22.38,1572,40.31,1488,38.15
長崎県,8684,124.06,1186,16.94,1107,15.81,1372,19.6,1190,17,1868,26.69,1961,28.01
熊本県,11468,143.35,1275,15.94,1370,17.13,1669,20.86,1862,23.28,2506,31.33,2786,34.83
大分県,8475,146.12,1114,19.21,1075,18.53,1203,20.74,1215,20.95,1876,32.34,1992,34.34
宮崎県,10415,179.57,1511,26.05,1328,22.9,1613,27.81,1732,29.86,2270,39.14,1961,33.81
鹿児島県,10027,112.66,1325,14.89,1523,17.11,1818,20.43,1378,15.48,1960,22.02,2023,22.73
沖縄県,9496,175.85,1018,18.85,1195,22.13,1746,32.33,1719,31.83,2214,41,1604,29.7
,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1740,0.56,131,0.04,198,0.06,235,0.08,358,0.11,380,0.12,438,0.14
北海道,428,3.1,47,0.35,59,0.42,60,0.43,80,0.58,102,0.73,80,0.58
青森県,6,0.16,1,0.03,1,0.03,2,0.05,0,0,2,0.05,0,0
岩手県,25,0.66,1,0.03,6,0.15,4,0.1,8,0.21,6,0.15,0,0
宮城県,27,0.49,2,0.04,2,0.04,4,0.07,4,0.07,9,0.16,6,0.11
秋田県,3,0.09,0,0,1,0.03,0,0,0,0,1,0.03,1,0.03
山形県,8,0.29,2,0.07,0,0,1,0.04,2,0.07,1,0.04,2,0.07
福島県,87,1.78,6,0.12,5,0.1,14,0.29,32,0.65,9,0.18,21,0.43
茨城県,26,0.35,6,0.08,1,0.01,0,0,7,0.09,5,0.07,7,0.09
栃木県,46,0.96,1,0.02,3,0.06,3,0.06,12,0.25,13,0.27,14,0.29
群馬県,14,0.27,0,0,2,0.04,1,0.02,3,0.06,5,0.09,3,0.06
埼玉県,65,0.4,2,0.01,7,0.04,8,0.05,13,0.08,13,0.08,22,0.14
千葉県,96,0.77,8,0.06,4,0.03,1,0.01,32,0.26,21,0.17,30,0.24
東京都,61,0.23,3,0.01,5,0.02,6,0.02,11,0.04,16,0.06,20,0.08
神奈川県,36,0.16,1,0,15,0.07,5,0.02,6,0.03,5,0.02,4,0.02
新潟県,13,0.24,2,0.04,2,0.04,1,0.02,4,0.07,1,0.02,3,0.05
富山県,19,0.66,1,0.03,8,0.28,1,0.03,3,0.1,1,0.03,5,0.17
石川県,9,0.33,2,0.07,3,0.11,0,0,0,0,1,0.04,3,0.11
福井県,27,1.08,1,0.04,3,0.12,7,0.28,10,0.4,5,0.2,1,0.04
山梨県,4,0.17,0,0,1,0.04,2,0.08,1,0.04,0,0,0,0
長野県,31,0.57,0,0,6,0.11,5,0.09,7,0.13,6,0.11,7,0.13
岐阜県,31,0.58,3,0.06,2,0.04,2,0.04,3,0.06,6,0.11,15,0.28
静岡県,14,0.16,2,0.02,0,0,4,0.04,3,0.03,3,0.03,2,0.02
愛知県,21,0.12,1,0.01,1,0.01,5,0.03,2,0.01,3,0.02,9,0.05
三重県,8,0.18,1,0.02,0,0,2,0.04,1,0.02,0,0,4,0.09
滋賀県,8,0.23,1,0.03,1,0.03,1,0.03,1,0.03,2,0.06,2,0.06
京都府,34,0.45,3,0.04,0,0,5,0.07,4,0.05,4,0.05,18,0.24
大阪府,242,1.23,19,0.1,21,0.11,29,0.15,53,0.27,52,0.26,68,0.34
兵庫県,55,0.43,2,0.02,3,0.02,10,0.08,10,0.08,19,0.15,11,0.09
奈良県,16,0.47,0,0,2,0.06,1,0.03,2,0.06,3,0.09,8,0.24
和歌山県,42,1.4,0,0,2,0.07,8,0.27,9,0.3,11,0.37,12,0.4
鳥取県,7,0.37,0,0,1,0.05,1,0.05,1,0.05,2,0.11,2,0.11
島根県,8,0.35,0,0,1,0.04,1,0.04,2,0.09,0,0,4,0.17
岡山県,9,0.17,2,0.04,1,0.02,1,0.02,3,0.06,1,0.02,1,0.02
広島県,36,0.52,1,0.01,4,0.06,7,0.1,5,0.07,9,0.13,10,0.15
山口県,6,0.14,0,0,0,0,0,0,2,0.05,1,0.02,3,0.07
徳島県,2,0.09,0,0,1,0.04,0,0,0,0,0,0,1,0.04
香川県,8,0.29,0,0,1,0.04,0,0,2,0.07,4,0.14,1,0.04
愛媛県,8,0.22,0,0,0,0,2,0.05,2,0.05,3,0.08,1,0.03
高知県,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04
福岡県,40,0.33,0,0,6,0.05,8,0.07,3,0.03,11,0.09,12,0.1
佐賀県,10,0.43,0,0,5,0.22,0,0,2,0.09,1,0.04,2,0.09
長崎県,7,0.16,0,0,3,0.07,0,0,0,0,3,0.07,1,0.02
熊本県,8,0.16,0,0,0,0,0,0,1,0.02,2,0.04,5,0.1
大分県,7,0.19,3,0.08,0,0,0,0,0,0,1,0.03,3,0.08
宮崎県,12,0.33,2,0.06,4,0.11,1,0.03,3,0.08,1,0.03,1,0.03
鹿児島県,35,0.69,0,0,3,0.06,9,0.18,6,0.12,9,0.18,8,0.16
沖縄県,34,1.1,5,0.16,2,0.06,13,0.42,3,0.1,7,0.23,4,0.13
,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,23873,7.64,4524,1.46,4526,1.44,4001,1.28,3881,1.24,3602,1.15,3339,1.07
北海道,2615,18.95,511,3.81,469,3.37,464,3.34,413,2.97,394,2.83,364,2.62
青森県,266,7.19,54,1.46,32,0.86,39,1.05,48,1.3,35,0.95,58,1.57
岩手県,356,9.37,53,1.36,56,1.44,66,1.69,66,1.69,59,1.51,56,1.47
宮城県,613,11.15,100,1.82,136,2.47,110,2,93,1.69,100,1.82,74,1.35
秋田県,113,3.53,16,0.52,20,0.61,16,0.48,13,0.39,22,0.67,26,0.81
山形県,460,16.43,78,2.79,58,2.07,75,2.68,85,3.04,93,3.32,71,2.54
福島県,577,11.78,105,2.14,104,2.12,84,1.71,75,1.53,107,2.18,102,2.08
茨城県,378,5.04,68,0.91,81,1.08,70,0.93,59,0.79,44,0.59,56,0.75
栃木県,236,4.92,57,1.19,49,1.02,37,0.77,38,0.79,28,0.58,27,0.56
群馬県,288,5.54,44,0.83,64,1.21,59,1.11,58,1.09,37,0.7,26,0.5
埼玉県,1279,7.9,350,2.2,242,1.48,186,1.13,189,1.15,167,1.02,145,0.9
千葉県,806,6.45,187,1.48,177,1.4,154,1.23,103,0.83,110,0.87,75,0.6
東京都,995,3.83,178,0.7,243,0.93,186,0.71,166,0.64,129,0.49,93,0.35
