報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年16週(04月17日～04月23日),2023年04月26日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週
滋賀県,8533,144.63,195,3.25,332,5.53,451,7.52,579,9.65,644,10.73,884,14.73,904,15.07,862,14.37,851,14.18,951,15.85,705,11.75,497,8.28,237,3.95,141,2.43,134,2.23,166,2.77
京都府,23865,192.46,691,5.53,1200,9.6,1898,15.18,2510,20.08,3351,26.81,3264,26.11,2974,23.79,2361,18.89,1757,14.17,1566,12.53,970,7.76,606,4.89,267,2.17,185,1.48,130,1.04,135,1.09
大阪府,58099,196.28,2589,8.69,3719,12.48,6195,20.79,7434,24.95,9024,30.28,8576,28.78,6703,22.49,4401,14.82,3100,10.44,2491,8.36,1591,5.34,964,3.23,505,1.69,344,1.17,231,0.78,232,0.81
兵庫県,26663,134.66,824,4.12,1644,8.26,2413,12.13,2790,14.02,3376,16.96,3110,15.63,2828,14.21,2263,11.37,1819,9.14,1958,9.84,1316,6.61,929,4.67,512,2.56,353,1.79,294,1.49,234,1.19
奈良県,8019,145.8,218,3.96,428,7.78,598,10.87,766,13.93,1068,19.42,1111,20.2,912,16.58,745,13.55,612,11.13,469,8.53,399,7.25,335,6.09,156,2.84,83,1.51,55,1,64,1.16
和歌山県,5107,104.22,210,4.29,418,8.53,520,10.61,564,11.51,545,11.12,536,10.51,525,10.71,501,10.22,440,8.98,335,6.84,232,4.73,130,2.65,56,1.14,36,0.73,33,0.67,26,0.53
鳥取県,1555,53.62,121,4.17,122,4.21,112,3.86,66,2.28,83,2.86,93,3.21,90,3.1,82,2.83,121,4.17,178,6.14,132,4.55,143,4.93,104,3.59,42,1.45,40,1.38,26,0.9
島根県,2868,75.47,80,2.11,100,2.63,163,4.29,171,4.5,223,5.87,313,8.24,297,7.82,260,6.84,332,8.74,255,6.71,160,4.21,147,3.87,131,3.45,108,2.84,67,1.76,61,1.61
岡山県,8954,106.6,307,3.65,442,5.26,490,5.83,515,6.13,657,7.82,670,7.98,789,9.39,787,9.37,690,8.21,1037,12.35,871,10.37,589,7.01,385,4.58,270,3.21,207,2.46,248,2.95
広島県,13537,118.75,274,2.4,478,4.16,942,8.19,1010,8.78,1004,8.73,1061,9.23,965,8.39,880,7.65,1033,8.98,1166,10.14,1114,9.69,1158,10.07,913,8.01,626,5.49,434,3.81,479,4.2
山口県,5592,86.03,205,3.11,347,5.34,277,4.2,273,4.14,331,5.02,310,4.7,402,6.09,498,7.55,524,7.94,668,10.12,616,9.33,470,7.12,224,3.39,143,2.13,139,2.14,165,2.54
徳島県,2902,78.43,172,4.65,264,7.14,228,6.16,203,5.49,172,4.65,203,5.49,224,6.05,263,7.11,288,7.78,378,10.22,227,6.14,95,2.57,76,2.05,48,1.3,22,0.59,39,1.05
香川県,6823,145.17,171,3.64,441,9.38,444,9.45,424,9.02,634,13.49,804,17.11,795,16.91,653,13.89,547,11.64,662,14.09,479,10.19,414,8.81,183,3.89,90,1.91,39,0.83,43,0.91
愛媛県,6230,103.83,451,7.39,625,10.25,544,8.92,544,8.92,575,9.43,368,6.03,387,6.34,457,7.49,430,7.05,565,9.26,416,6.82,261,4.28,234,3.9,166,2.72,130,2.13,77,1.26
高知県,4528,100.62,129,2.87,323,7.18,386,8.58,452,10.04,530,11.78,483,10.73,455,10.11,349,7.76,354,7.87,295,6.56,162,3.6,143,3.18,101,2.24,75,1.67,146,3.24,145,3.22
福岡県,42618,215.24,1912,9.66,3456,17.45,4100,20.71,4296,21.7,4822,24.35,4826,24.37,3930,19.85,3060,15.45,2879,14.54,2939,14.84,2026,10.23,1727,8.72,1009,5.1,601,3.04,512,2.59,523,2.64
佐賀県,7189,184.33,393,10.08,616,15.79,660,16.92,489,12.54,738,18.92,697,17.87,767,19.67,691,17.72,627,16.08,565,14.49,285,7.31,202,5.18,167,4.28,111,2.85,114,2.92,67,1.72
長崎県,10672,152.46,498,7.11,1032,14.74,1036,14.8,858,12.26,1013,14.47,1250,17.86,1055,15.07,1045,14.93,880,12.57,782,11.17,377,5.39,275,3.93,211,3.01,169,2.41,86,1.23,105,1.5
熊本県,8535,108.04,437,5.46,688,8.6,700,8.75,726,9.08,833,10.41,913,11.41,731,9.14,583,7.29,582,7.28,707,8.84,554,6.93,436,5.52,287,3.63,154,1.97,92,1.19,112,1.44
大分県,9793,168.84,298,5.14,490,8.45,603,10.4,690,11.9,914,15.76,1215,20.95,846,14.59,1009,17.4,872,15.03,939,16.19,645,11.12,500,8.62,280,4.83,205,3.53,154,2.66,133,2.29
宮崎県,10054,176.39,705,12.37,949,16.65,985,17.59,939,16.47,1273,22.33,1349,23.26,1049,18.09,703,12.12,511,8.81,544,9.38,335,5.78,308,5.31,193,3.33,56,0.97,53,0.91,102,1.76
鹿児島県,7537,82.82,599,6.58,1248,13.57,894,9.72,762,8.28,805,8.75,720,7.83,387,4.21,387,4.21,355,3.86,407,4.42,332,3.61,190,2.07,102,1.13,104,1.16,75,0.83,170,1.89
沖縄県,15939,289.8,1032,18.43,1861,33.23,2171,38.77,2309,41.23,2642,47.18,1664,30.25,1020,18.55,702,12.76,443,8.05,620,11.27,496,9.02,416,7.56,244,4.36,133,2.38,112,2.04,74,1.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,21008,6.68,579,0.18,562,0.18,896,0.28,954,0.3,960,0.3,952,0.3,1010,0.32,964,0.31,1060,0.34,1116,0.35,1229,0.39,1313,0.42,1514,0.48,1688,0.54,2717,0.87,3494,1.12
北海道,3048,22.09,44,0.32,46,0.33,64,0.46,80,0.58,98,0.71,152,1.09,182,1.31,191,1.37,240,1.73,249,1.79,293,2.11,252,1.81,231,1.66,216,1.55,316,2.27,394,2.81
青森県,191,4.66,3,0.07,11,0.26,11,0.26,13,0.31,5,0.12,3,0.07,21,0.5,0,0,0,0,34,0.81,1,0.02,2,0.05,2,0.05,12,0.3,31,0.78,42,1.05
岩手県,402,10.31,17,0.43,5,0.13,14,0.35,28,0.7,41,1.03,24,0.6,32,0.8,43,1.08,31,0.78,26,0.65,22,0.55,9,0.23,29,0.73,29,0.74,21,0.54,31,0.79
宮城県,405,7.11,24,0.41,9,0.16,53,0.91,28,0.48,21,0.36,24,0.41,35,0.6,33,0.57,38,0.66,13,0.22,16,0.28,9,0.16,14,0.24,23,0.41,30,0.55,35,0.64
秋田県,51,1.55,2,0.06,5,0.15,2,0.06,9,0.27,6,0.18,3,0.09,5,0.15,1,0.03,2,0.06,4,0.12,2,0.06,2,0.06,2,0.06,1,0.03,2,0.06,3,0.09
山形県,167,5.96,8,0.28,7,0.24,25,0.86,17,0.59,18,0.62,10,0.34,19,0.66,23,0.79,14,0.48,5,0.17,6,0.21,4,0.14,3,0.1,3,0.11,3,0.11,2,0.07
福島県,919,18.38,54,1.08,38,0.76,100,2,117,2.34,104,2.08,68,1.36,59,1.18,42,0.84,44,0.88,46,0.92,40,0.8,41,0.82,38,0.76,32,0.64,39,0.78,57,1.14
茨城県,128,1.71,4,0.05,5,0.07,8,0.11,12,0.16,22,0.29,25,0.33,5,0.07,4,0.05,13,0.17,2,0.03,5,0.07,3,0.04,4,0.05,4,0.05,10,0.13,2,0.03
栃木県,75,1.56,9,0.19,8,0.17,3,0.06,6,0.13,1,0.02,2,0.04,2,0.04,0,0,2,0.04,3,0.06,1,0.02,2,0.04,4,0.08,8,0.17,9,0.19,15,0.31
群馬県,86,1.62,16,0.3,7,0.13,12,0.23,7,0.13,7,0.13,3,0.06,8,0.15,7,0.13,2,0.04,1,0.02,0,0,2,0.04,2,0.04,3,0.06,6,0.11,3,0.06
埼玉県,638,3.99,16,0.1,9,0.06,15,0.09,23,0.14,13,0.08,23,0.14,22,0.14,23,0.14,27,0.17,28,0.17,35,0.22,37,0.23,53,0.34,68,0.42,110,0.68,136,0.84
千葉県,178,1.37,10,0.08,6,0.05,10,0.08,24,0.18,22,0.17,11,0.08,4,0.03,2,0.02,0,0,5,0.04,8,0.06,9,0.07,8,0.06,11,0.09,26,0.2,22,0.17
東京都,559,2.16,12,0.05,21,0.08,16,0.06,15,0.06,46,0.18,10,0.04,9,0.03,11,0.04,15,0.06,26,0.1,39,0.15,37,0.14,44,0.17,64,0.25,84,0.32,110,0.42
神奈川県,267,1.18,11,0.05,13,0.06,23,0.1,11,0.05,13,0.06,18,0.08,15,0.07,14,0.06,33,0.14,13,0.06,9,0.04,10,0.04,18,0.08,25,0.11,23,0.1,18,0.08
新潟県,637,11.58,29,0.52,20,0.36,42,0.75,54,0.96,25,0.45,42,0.75,29,0.52,19,0.34,61,1.09,30,0.54,41,0.73,34,0.61,35,0.65,34,0.63,46,0.85,96,1.78
富山県,442,15.24,5,0.17,9,0.31,12,0.41,13,0.45,18,0.62,24,0.83,36,1.24,44,1.52,18,0.62,16,0.55,28,0.97,33,1.14,31,1.07,42,1.45,37,1.28,76,2.62
石川県,289,9.97,3,0.1,5,0.17,5,0.17,18,0.62,30,1.03,46,1.59,20,0.69,19,0.66,25,0.86,15,0.52,14,0.48,16,0.55,7,0.24,14,0.48,26,0.9,26,0.9
福井県,323,14.04,6,0.26,5,0.22,7,0.3,5,0.22,8,0.35,6,0.26,6,0.26,5,0.22,6,0.26,9,0.39,10,0.43,16,0.7,18,0.78,40,1.74,85,3.7,91,3.96
山梨県,70,2.92,14,0.58,10,0.42,10,0.42,5,0.21,8,0.33,1,0.04,6,0.25,4,0.17,1,0.04,0,0,1,0.04,1,0.04,4,0.17,4,0.17,0,0,1,0.04
長野県,221,4.17,25,0.46,20,0.37,22,0.41,33,0.61,14,0.26,5,0.09,9,0.17,9,0.17,10,0.19,7,0.13,10,0.19,15,0.28,15,0.28,4,0.08,8,0.15,15,0.28
岐阜県,178,3.42,5,0.09,4,0.08,2,0.04,1,0.02,1,0.02,6,0.11,10,0.19,11,0.21,4,0.08,8,0.15,6,0.11,10,0.19,12,0.24,23,0.43,30,0.57,45,0.85
静岡県,443,4.98,20,0.22,15,0.17,37,0.42,22,0.25,15,0.17,26,0.29,36,0.4,25,0.28,18,0.2,34,0.38,14,0.16,31,0.35,36,0.39,32,0.36,31,0.35,51,0.58
愛知県,368,2.02,5,0.03,13,0.07,9,0.05,22,0.12,13,0.07,28,0.15,10,0.05,9,0.05,11,0.06,24,0.13,12,0.07,22,0.12,27,0.15,30,0.16,56,0.31,77,0.42
三重県,72,1.64,0,0,0,0,5,0.11,3,0.07,1,0.02,1,0.02,0,0,1,0.02,1,0.02,7,0.16,7,0.16,2,0.04,4,0.09,2,0.04,17,0.38,21,0.47
滋賀県,117,3.34,2,0.06,2,0.06,3,0.08,2,0.06,1,0.03,1,0.03,1,0.03,0,0,4,0.11,2,0.06,3,0.08,9,0.25,8,0.22,8,0.23,22,0.61,49,1.36
京都府,571,7.61,9,0.12,4,0.05,7,0.09,8,0.11,4,0.05,12,0.16,3,0.04,7,0.09,20,0.26,23,0.3,42,0.55,57,0.76,68,0.89,66,0.87,97,1.28,144,1.92
大阪府,2182,11.25,24,0.12,30,0.15,15,0.08,26,0.13,29,0.15,29,0.15,40,0.21,52,0.27,63,0.32,101,0.52,124,0.64,190,0.97,219,1.12,236,1.22,435,2.24,569,2.99
兵庫県,881,6.83,8,0.06,21,0.16,16,0.12,22,0.17,12,0.09,22,0.17,27,0.21,41,0.32,30,0.23,35,0.27,46,0.36,70,0.54,92,0.71,94,0.73,140,1.09,205,1.59
奈良県,308,9.06,1,0.03,1,0.03,3,0.09,4,0.12,7,0.21,11,0.32,15,0.44,9,0.26,13,0.38,11,0.32,20,0.59,20,0.59,10,0.29,23,0.68,72,2.12,88,2.59
和歌山県,274,9.13,9,0.3,12,0.4,1,0.03,16,0.53,5,0.17,4,0.13,1,0.03,10,0.33,3,0.1,2,0.07,2,0.07,7,0.23,21,0.7,20,0.67,50,1.67,111,3.7
鳥取県,16,0.84,1,0.05,1,0.05,2,0.11,0,0,0,0,1,0.05,2,0.11,1,0.05,2,0.11,2,0.11,0,0,0,0,1,0.05,0,0,1,0.05,2,0.11
島根県,17,0.74,0,0,0,0,0,0,0,0,0,0,2,0.09,0,0,2,0.09,3,0.13,1,0.04,0,0,0,0,1,0.04,1,0.04,2,0.09,5,0.22
岡山県,280,5.19,9,0.17,20,0.37,19,0.35,16,0.3,46,0.85,12,0.22,8,0.15,18,0.33,25,0.46,17,0.31,12,0.22,7,0.13,14,0.26,12,0.22,18,0.33,27,0.5
広島県,365,5.14,9,0.13,26,0.36,19,0.26,16,0.22,9,0.13,11,0.15,18,0.25,7,0.1,7,0.1,5,0.07,15,0.21,21,0.29,42,0.58,31,0.43,60,0.83,69,0.96
山口県,339,7.7,12,0.27,4,0.09,11,0.24,11,0.24,13,0.29,19,0.42,16,0.36,16,0.36,5,0.11,8,0.18,16,0.36,14,0.31,20,0.44,45,1,54,1.26,75,1.74
徳島県,90,3.91,2,0.09,3,0.13,11,0.48,8,0.35,13,0.57,9,0.39,5,0.22,2,0.09,5,0.22,2,0.09,2,0.09,5,0.22,5,0.22,6,0.26,5,0.22,7,0.3
香川県,144,5.14,13,0.46,7,0.25,3,0.11,6,0.21,4,0.14,14,0.5,17,0.61,10,0.36,7,0.25,2,0.07,5,0.18,5,0.18,3,0.11,10,0.36,11,0.39,27,0.96
愛媛県,244,6.78,6,0.16,7,0.19,6,0.16,6,0.16,18,0.49,21,0.57,26,0.7,14,0.38,17,0.46,9,0.24,10,0.27,7,0.19,24,0.67,9,0.24,23,0.62,41,1.11
高知県,153,5.67,8,0.3,11,0.41,17,0.63,22,0.81,6,0.22,12,0.44,8,0.3,4,0.15,6,0.22,14,0.52,7,0.26,3,0.11,2,0.07,4,0.15,6,0.22,23,0.85
福岡県,1288,10.73,41,0.34,24,0.2,64,0.53,45,0.38,67,0.56,47,0.39,57,0.48,60,0.5,53,0.44,82,0.68,86,0.72,91,0.76,83,0.69,106,0.88,185,1.54,197,1.64
佐賀県,429,18.65,10,0.43,16,0.7,16,0.7,18,0.78,12,0.52,14,0.61,18,0.78,25,1.09,34,1.48,40,1.74,31,1.35,14,0.61,42,1.83,37,1.61,57,2.48,45,1.96
長崎県,631,14.34,21,0.48,21,0.48,36,0.82,28,0.64,35,0.8,41,0.93,63,1.43,23,0.52,29,0.66,24,0.55,32,0.73,45,1.02,50,1.14,55,1.25,60,1.36,68,1.55
熊本県,713,14.55,14,0.28,32,0.64,84,1.68,71,1.42,57,1.14,59,1.18,53,1.06,53,1.06,43,0.86,41,0.82,59,1.18,41,0.84,32,0.65,15,0.31,30,0.64,29,0.6
大分県,96,2.67,2,0.06,0,0,4,0.11,2,0.06,2,0.06,1,0.03,1,0.03,1,0.03,0,0,0,0,2,0.06,9,0.25,5,0.14,8,0.22,39,1.08,20,0.56
宮崎県,383,10.94,7,0.19,8,0.22,13,0.37,14,0.39,9,0.25,5,0.14,10,0.28,7,0.19,22,0.61,19,0.53,20,0.56,20,0.56,39,1.08,45,1.25,59,1.64,86,2.39
鹿児島県,1187,22.4,18,0.33,15,0.28,33,0.61,40,0.74,50,0.93,35,0.65,33,0.61,58,1.07,50,0.93,68,1.26,67,1.24,73,1.35,82,1.58,127,2.4,226,4.26,212,4
沖縄県,143,4.47,11,0.33,6,0.18,6,0.18,7,0.21,11,0.33,9,0.28,8,0.25,4,0.13,3,0.09,3,0.09,8,0.25,6,0.19,10,0.3,6,0.18,19,0.59,26,0.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,7917,2.52,364,0.12,362,0.11,386,0.12,375,0.12,406,0.13,389,0.12,529,0.17,494,0.16,487,0.15,528,0.17,530,0.17,505,0.16,578,0.18,541,0.17,615,0.2,828,0.26
北海道,513,3.72,36,0.26,34,0.24,37,0.27,26,0.19,39,0.28,20,0.14,26,0.19,36,0.26,23,0.17,26,0.19,40,0.29,25,0.18,32,0.23,22,0.16,36,0.26,55,0.39
青森県,59,1.44,5,0.12,1,0.02,5,0.12,1,0.02,5,0.12,3,0.07,6,0.14,5,0.12,3,0.07,2,0.05,5,0.12,4,0.1,4,0.1,3,0.08,3,0.08,4,0.1
岩手県,51,1.31,4,0.1,1,0.03,4,0.1,2,0.05,3,0.08,3,0.08,2,0.05,1,0.03,3,0.08,4,0.1,5,0.13,3,0.08,6,0.15,2,0.05,1,0.03,7,0.18
宮城県,125,2.19,6,0.1,8,0.14,11,0.19,10,0.17,2,0.03,9,0.16,12,0.21,5,0.09,6,0.1,5,0.09,4,0.07,7,0.12,8,0.14,3,0.05,10,0.18,19,0.35
秋田県,39,1.18,4,0.12,2,0.06,1,0.03,6,0.18,3,0.09,3,0.09,2,0.06,3,0.09,4,0.12,3,0.09,2,0.06,1,0.03,3,0.09,0,0,1,0.03,1,0.03
山形県,70,2.5,4,0.14,3,0.1,1,0.03,5,0.17,4,0.14,2,0.07,1,0.03,7,0.24,7,0.24,5,0.17,6,0.21,3,0.1,5,0.17,4,0.14,9,0.32,4,0.14
福島県,144,2.88,16,0.32,8,0.16,12,0.24,4,0.08,4,0.08,6,0.12,9,0.18,6,0.12,7,0.14,7,0.14,12,0.24,10,0.2,14,0.28,7,0.14,8,0.16,14,0.28
茨城県,137,1.83,4,0.05,8,0.11,1,0.01,4,0.05,7,0.09,6,0.08,7,0.09,9,0.12,7,0.09,10,0.13,9,0.12,13,0.17,10,0.13,14,0.19,13,0.17,15,0.2
栃木県,42,0.88,2,0.04,1,0.02,1,0.02,1,0.02,2,0.04,1,0.02,4,0.08,1,0.02,6,0.13,3,0.06,2,0.04,4,0.08,4,0.08,3,0.06,4,0.08,3,0.06
群馬県,164,3.09,4,0.08,11,0.21,6,0.11,11,0.21,10,0.19,5,0.09,5,0.09,5,0.09,11,0.21,7,0.13,16,0.3,9,0.17,14,0.26,25,0.46,9,0.17,16,0.3
埼玉県,386,2.41,12,0.08,10,0.06,11,0.07,12,0.07,23,0.14,27,0.17,36,0.23,31,0.19,24,0.15,29,0.18,20,0.13,23,0.14,28,0.18,35,0.21,27,0.17,38,0.23
千葉県,155,1.19,7,0.05,2,0.02,3,0.02,9,0.07,6,0.05,6,0.05,2,0.02,2,0.02,6,0.05,12,0.09,10,0.08,7,0.05,14,0.11,17,0.13,19,0.15,33,0.26
東京都,479,1.85,17,0.07,15,0.06,19,0.07,23,0.09,22,0.08,19,0.07,25,0.1,32,0.12,30,0.12,42,0.16,22,0.09,29,0.11,44,0.17,30,0.12,54,0.21,56,0.22
神奈川県,263,1.16,10,0.04,10,0.04,20,0.09,13,0.06,9,0.04,10,0.04,23,0.1,11,0.05,14,0.06,9,0.04,11,0.05,18,0.08,19,0.08,23,0.1,16,0.07,47,0.21
新潟県,185,3.36,8,0.14,13,0.23,2,0.04,6,0.11,10,0.18,11,0.2,11,0.2,19,0.34,12,0.21,10,0.18,16,0.29,5,0.09,14,0.26,4,0.07,10,0.19,34,0.63
富山県,170,5.86,3,0.1,3,0.1,8,0.28,12,0.41,15,0.52,6,0.21,13,0.45,5,0.17,8,0.28,16,0.55,12,0.41,10,0.34,5,0.17,9,0.31,14,0.48,31,1.07
石川県,95,3.28,7,0.24,4,0.14,4,0.14,6,0.21,2,0.07,3,0.1,4,0.14,4,0.14,4,0.14,12,0.41,8,0.28,9,0.31,8,0.28,7,0.24,7,0.24,6,0.21
福井県,160,6.96,9,0.39,4,0.17,9,0.39,9,0.39,8,0.35,11,0.48,22,0.96,14,0.61,14,0.61,5,0.22,6,0.26,6,0.26,7,0.3,11,0.48,11,0.48,14,0.61
山梨県,7,0.29,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0,0,0,2,0.08,1,0.04,0,0,1,0.04,0,0,0,0
長野県,69,1.3,1,0.02,2,0.04,1,0.02,0,0,1,0.02,4,0.08,17,0.32,1,0.02,2,0.04,8,0.15,4,0.08,1,0.02,2,0.04,11,0.21,2,0.04,12,0.23
