報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年17週(04月24日～04月30日),2023年05月08日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週
岡山県,9172,109.19,307,3.65,442,5.26,490,5.83,515,6.13,657,7.82,670,7.98,789,9.39,787,9.37,690,8.21,1037,12.35,871,10.37,589,7.01,385,4.58,270,3.21,207,2.46,248,2.95,218,2.6
広島県,13972,122.56,274,2.4,478,4.16,942,8.19,1010,8.78,1004,8.73,1061,9.23,965,8.39,880,7.65,1033,8.98,1166,10.14,1114,9.69,1158,10.07,913,8.01,626,5.49,434,3.81,479,4.2,435,3.82
山口県,5702,87.72,205,3.11,347,5.34,277,4.2,273,4.14,331,5.02,310,4.7,402,6.09,498,7.55,524,7.94,668,10.12,616,9.33,470,7.12,224,3.39,143,2.13,139,2.14,165,2.54,110,1.69
徳島県,2965,80.14,172,4.65,264,7.14,228,6.16,203,5.49,172,4.65,203,5.49,224,6.05,263,7.11,288,7.78,378,10.22,227,6.14,95,2.57,76,2.05,48,1.3,22,0.59,39,1.05,63,1.7
香川県,6851,145.77,171,3.64,441,9.38,444,9.45,424,9.02,634,13.49,804,17.11,795,16.91,653,13.89,547,11.64,662,14.09,479,10.19,414,8.81,183,3.89,90,1.91,39,0.83,43,0.91,28,0.6
愛媛県,6282,104.7,451,7.39,625,10.25,544,8.92,544,8.92,575,9.43,368,6.03,387,6.34,457,7.49,430,7.05,565,9.26,416,6.82,261,4.28,234,3.9,166,2.72,130,2.13,77,1.26,52,0.85
高知県,4614,102.53,129,2.87,323,7.18,386,8.58,452,10.04,530,11.78,483,10.73,455,10.11,349,7.76,354,7.87,295,6.56,162,3.6,143,3.18,101,2.24,75,1.67,146,3.24,145,3.22,86,1.91
福岡県,42971,217.03,1912,9.66,3456,17.45,4100,20.71,4296,21.7,4822,24.35,4826,24.37,3930,19.85,3060,15.45,2879,14.54,2939,14.84,2026,10.23,1727,8.72,1009,5.1,601,3.04,512,2.59,523,2.64,353,1.78
佐賀県,7277,186.59,393,10.08,616,15.79,660,16.92,489,12.54,738,18.92,697,17.87,767,19.67,691,17.72,627,16.08,565,14.49,285,7.31,202,5.18,167,4.28,111,2.85,114,2.92,67,1.72,88,2.26
長崎県,10755,153.64,498,7.11,1032,14.74,1036,14.8,858,12.26,1013,14.47,1250,17.86,1055,15.07,1045,14.93,880,12.57,782,11.17,377,5.39,275,3.93,211,3.01,169,2.41,86,1.23,105,1.5,83,1.19
熊本県,8659,109.61,437,5.46,688,8.6,700,8.75,726,9.08,833,10.41,913,11.41,731,9.14,583,7.29,582,7.28,707,8.84,554,6.93,436,5.52,287,3.63,154,1.97,92,1.19,112,1.44,124,1.57
大分県,9883,170.4,298,5.14,490,8.45,603,10.4,690,11.9,914,15.76,1215,20.95,846,14.59,1009,17.4,872,15.03,939,16.19,645,11.12,500,8.62,280,4.83,205,3.53,154,2.66,133,2.29,90,1.55
宮崎県,10168,178.39,705,12.37,949,16.65,985,17.59,939,16.47,1273,22.33,1349,23.26,1049,18.09,703,12.12,511,8.81,544,9.38,335,5.78,308,5.31,193,3.33,56,0.97,53,0.91,103,1.78,113,1.98
鹿児島県,7707,84.69,599,6.58,1248,13.57,894,9.72,762,8.28,805,8.75,720,7.83,387,4.21,387,4.21,355,3.86,407,4.42,332,3.61,190,2.07,102,1.13,104,1.16,75,0.83,170,1.89,170,1.89
沖縄県,15984,290.62,1032,18.43,1861,33.23,2171,38.77,2309,41.23,2642,47.18,1664,30.25,1020,18.55,702,12.76,443,8.05,620,11.27,496,9.02,416,7.56,244,4.36,133,2.38,112,2.04,74,1.35,45,0.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,24415,7.76,579,0.18,562,0.18,896,0.28,954,0.3,960,0.3,952,0.3,1010,0.32,964,0.31,1060,0.34,1116,0.35,1229,0.39,1313,0.42,1514,0.48,1688,0.54,2717,0.87,3517,1.12,3384,1.08
北海道,3382,24.51,44,0.32,46,0.33,64,0.46,80,0.58,98,0.71,152,1.09,182,1.31,191,1.37,240,1.73,249,1.79,293,2.11,252,1.81,231,1.66,216,1.55,316,2.27,394,2.81,334,2.39
青森県,225,5.49,3,0.07,11,0.26,11,0.26,13,0.31,5,0.12,3,0.07,21,0.5,0,0,0,0,34,0.81,1,0.02,2,0.05,2,0.05,12,0.3,31,0.78,42,1.05,34,0.85
岩手県,431,11.05,17,0.43,5,0.13,14,0.35,28,0.7,41,1.03,24,0.6,32,0.8,43,1.08,31,0.78,26,0.65,22,0.55,9,0.23,29,0.73,29,0.74,21,0.54,31,0.79,29,0.74
宮城県,437,7.67,24,0.41,9,0.16,53,0.91,28,0.48,21,0.36,24,0.41,35,0.6,33,0.57,38,0.66,13,0.22,16,0.28,9,0.16,14,0.24,23,0.41,30,0.55,35,0.64,32,0.58
秋田県,59,1.79,2,0.06,5,0.15,2,0.06,9,0.27,6,0.18,3,0.09,5,0.15,1,0.03,2,0.06,4,0.12,2,0.06,2,0.06,2,0.06,1,0.03,2,0.06,3,0.09,8,0.24
山形県,169,6.04,8,0.28,7,0.24,25,0.86,17,0.59,18,0.62,10,0.34,19,0.66,23,0.79,14,0.48,5,0.17,6,0.21,4,0.14,3,0.1,3,0.11,3,0.11,2,0.07,2,0.07
福島県,957,19.14,54,1.08,38,0.76,100,2,117,2.34,104,2.08,68,1.36,59,1.18,42,0.84,44,0.88,46,0.92,40,0.8,41,0.82,38,0.76,32,0.64,39,0.78,57,1.14,38,0.76
茨城県,136,1.81,4,0.05,5,0.07,8,0.11,12,0.16,22,0.29,25,0.33,5,0.07,4,0.05,13,0.17,2,0.03,5,0.07,3,0.04,4,0.05,4,0.05,10,0.13,2,0.03,8,0.1
栃木県,110,2.29,9,0.19,8,0.17,3,0.06,6,0.13,1,0.02,2,0.04,2,0.04,0,0,2,0.04,3,0.06,1,0.02,2,0.04,4,0.08,8,0.17,9,0.19,15,0.31,35,0.73
群馬県,94,1.77,16,0.3,7,0.13,12,0.23,7,0.13,7,0.13,3,0.06,8,0.15,7,0.13,2,0.04,1,0.02,0,0,2,0.04,2,0.04,3,0.06,6,0.11,3,0.06,8,0.15
埼玉県,754,4.71,16,0.1,9,0.06,15,0.09,23,0.14,13,0.08,23,0.14,22,0.14,23,0.14,27,0.17,28,0.17,35,0.22,37,0.23,53,0.34,68,0.42,110,0.68,136,0.84,116,0.72
千葉県,209,1.61,10,0.08,6,0.05,10,0.08,24,0.18,22,0.17,11,0.08,4,0.03,2,0.02,0,0,5,0.04,8,0.06,9,0.07,8,0.06,11,0.09,26,0.2,22,0.17,31,0.24
東京都,646,2.49,12,0.05,21,0.08,16,0.06,15,0.06,46,0.18,10,0.04,9,0.03,11,0.04,15,0.06,26,0.1,39,0.15,37,0.14,44,0.17,64,0.25,84,0.32,110,0.42,87,0.33
神奈川県,306,1.35,11,0.05,13,0.06,23,0.1,11,0.05,13,0.06,18,0.08,15,0.07,14,0.06,33,0.14,13,0.06,9,0.04,10,0.04,18,0.08,25,0.11,23,0.1,18,0.08,39,0.17
新潟県,709,12.89,29,0.52,20,0.36,42,0.75,54,0.96,25,0.45,42,0.75,29,0.52,19,0.34,61,1.09,30,0.54,41,0.73,34,0.61,35,0.65,34,0.63,46,0.85,96,1.78,72,1.33
富山県,500,17.24,5,0.17,9,0.31,12,0.41,13,0.45,18,0.62,24,0.83,36,1.24,44,1.52,18,0.62,16,0.55,28,0.97,33,1.14,31,1.07,42,1.45,37,1.28,76,2.62,58,2
石川県,316,10.9,3,0.1,5,0.17,5,0.17,18,0.62,30,1.03,46,1.59,20,0.69,19,0.66,25,0.86,15,0.52,14,0.48,16,0.55,7,0.24,14,0.48,26,0.9,26,0.9,27,0.93
福井県,391,17,6,0.26,5,0.22,7,0.3,5,0.22,8,0.35,6,0.26,6,0.26,5,0.22,6,0.26,9,0.39,10,0.43,16,0.7,18,0.78,40,1.74,85,3.7,91,3.96,68,2.96
山梨県,70,2.92,14,0.58,10,0.42,10,0.42,5,0.21,8,0.33,1,0.04,6,0.25,4,0.17,1,0.04,0,0,1,0.04,1,0.04,4,0.17,4,0.17,0,0,1,0.04,0,0
長野県,232,4.38,25,0.46,20,0.37,22,0.41,33,0.61,14,0.26,5,0.09,9,0.17,9,0.17,10,0.19,7,0.13,10,0.19,15,0.28,15,0.28,4,0.08,8,0.15,15,0.28,11,0.21
岐阜県,222,4.27,5,0.09,4,0.08,2,0.04,1,0.02,1,0.02,6,0.11,10,0.19,11,0.21,4,0.08,8,0.15,6,0.11,10,0.19,12,0.24,23,0.43,30,0.57,45,0.85,44,0.83
静岡県,493,5.54,20,0.22,15,0.17,37,0.42,22,0.25,15,0.17,26,0.29,36,0.4,25,0.28,18,0.2,34,0.38,14,0.16,31,0.35,36,0.39,32,0.36,31,0.35,51,0.58,50,0.57
愛知県,454,2.49,5,0.03,13,0.07,9,0.05,22,0.12,13,0.07,28,0.15,10,0.05,9,0.05,11,0.06,24,0.13,12,0.07,22,0.12,27,0.15,30,0.16,56,0.31,77,0.42,86,0.47
三重県,100,2.27,0,0,0,0,5,0.11,3,0.07,1,0.02,1,0.02,0,0,1,0.02,1,0.02,7,0.16,7,0.16,2,0.04,4,0.09,2,0.04,17,0.38,21,0.47,28,0.62
滋賀県,198,5.66,2,0.06,2,0.06,3,0.08,2,0.06,1,0.03,1,0.03,1,0.03,0,0,4,0.11,2,0.06,3,0.08,9,0.25,8,0.22,8,0.23,22,0.61,49,1.36,81,2.25
京都府,720,9.6,9,0.12,4,0.05,7,0.09,8,0.11,4,0.05,12,0.16,3,0.04,7,0.09,20,0.26,23,0.3,42,0.55,57,0.76,68,0.89,66,0.87,97,1.28,144,1.92,149,2.04
大阪府,2800,14.51,24,0.12,30,0.15,15,0.08,26,0.13,29,0.15,29,0.15,40,0.21,52,0.27,63,0.32,101,0.52,124,0.64,190,0.97,219,1.12,236,1.22,435,2.24,581,3.04,606,3.19
兵庫県,1114,8.64,8,0.06,21,0.16,16,0.12,22,0.17,12,0.09,22,0.17,27,0.21,41,0.32,30,0.23,35,0.27,46,0.36,70,0.54,92,0.71,94,0.73,140,1.09,205,1.59,233,1.82
奈良県,389,11.44,1,0.03,1,0.03,3,0.09,4,0.12,7,0.21,11,0.32,15,0.44,9,0.26,13,0.38,11,0.32,20,0.59,20,0.59,10,0.29,23,0.68,72,2.12,88,2.59,81,2.38
和歌山県,387,12.9,9,0.3,12,0.4,1,0.03,16,0.53,5,0.17,4,0.13,1,0.03,10,0.33,3,0.1,2,0.07,2,0.07,7,0.23,21,0.7,20,0.67,50,1.67,111,3.7,113,3.77
鳥取県,40,2.11,1,0.05,1,0.05,2,0.11,0,0,0,0,1,0.05,2,0.11,1,0.05,2,0.11,2,0.11,0,0,0,0,1,0.05,0,0,1,0.05,2,0.11,24,1.26
島根県,25,1.09,0,0,0,0,0,0,0,0,0,0,2,0.09,0,0,2,0.09,3,0.13,1,0.04,0,0,0,0,1,0.04,1,0.04,2,0.09,5,0.22,8,0.35
岡山県,317,5.87,9,0.17,20,0.37,19,0.35,16,0.3,46,0.85,12,0.22,8,0.15,18,0.33,25,0.46,17,0.31,12,0.22,7,0.13,14,0.26,12,0.22,18,0.33,27,0.5,37,0.69
広島県,465,6.55,9,0.13,26,0.36,19,0.26,16,0.22,9,0.13,11,0.15,18,0.25,7,0.1,7,0.1,5,0.07,15,0.21,21,0.29,42,0.58,31,0.43,60,0.83,69,0.96,100,1.39
山口県,393,8.93,12,0.27,4,0.09,11,0.24,11,0.24,13,0.29,19,0.42,16,0.36,16,0.36,5,0.11,8,0.18,16,0.36,14,0.31,20,0.44,45,1,54,1.26,75,1.74,54,1.26
徳島県,103,4.48,2,0.09,3,0.13,11,0.48,8,0.35,13,0.57,9,0.39,5,0.22,2,0.09,5,0.22,2,0.09,2,0.09,5,0.22,5,0.22,6,0.26,5,0.22,7,0.3,13,0.57
香川県,170,6.07,13,0.46,7,0.25,3,0.11,6,0.21,4,0.14,14,0.5,17,0.61,10,0.36,7,0.25,2,0.07,5,0.18,5,0.18,3,0.11,10,0.36,11,0.39,27,0.96,26,0.93
愛媛県,283,7.86,6,0.16,7,0.19,6,0.16,6,0.16,18,0.49,21,0.57,26,0.7,14,0.38,17,0.46,9,0.24,10,0.27,7,0.19,24,0.67,9,0.24,23,0.62,41,1.11,39,1.05
高知県,172,6.37,8,0.3,11,0.41,17,0.63,22,0.81,6,0.22,12,0.44,8,0.3,4,0.15,6,0.22,14,0.52,7,0.26,3,0.11,2,0.07,4,0.15,6,0.22,23,0.85,19,0.7
福岡県,1451,12.09,41,0.34,24,0.2,64,0.53,45,0.38,67,0.56,47,0.39,57,0.48,60,0.5,53,0.44,82,0.68,86,0.72,91,0.76,83,0.69,106,0.88,185,1.54,200,1.67,160,1.33
佐賀県,470,20.43,10,0.43,16,0.7,16,0.7,18,0.78,12,0.52,14,0.61,18,0.78,25,1.09,34,1.48,40,1.74,31,1.35,14,0.61,42,1.83,37,1.61,57,2.48,45,1.96,41,1.78
長崎県,721,16.39,21,0.48,21,0.48,36,0.82,28,0.64,35,0.8,41,0.93,63,1.43,23,0.52,29,0.66,24,0.55,32,0.73,45,1.02,50,1.14,55,1.25,60,1.36,68,1.55,90,2.05
熊本県,723,14.76,14,0.28,32,0.64,84,1.68,71,1.42,57,1.14,59,1.18,53,1.06,53,1.06,43,0.86,41,0.82,59,1.18,41,0.84,32,0.65,15,0.31,30,0.64,29,0.6,10,0.2
大分県,132,3.67,2,0.06,0,0,4,0.11,2,0.06,2,0.06,1,0.03,1,0.03,1,0.03,0,0,0,0,2,0.06,9,0.25,5,0.14,8,0.22,39,1.08,20,0.56,36,1
宮崎県,450,12.86,7,0.19,8,0.22,13,0.37,14,0.39,9,0.25,5,0.14,10,0.28,7,0.19,22,0.61,19,0.53,20,0.56,20,0.56,39,1.08,45,1.25,59,1.64,94,2.61,59,1.69
鹿児島県,1321,24.92,18,0.33,15,0.28,33,0.61,40,0.74,50,0.93,35,0.65,33,0.61,58,1.07,50,0.93,68,1.26,67,1.24,73,1.35,82,1.58,127,2.4,226,4.26,212,4,134,2.53
沖縄県,169,5.28,11,0.33,6,0.18,6,0.18,7,0.21,11,0.33,9,0.28,8,0.25,4,0.13,3,0.09,3,0.09,8,0.25,6,0.19,10,0.3,6,0.18,19,0.59,26,0.81,26,0.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,8904,2.83,364,0.12,362,0.11,386,0.12,375,0.12,406,0.13,389,0.12,529,0.17,494,0.16,487,0.15,528,0.17,530,0.17,505,0.16,578,0.18,541,0.17,615,0.2,828,0.26,987,0.32
北海道,563,4.08,36,0.26,34,0.24,37,0.27,26,0.19,39,0.28,20,0.14,26,0.19,36,0.26,23,0.17,26,0.19,40,0.29,25,0.18,32,0.23,22,0.16,36,0.26,55,0.39,50,0.36
青森県,67,1.63,5,0.12,1,0.02,5,0.12,1,0.02,5,0.12,3,0.07,6,0.14,5,0.12,3,0.07,2,0.05,5,0.12,4,0.1,4,0.1,3,0.08,3,0.08,4,0.1,8,0.2
岩手県,53,1.36,4,0.1,1,0.03,4,0.1,2,0.05,3,0.08,3,0.08,2,0.05,1,0.03,3,0.08,4,0.1,5,0.13,3,0.08,6,0.15,2,0.05,1,0.03,7,0.18,2,0.05
宮城県,147,2.58,6,0.1,8,0.14,11,0.19,10,0.17,2,0.03,9,0.16,12,0.21,5,0.09,6,0.1,5,0.09,4,0.07,7,0.12,8,0.14,3,0.05,10,0.18,19,0.35,22,0.4
秋田県,44,1.33,4,0.12,2,0.06,1,0.03,6,0.18,3,0.09,3,0.09,2,0.06,3,0.09,4,0.12,3,0.09,2,0.06,1,0.03,3,0.09,0,0,1,0.03,1,0.03,5,0.15
山形県,80,2.86,4,0.14,3,0.1,1,0.03,5,0.17,4,0.14,2,0.07,1,0.03,7,0.24,7,0.24,5,0.17,6,0.21,3,0.1,5,0.17,4,0.14,9,0.32,4,0.14,10,0.36
福島県,156,3.12,16,0.32,8,0.16,12,0.24,4,0.08,4,0.08,6,0.12,9,0.18,6,0.12,7,0.14,7,0.14,12,0.24,10,0.2,14,0.28,7,0.14,8,0.16,14,0.28,12,0.24
茨城県,152,2.03,4,0.05,8,0.11,1,0.01,4,0.05,7,0.09,6,0.08,7,0.09,9,0.12,7,0.09,10,0.13,9,0.12,13,0.17,10,0.13,14,0.19,13,0.17,15,0.2,15,0.19
栃木県,48,1,2,0.04,1,0.02,1,0.02,1,0.02,2,0.04,1,0.02,4,0.08,1,0.02,6,0.13,3,0.06,2,0.04,4,0.08,4,0.08,3,0.06,4,0.08,3,0.06,6,0.13
群馬県,177,3.34,4,0.08,11,0.21,6,0.11,11,0.21,10,0.19,5,0.09,5,0.09,5,0.09,11,0.21,7,0.13,16,0.3,9,0.17,14,0.26,25,0.46,9,0.17,16,0.3,13,0.24
埼玉県,464,2.9,12,0.08,10,0.06,11,0.07,12,0.07,23,0.14,27,0.17,36,0.23,31,0.19,24,0.15,29,0.18,20,0.13,23,0.14,28,0.18,35,0.21,27,0.17,38,0.23,78,0.48
千葉県,191,1.47,7,0.05,2,0.02,3,0.02,9,0.07,6,0.05,6,0.05,2,0.02,2,0.02,6,0.05,12,0.09,10,0.08,7,0.05,14,0.11,17,0.13,19,0.15,33,0.25,36,0.28
東京都,561,2.17,17,0.07,15,0.06,19,0.07,23,0.09,22,0.08,19,0.07,25,0.1,32,0.12,30,0.12,42,0.16,22,0.09,29,0.11,44,0.17,30,0.12,54,0.21,56,0.22,82,0.32
