報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年13週(03月25日～03月31日),2024年04月03日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週
静岡県,23605,169.82,1611,11.59,1924,13.84,2088,15.02,1972,14.19,2008,14.45,1924,13.84,1802,12.96,1307,9.4,1177,8.47,1663,11.96,2280,16.4,2160,15.54,1689,12.15
愛知県,47578,243.99,3303,16.94,3428,17.58,4428,22.71,4812,24.68,5368,27.53,5768,29.58,4735,24.28,3549,18.2,2533,12.99,2819,14.46,2788,14.3,2336,11.98,1711,8.77
三重県,14762,205.03,995,13.82,995,13.82,1292,17.94,1278,17.75,1495,20.76,1618,22.47,1488,20.67,1280,17.78,944,13.11,990,13.75,955,13.26,779,10.82,653,9.07
滋賀県,11094,188.03,881,14.93,699,11.65,949,16.08,1066,18.07,1097,18.28,1168,19.47,1066,17.77,838,13.97,639,10.65,718,11.97,742,12.37,672,11.2,559,9.32
京都府,25838,208.37,1361,11.16,1479,11.83,2436,19.65,2993,24.14,3844,31,3775,30.44,2842,22.74,1992,15.94,1365,10.92,1231,9.85,1085,8.68,796,6.37,639,5.15
大阪府,59495,194.43,3602,11.77,3710,12.12,5901,19.28,7306,23.88,9069,29.64,9146,29.79,6582,21.44,4160,13.55,2761,8.99,2445,7.96,2018,6.57,1541,5.02,1254,4.08
兵庫県,36465,184.17,1962,9.91,2263,11.43,3858,19.48,4407,22.26,5160,26.06,5280,26.67,3981,20.11,2698,13.63,1896,9.58,1550,7.83,1356,6.85,1103,5.57,951,4.8
奈良県,11329,209.8,454,8.25,750,13.64,1202,21.85,1428,25.96,1729,31.44,1792,32.58,1231,22.8,800,14.81,545,10.09,507,9.39,357,6.61,315,5.73,219,3.98
和歌山県,8699,177.53,521,10.63,596,12.16,759,15.49,796,16.24,975,19.9,923,18.84,881,17.98,585,11.94,518,10.57,493,10.06,529,10.8,555,11.33,568,11.36
鳥取県,4168,143.72,408,14.07,335,11.55,254,8.76,288,9.93,267,9.21,343,11.83,275,9.48,231,7.97,218,7.52,301,10.38,366,12.62,404,13.93,478,16.48
島根県,5028,132.32,443,11.66,277,7.29,324,8.53,246,6.47,380,10,304,8,246,6.47,213,5.61,267,7.03,498,13.11,757,19.92,631,16.61,442,11.63
岡山県,14142,168.36,922,10.98,882,10.5,1057,12.58,1144,13.62,1526,18.17,1565,18.63,1462,17.4,1295,15.42,1106,13.17,973,11.58,1026,12.21,674,8.02,510,6.07
広島県,20621,184.12,1226,10.85,1030,9.2,1260,11.15,1384,12.25,1837,16.4,2251,20.28,2113,18.87,1769,15.65,1442,12.76,1743,15.42,1863,16.49,1439,12.73,1264,11.19
山口県,14326,213.82,752,11.22,995,14.85,1164,17.37,1031,15.39,1322,19.73,1557,23.24,1283,19.15,1148,17.13,1037,15.48,1143,17.06,1140,17.01,916,13.67,838,12.51
徳島県,6599,178.35,503,13.59,492,13.3,576,15.57,617,16.68,610,16.49,496,13.41,510,13.78,433,11.7,412,11.14,510,13.78,565,15.27,479,12.95,396,10.7
香川県,7386,157.15,651,13.85,446,9.49,624,13.28,448,9.53,624,13.28,498,10.6,537,11.43,375,7.98,468,9.96,602,12.81,756,16.09,746,15.87,611,13
愛媛県,13427,223.78,588,9.97,876,14.36,1228,20.13,1106,18.13,1144,18.75,901,14.77,858,14.07,750,12.3,678,11.11,868,14.23,1298,21.28,1558,25.54,1574,25.8
高知県,8965,203.75,721,16.39,640,14.55,553,12.57,534,12.14,806,18.32,816,18.55,670,15.23,532,12.09,552,12.55,691,15.7,845,19.2,908,20.64,697,15.84
福岡県,64655,326.54,3504,17.7,3189,16.11,5159,26.06,6914,34.92,11359,57.37,11429,57.72,7393,37.34,4794,24.21,3167,15.99,3022,15.26,2260,11.41,1499,7.57,966,4.88
佐賀県,10219,262.03,487,12.49,513,13.15,857,21.97,873,22.38,1572,40.31,1488,38.15,1040,26.67,770,19.74,538,13.79,745,19.1,587,15.05,422,10.82,327,8.38
長崎県,17892,259.3,1186,16.94,1107,15.81,1372,19.6,1190,17,1868,26.69,1961,28.01,1592,22.74,1454,21.07,1299,18.83,1478,21.42,1420,20.58,1169,16.94,796,11.54
熊本県,21072,266.73,1275,15.94,1370,17.13,1669,20.86,1862,23.28,2506,31.33,2786,34.83,2393,29.91,1711,21.39,1346,16.83,1350,16.88,1260,15.75,818,10.35,726,9.08
大分県,16154,278.52,1114,19.21,1075,18.53,1203,20.74,1215,20.95,1876,32.34,1992,34.34,1767,30.47,1189,20.5,1022,17.62,1068,18.41,1068,18.41,875,15.09,690,11.9
宮崎県,16838,290.31,1511,26.05,1328,22.9,1613,27.81,1732,29.86,2270,39.14,1961,33.81,1535,26.47,1179,20.33,844,14.55,845,14.57,788,13.59,684,11.79,548,9.45
鹿児島県,18911,212.48,1325,14.89,1523,17.11,1818,20.43,1378,15.48,1960,22.02,2023,22.73,1783,20.03,1259,14.15,1047,11.76,1133,12.73,1283,14.42,1322,14.85,1057,11.88
沖縄県,15677,290.31,1018,18.85,1195,22.13,1746,32.33,1719,31.83,2214,41,1604,29.7,1530,28.33,1152,21.33,930,17.22,820,15.19,724,13.41,562,10.41,463,8.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,10737,3.43,131,0.04,198,0.06,235,0.08,358,0.11,380,0.12,438,0.14,466,0.15,661,0.21,900,0.29,1171,0.37,1493,0.48,1812,0.58,2494,0.8
北海道,1310,9.49,47,0.35,59,0.42,60,0.43,80,0.58,102,0.73,80,0.58,89,0.64,105,0.76,105,0.76,130,0.94,153,1.11,153,1.11,147,1.07
青森県,14,0.38,1,0.03,1,0.03,2,0.05,0,0,2,0.05,0,0,0,0,0,0,5,0.14,1,0.03,2,0.05,0,0,0,0
岩手県,41,1.08,1,0.03,6,0.15,4,0.1,8,0.21,6,0.15,0,0,2,0.05,0,0,1,0.03,4,0.1,3,0.08,3,0.08,3,0.08
宮城県,167,3.04,2,0.04,2,0.04,4,0.07,4,0.07,9,0.16,6,0.11,9,0.16,13,0.24,5,0.09,21,0.38,19,0.35,29,0.53,44,0.8
秋田県,26,0.81,0,0,1,0.03,0,0,0,0,1,0.03,1,0.03,2,0.06,4,0.12,6,0.18,4,0.12,5,0.15,1,0.03,1,0.03
山形県,48,1.71,2,0.07,0,0,1,0.04,2,0.07,1,0.04,2,0.07,2,0.07,0,0,0,0,5,0.18,5,0.18,8,0.29,20,0.71
福島県,309,6.31,6,0.12,5,0.1,14,0.29,32,0.65,9,0.18,21,0.43,23,0.47,15,0.31,30,0.61,29,0.59,37,0.76,49,1,39,0.8
茨城県,155,2.07,6,0.08,1,0.01,0,0,7,0.09,5,0.07,7,0.09,4,0.05,6,0.08,16,0.21,25,0.33,25,0.33,25,0.33,28,0.37
栃木県,242,5.04,1,0.02,3,0.06,3,0.06,12,0.25,13,0.27,14,0.29,13,0.27,13,0.27,32,0.67,33,0.69,21,0.44,32,0.67,52,1.08
群馬県,249,4.7,0,0,2,0.04,1,0.02,3,0.06,5,0.09,3,0.06,7,0.13,32,0.6,25,0.47,37,0.7,31,0.58,42,0.79,61,1.15
埼玉県,609,3.74,2,0.01,7,0.04,8,0.05,13,0.08,13,0.08,22,0.13,26,0.16,46,0.28,50,0.3,40,0.24,74,0.45,104,0.63,204,1.25
千葉県,268,2.14,8,0.06,4,0.03,1,0.01,32,0.26,21,0.17,30,0.24,19,0.15,11,0.09,20,0.16,19,0.15,20,0.16,36,0.29,47,0.37
東京都,691,2.65,3,0.01,5,0.02,6,0.02,11,0.04,16,0.06,20,0.08,27,0.1,31,0.12,56,0.21,65,0.25,120,0.46,141,0.54,190,0.73
神奈川県,468,2.04,1,0,15,0.07,5,0.02,6,0.03,5,0.02,4,0.02,10,0.04,22,0.09,37,0.16,46,0.2,82,0.36,97,0.42,138,0.6
新潟県,86,1.56,2,0.04,2,0.04,1,0.02,4,0.07,1,0.02,3,0.05,3,0.05,4,0.07,14,0.25,8,0.15,14,0.25,13,0.24,17,0.31
富山県,50,1.72,1,0.03,8,0.28,1,0.03,3,0.1,1,0.03,5,0.17,3,0.1,1,0.03,5,0.17,9,0.31,6,0.21,3,0.1,4,0.14
石川県,58,2.07,2,0.07,3,0.11,0,0,0,0,1,0.04,3,0.11,1,0.03,1,0.03,3,0.1,7,0.24,11,0.38,9,0.31,17,0.59
福井県,182,7.28,1,0.04,3,0.12,7,0.28,10,0.4,5,0.2,1,0.04,6,0.24,8,0.32,7,0.28,15,0.6,24,0.96,36,1.44,59,2.36
山梨県,25,1.04,0,0,1,0.04,2,0.08,1,0.04,0,0,0,0,0,0,3,0.13,3,0.13,5,0.21,2,0.08,3,0.13,5,0.21
長野県,100,1.85,0,0,6,0.11,5,0.09,7,0.13,6,0.11,7,0.13,6,0.11,9,0.17,16,0.3,10,0.19,11,0.2,11,0.2,6,0.11
岐阜県,154,2.91,3,0.06,2,0.04,2,0.04,3,0.06,6,0.11,15,0.28,9,0.17,10,0.19,16,0.3,13,0.25,14,0.26,19,0.36,42,0.79
静岡県,129,1.45,2,0.02,0,0,4,0.04,3,0.03,3,0.03,2,0.02,4,0.04,5,0.06,11,0.12,15,0.17,19,0.21,22,0.25,39,0.44
愛知県,305,1.68,1,0.01,1,0.01,5,0.03,2,0.01,3,0.02,9,0.05,10,0.05,10,0.05,18,0.1,30,0.16,49,0.27,58,0.32,109,0.6
三重県,111,2.47,1,0.02,0,0,2,0.04,1,0.02,0,0,4,0.09,2,0.04,5,0.11,9,0.2,9,0.2,10,0.22,19,0.42,49,1.09
滋賀県,72,2.06,1,0.03,1,0.03,1,0.03,1,0.03,2,0.06,2,0.06,1,0.03,13,0.36,4,0.11,6,0.17,13,0.36,14,0.39,13,0.36
京都府,293,3.91,3,0.04,0,0,5,0.07,4,0.05,4,0.05,18,0.24,7,0.09,20,0.26,20,0.26,28,0.37,47,0.62,42,0.55,95,1.25
大阪府,2289,11.62,19,0.1,21,0.11,29,0.15,53,0.27,52,0.26,68,0.34,75,0.38,133,0.67,204,1.03,307,1.55,367,1.85,441,2.23,520,2.63
兵庫県,461,3.6,2,0.02,3,0.02,10,0.08,10,0.08,19,0.15,11,0.09,19,0.15,25,0.2,35,0.27,46,0.36,58,0.45,102,0.8,121,0.95
奈良県,286,8.67,0,0,2,0.06,1,0.03,2,0.06,3,0.09,8,0.24,2,0.06,0,0,12,0.36,39,1.18,38,1.15,64,1.88,115,3.38
和歌山県,122,4.07,0,0,2,0.07,8,0.27,9,0.3,11,0.37,12,0.4,12,0.4,11,0.37,4,0.13,13,0.43,10,0.33,6,0.2,24,0.8
鳥取県,20,1.05,0,0,1,0.05,1,0.05,1,0.05,2,0.11,2,0.11,3,0.16,4,0.21,2,0.11,0,0,1,0.05,2,0.11,1,0.05
島根県,33,1.43,0,0,1,0.04,1,0.04,2,0.09,0,0,4,0.17,3,0.13,3,0.13,5,0.22,7,0.3,3,0.13,1,0.04,3,0.13
岡山県,56,1.04,2,0.04,1,0.02,1,0.02,3,0.06,1,0.02,1,0.02,2,0.04,2,0.04,7,0.13,7,0.13,12,0.22,7,0.13,10,0.19
広島県,214,3.1,1,0.01,4,0.06,7,0.1,5,0.07,9,0.13,10,0.15,10,0.14,7,0.1,29,0.41,25,0.36,29,0.41,28,0.4,50,0.71
山口県,177,4.12,0,0,0,0,0,0,2,0.05,1,0.02,3,0.07,4,0.09,21,0.49,14,0.33,14,0.33,24,0.56,45,1.05,49,1.14
徳島県,25,1.09,0,0,1,0.04,0,0,0,0,0,0,1,0.04,2,0.09,4,0.17,1,0.04,2,0.09,0,0,6,0.26,8,0.35
香川県,73,2.61,0,0,1,0.04,0,0,2,0.07,4,0.14,1,0.04,2,0.07,9,0.32,6,0.21,3,0.11,16,0.57,11,0.39,18,0.64
愛媛県,67,1.86,0,0,0,0,2,0.05,2,0.05,3,0.08,1,0.03,3,0.08,1,0.03,2,0.05,4,0.11,5,0.14,21,0.57,23,0.62
高知県,4,0.16,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0,1,0.04,0,0
福岡県,275,2.29,0,0,6,0.05,8,0.07,3,0.03,11,0.09,12,0.1,19,0.16,18,0.15,14,0.12,38,0.32,48,0.4,42,0.35,56,0.47
佐賀県,43,1.87,0,0,5,0.22,0,0,2,0.09,1,0.04,2,0.09,3,0.13,0,0,6,0.26,4,0.17,5,0.22,9,0.39,6,0.26
長崎県,39,0.91,0,0,3,0.07,0,0,0,0,3,0.07,1,0.02,0,0,5,0.12,6,0.14,2,0.05,9,0.21,2,0.05,8,0.19
熊本県,110,2.2,0,0,0,0,0,0,1,0.02,2,0.04,5,0.1,5,0.1,7,0.14,7,0.14,15,0.3,15,0.3,25,0.5,28,0.56
大分県,26,0.72,3,0.08,0,0,0,0,0,0,1,0.03,3,0.08,2,0.06,3,0.08,3,0.08,7,0.19,3,0.08,1,0.03,0,0
宮崎県,43,1.19,2,0.06,4,0.11,1,0.03,3,0.08,1,0.03,1,0.03,1,0.03,2,0.06,5,0.14,6,0.17,5,0.14,6,0.17,6,0.17
鹿児島県,148,2.9,0,0,3,0.06,9,0.18,6,0.12,9,0.18,8,0.16,10,0.2,12,0.24,21,0.41,14,0.27,20,0.39,19,0.37,17,0.33
沖縄県,64,2.06,5,0.16,2,0.06,13,0.42,3,0.1,7,0.23,4,0.13,3,0.1,7,0.23,3,0.1,3,0.1,8,0.26,4,0.13,2,0.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,41885,13.37,4524,1.46,4526,1.44,4001,1.28,3881,1.24,3602,1.15,3347,1.07,2857,0.91,2643,0.84,2994,0.95,2748,0.88,2593,0.83,2199,0.7,1970,0.63
北海道,4536,32.87,511,3.81,469,3.37,464,3.34,413,2.97,394,2.83,364,2.62,325,2.34,308,2.22,327,2.35,268,1.94,242,1.75,261,1.89,190,1.39
青森県,507,13.7,54,1.46,32,0.86,39,1.05,48,1.3,35,0.95,58,1.57,42,1.14,30,0.81,23,0.62,56,1.51,43,1.16,23,0.62,24,0.65
岩手県,845,22.24,53,1.36,56,1.44,66,1.69,66,1.69,59,1.51,56,1.47,64,1.68,66,1.74,70,1.79,54,1.38,74,1.9,93,2.38,68,1.74
宮城県,1063,19.33,100,1.82,136,2.47,110,2,93,1.69,100,1.82,74,1.35,64,1.16,75,1.36,88,1.6,67,1.22,54,0.98,53,0.96,49,0.89
秋田県,226,7.06,16,0.52,20,0.61,16,0.48,13,0.39,22,0.67,26,0.79,11,0.33,13,0.39,22,0.67,15,0.45,15,0.45,14,0.42,23,0.7
山形県,887,31.68,78,2.79,58,2.07,75,2.68,85,3.04,93,3.32,71,2.54,73,2.61,54,1.93,80,2.86,75,2.68,67,2.39,41,1.46,37,1.32
福島県,977,19.94,105,2.14,104,2.12,84,1.71,75,1.53,107,2.18,102,2.08,82,1.67,53,1.08,72,1.47,55,1.12,61,1.24,47,0.96,30,0.61
茨城県,649,8.65,68,0.91,81,1.08,70,0.93,59,0.79,44,0.59,56,0.75,38,0.51,37,0.49,54,0.72,42,0.56,46,0.61,27,0.36,27,0.36
栃木県,400,8.33,57,1.19,49,1.02,37,0.77,38,0.79,28,0.58,27,0.56,25,0.52,28,0.58,26,0.54,24,0.5,20,0.42,23,0.48,18,0.38
群馬県,605,11.42,44,0.83,64,1.21,59,1.11,58,1.09,37,0.7,26,0.49,44,0.83,45,0.85,58,1.09,38,0.72,43,0.81,50,0.94,39,0.74
埼玉県,1906,11.69,350,2.2,242,1.48,186,1.13,189,1.15,167,1.02,146,0.9,121,0.74,106,0.65,94,0.57,72,0.44,98,0.6,78,0.48,57,0.35
千葉県,1279,10.23,187,1.48,177,1.4,154,1.23,103,0.83,110,0.87,78,0.62,61,0.49,77,0.62,69,0.55,64,0.51,70,0.56,66,0.53,63,0.5
東京都,1471,5.64,178,0.7,243,0.93,186,0.71,166,0.64,129,0.49,93,0.35,93,0.36,77,0.29,86,0.33,61,0.23,64,0.24,44,0.17,51,0.19
神奈川県,1584,6.92,222,1,228,1,187,0.82,149,0.65,134,0.59,87,0.38,87,0.38,74,0.32,90,0.39,92,0.4,75,0.33,77,0.33,82,0.36
新潟県,1818,33.05,65,1.18,104,1.89,105,1.91,156,2.84,175,3.18,203,3.69,154,2.8,125,2.27,172,3.13,194,3.53,155,2.82,120,2.18,90,1.64
富山県,970,33.45,60,2.07,70,2.41,62,2.14,107,3.69,100,3.45,87,3,69,2.38,50,1.72,76,2.62,85,2.93,77,2.66,63,2.17,64,2.21
石川県,620,22.14,80,2.96,58,2.15,61,2.26,83,2.96,58,2.07,55,1.96,49,1.69,34,1.17,24,0.83,28,0.97,40,1.38,25,0.86,25,0.86
福井県,684,27.36,68,2.72,106,4.24,71,2.84,90,3.6,76,3.04,45,1.8,47,1.88,38,1.52,43,1.72,38,1.52,29,1.16,15,0.6,18,0.72
山梨県,225,9.38,24,1,25,1.04,16,0.67,28,1.17,10,0.42,16,0.67,28,1.17,24,1,21,0.88,8,0.33,8,0.33,7,0.29,10,0.42
長野県,433,8.02,34,0.63,47,0.87,43,0.8,21,0.39,28,0.52,32,0.59,28,0.52,29,0.54,44,0.81,37,0.69,36,0.67,29,0.54,25,0.46
岐阜県,398,7.51,55,1.04,55,1.04,54,1.02,38,0.72,41,0.77,29,0.55,19,0.36,15,0.28,24,0.45,23,0.43,16,0.3,11,0.21,18,0.34
静岡県,1052,11.82,65,0.73,99,1.11,109,1.22,109,1.22,85,0.96,76,0.85,76,0.85,52,0.58,76,0.85,85,0.96,93,1.04,74,0.83,53,0.6
愛知県,1276,7.01,148,0.81,170,0.93,131,0.72,130,0.71,112,0.62,89,0.49,84,0.46,76,0.42,89,0.49,74,0.41,69,0.38,51,0.28,53,0.29
三重県,725,16.11,74,1.64,81,1.8,72,1.6,55,1.22,53,1.18,59,1.31,55,1.22,60,1.33,54,1.2,43,0.96,45,1,34,0.76,40,0.89
滋賀県,333,9.51,54,1.5,26,0.72,28,0.8,25,0.71,29,0.81,32,0.89,27,0.75,11,0.31,21,0.58,23,0.64,24,0.67,13,0.36,20,0.56
京都府,767,10.23,82,1.11,65,0.86,59,0.79,73,0.97,71,0.95,83,1.11,49,0.64,54,0.71,37,0.49,51,0.67,68,0.89,43,0.57,32,0.42
大阪府,1218,6.18,129,0.65,175,0.89,118,0.6,100,0.51,76,0.39,102,0.52,84,0.42,72,0.36,84,0.42,82,0.41,72,0.36,71,0.36,53,0.27
兵庫県,1388,10.84,133,1.04,154,1.2,123,0.96,136,1.06,112,0.88,117,0.91,91,0.71,72,0.56,122,0.95,107,0.84,84,0.66,73,0.57,64,0.5
奈良県,377,11.42,36,1.06,44,1.29,44,1.29,41,1.21,38,1.12,35,1.03,22,0.67,19,0.58,28,0.85,20,0.61,15,0.45,17,0.5,18,0.53
和歌山県,284,9.47,55,1.83,40,1.33,43,1.43,28,0.93,20,0.67,21,0.7,28,0.93,11,0.37,15,0.5,12,0.4,4,0.13,3,0.1,4,0.13
鳥取県,239,12.58,6,0.32,10,0.53,12,0.63,15,0.79,13,0.68,27,1.42,24,1.26,19,1,23,1.21,19,1,29,1.53,20,1.05,22,1.16
島根県,272,11.83,27,1.17,24,1.04,28,1.22,29,1.26,26,1.13,20,0.87,8,0.35,13,0.57,15,0.65,33,1.43,19,0.83,19,0.83,11,0.48
岡山県,605,11.2,58,1.07,69,1.28,56,1.04,45,0.83,36,0.67,55,1.02,49,0.91,44,0.81,44,0.81,47,0.87,37,0.69,37,0.69,28,0.52
広島県,1341,19.43,143,2.04,140,2,136,1.94,144,2.06,128,1.86,102,1.5,80,1.16,101,1.44,105,1.5,78,1.11,84,1.2,37,0.53,63,0.9
山口県,604,14.05,51,1.19,62,1.44,46,1.07,42,0.98,52,1.21,30,0.7,33,0.77,40,0.93,54,1.26,60,1.4,53,1.23,41,0.95,40,0.93
徳島県,209,9.09,37,1.61,17,0.74,29,1.26,20,0.87,15,0.65,18,0.78,9,0.39,13,0.57,13,0.57,8,0.35,10,0.43,6,0.26,14,0.61
香川県,314,11.21,42,1.5,27,0.96,26,0.93,32,1.14,34,1.21,25,0.89,20,0.71,21,0.75,19,0.68,22,0.79,22,0.79,14,0.5,10,0.36
愛媛県,443,12.31,72,2,50,1.35,56,1.51,45,1.22,29,0.78,26,0.7,28,0.76,37,1,21,0.57,17,0.46,19,0.51,34,0.92,9,0.24
高知県,236,9.44,40,1.54,33,1.27,30,1.15,20,0.77,9,0.35,14,0.54,11,0.42,13,0.5,30,1.15,13,0.5,11,0.42,8,0.31,4,0.16
福岡県,1463,12.19,217,1.81,208,1.73,167,1.39,138,1.15,127,1.06,101,0.84,75,0.63,63,0.53,79,0.66,95,0.79,60,0.5,62,0.52,71,0.59
佐賀県,433,18.83,43,1.87,46,2,42,1.83,46,2,49,2.13,43,1.87,28,1.22,40,1.74,23,1,18,0.78,27,1.17,13,0.57,15,0.65
長崎県,862,20.05,111,2.52,114,2.59,81,1.84,76,1.73,80,1.82,87,1.98,44,1,42,0.98,52,1.21,40,0.93,56,1.3,40,0.93,39,0.91
熊本県,833,16.66,110,2.2,79,1.58,79,1.58,74,1.48,93,1.86,65,1.3,52,1.04,57,1.14,52,1.04,55,1.1,48,0.96,33,0.66,36,0.72
大分県,702,19.5,64,1.78,71,1.97,59,1.64,69,1.92,63,1.75,56,1.56,56,1.56,50,1.39,50,1.39,54,1.5,54,1.5,31,0.86,25,0.69
宮崎県,974,27.06,76,2.11,77,2.14,63,1.75,101,2.81,75,2.08,95,2.64,73,2.03,68,1.89,68,1.89,67,1.86,72,2,76,2.11,63,1.75
