報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年19週(05月08日～05月14日),2023年05月17日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週
岩手県,55,1.41,4,0.1,1,0.03,4,0.1,2,0.05,3,0.08,3,0.08,2,0.05,1,0.03,3,0.08,4,0.1,5,0.13,3,0.08,6,0.15,2,0.05,1,0.03,7,0.18,2,0.05,0,0,2,0.05
宮城県,173,3.04,6,0.1,8,0.14,11,0.19,10,0.17,2,0.03,9,0.16,12,0.21,5,0.09,6,0.1,5,0.09,4,0.07,7,0.12,8,0.14,3,0.05,10,0.18,19,0.35,22,0.4,13,0.24,13,0.24
秋田県,47,1.42,4,0.12,2,0.06,1,0.03,6,0.18,3,0.09,3,0.09,2,0.06,3,0.09,4,0.12,3,0.09,2,0.06,1,0.03,3,0.09,0,0,1,0.03,1,0.03,5,0.15,2,0.06,1,0.03
山形県,89,3.18,4,0.14,3,0.1,1,0.03,5,0.17,4,0.14,2,0.07,1,0.03,7,0.24,7,0.24,5,0.17,6,0.21,3,0.1,5,0.17,4,0.14,9,0.32,4,0.14,10,0.36,4,0.14,5,0.18
福島県,200,4.08,16,0.32,8,0.16,12,0.24,4,0.08,4,0.08,6,0.12,9,0.18,6,0.12,7,0.14,7,0.14,12,0.24,10,0.2,14,0.28,7,0.14,8,0.16,14,0.28,12,0.24,22,0.44,22,0.45
茨城県,200,2.67,4,0.05,8,0.11,1,0.01,4,0.05,7,0.09,6,0.08,7,0.09,9,0.12,7,0.09,10,0.13,9,0.12,13,0.17,10,0.13,14,0.19,13,0.17,15,0.2,15,0.19,12,0.16,36,0.48
栃木県,62,1.29,2,0.04,1,0.02,1,0.02,1,0.02,2,0.04,1,0.02,4,0.08,1,0.02,6,0.13,3,0.06,2,0.04,4,0.08,4,0.08,3,0.06,4,0.08,3,0.06,6,0.13,8,0.17,6,0.13
群馬県,212,4,4,0.08,11,0.21,6,0.11,11,0.21,10,0.19,5,0.09,5,0.09,5,0.09,11,0.21,7,0.13,16,0.3,9,0.17,14,0.26,25,0.46,9,0.17,16,0.3,13,0.24,9,0.17,26,0.48
埼玉県,625,3.91,12,0.08,10,0.06,11,0.07,12,0.07,23,0.14,27,0.17,36,0.23,31,0.19,24,0.15,29,0.18,20,0.13,23,0.14,28,0.18,35,0.21,27,0.17,38,0.23,78,0.48,70,0.43,91,0.56
千葉県,293,2.25,7,0.05,2,0.02,3,0.02,9,0.07,6,0.05,6,0.05,2,0.02,2,0.02,6,0.05,12,0.09,10,0.08,7,0.05,14,0.11,17,0.13,19,0.15,33,0.25,36,0.28,39,0.31,63,0.48
東京都,750,2.9,17,0.07,15,0.06,19,0.07,23,0.09,22,0.08,19,0.07,25,0.1,32,0.12,30,0.12,42,0.16,22,0.09,29,0.11,44,0.17,30,0.12,54,0.21,56,0.22,83,0.32,66,0.26,122,0.47
神奈川県,409,1.81,10,0.04,10,0.04,20,0.09,13,0.06,9,0.04,10,0.04,23,0.1,11,0.05,14,0.06,9,0.04,11,0.05,18,0.08,19,0.08,23,0.1,16,0.07,47,0.21,28,0.13,50,0.22,68,0.3
新潟県,230,4.18,8,0.14,13,0.23,2,0.04,6,0.11,10,0.18,11,0.2,11,0.2,19,0.34,12,0.21,10,0.18,16,0.29,5,0.09,14,0.26,4,0.07,10,0.19,34,0.63,12,0.22,19,0.35,14,0.26
富山県,244,8.41,3,0.1,3,0.1,8,0.28,12,0.41,15,0.52,6,0.21,13,0.45,5,0.17,8,0.28,16,0.55,12,0.41,10,0.34,5,0.17,9,0.31,14,0.48,31,1.07,29,1,16,0.55,29,1
石川県,125,4.31,7,0.24,4,0.14,4,0.14,6,0.21,2,0.07,3,0.1,4,0.14,4,0.14,4,0.14,12,0.41,8,0.28,9,0.31,8,0.28,7,0.24,7,0.24,6,0.21,4,0.14,9,0.31,17,0.59
福井県,216,9.39,9,0.39,4,0.17,9,0.39,9,0.39,8,0.35,11,0.48,22,0.96,14,0.61,14,0.61,5,0.22,6,0.26,6,0.26,7,0.3,11,0.48,11,0.48,14,0.61,17,0.74,15,0.6,24,0.96
山梨県,8,0.33,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0,0,0,2,0.08,1,0.04,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0
長野県,103,1.94,1,0.02,2,0.04,1,0.02,0,0,1,0.02,4,0.08,17,0.32,1,0.02,2,0.04,8,0.15,4,0.08,1,0.02,2,0.04,11,0.21,2,0.04,12,0.23,10,0.19,13,0.25,11,0.2
岐阜県,202,3.88,4,0.08,8,0.15,7,0.13,8,0.15,8,0.15,7,0.13,7,0.13,15,0.28,6,0.11,11,0.21,13,0.25,7,0.13,7,0.14,7,0.13,12,0.23,10,0.19,26,0.49,10,0.19,29,0.55
静岡県,347,3.94,11,0.12,12,0.13,10,0.11,14,0.16,11,0.12,14,0.16,28,0.31,26,0.29,11,0.12,16,0.18,15,0.17,20,0.22,17,0.18,27,0.31,22,0.25,17,0.19,22,0.25,24,0.27,30,0.34
愛知県,473,2.6,16,0.09,11,0.06,10,0.05,8,0.04,16,0.09,17,0.09,16,0.09,22,0.12,25,0.14,36,0.2,27,0.15,20,0.11,22,0.12,25,0.14,25,0.14,25,0.14,45,0.25,48,0.26,59,0.32
三重県,212,4.82,7,0.16,7,0.16,13,0.29,6,0.14,6,0.13,5,0.11,9,0.2,16,0.36,19,0.42,16,0.36,10,0.22,8,0.18,11,0.24,10,0.22,8,0.18,13,0.29,15,0.33,13,0.29,20,0.44
滋賀県,94,2.69,8,0.22,5,0.14,6,0.17,3,0.08,8,0.22,3,0.08,11,0.31,4,0.11,10,0.28,3,0.08,1,0.03,3,0.08,3,0.08,6,0.17,5,0.14,3,0.08,4,0.11,3,0.09,5,0.14
京都府,252,3.36,13,0.17,16,0.21,10,0.13,13,0.17,13,0.17,4,0.05,11,0.14,15,0.2,15,0.2,5,0.07,11,0.14,2,0.03,6,0.08,9,0.12,16,0.21,12,0.16,22,0.3,18,0.24,41,0.54
大阪府,759,3.93,20,0.1,20,0.1,32,0.16,28,0.14,26,0.13,23,0.12,23,0.12,18,0.09,25,0.13,15,0.08,31,0.16,42,0.22,35,0.18,56,0.29,47,0.24,47,0.24,81,0.42,63,0.33,127,0.68
兵庫県,468,3.66,24,0.18,18,0.14,17,0.13,12,0.09,20,0.16,9,0.07,33,0.26,18,0.14,16,0.12,16,0.12,26,0.2,26,0.2,21,0.16,14,0.11,30,0.23,30,0.23,33,0.26,30,0.24,75,0.58
奈良県,106,3.12,5,0.15,7,0.21,8,0.24,8,0.24,7,0.21,4,0.12,0,0,6,0.18,5,0.15,5,0.15,3,0.09,6,0.18,4,0.12,4,0.12,4,0.12,7,0.21,7,0.21,7,0.21,9,0.26
和歌山県,72,2.4,0,0,0,0,3,0.1,4,0.13,4,0.13,2,0.07,5,0.17,1,0.03,0,0,3,0.1,3,0.1,4,0.13,1,0.03,2,0.07,2,0.07,4,0.13,8,0.27,9,0.3,17,0.57
鳥取県,67,3.53,6,0.32,1,0.05,3,0.16,1,0.05,3,0.16,0,0,1,0.05,2,0.11,3,0.16,1,0.05,6,0.32,1,0.05,7,0.37,1,0.05,2,0.11,7,0.37,1,0.05,8,0.42,13,0.68
島根県,81,3.52,2,0.09,1,0.04,2,0.09,0,0,4,0.17,3,0.13,12,0.52,4,0.17,3,0.13,2,0.09,4,0.17,1,0.04,16,0.7,3,0.13,1,0.04,11,0.48,2,0.09,2,0.09,8,0.35
岡山県,180,3.33,5,0.09,26,0.48,2,0.04,10,0.19,4,0.07,12,0.22,13,0.24,9,0.17,8,0.15,13,0.24,6,0.11,4,0.07,6,0.11,7,0.13,9,0.17,12,0.22,8,0.15,10,0.19,16,0.3
広島県,384,5.41,8,0.11,5,0.07,8,0.11,11,0.15,16,0.22,12,0.17,12,0.17,16,0.22,23,0.32,17,0.24,27,0.38,12,0.17,24,0.33,9,0.13,38,0.53,38,0.53,41,0.57,21,0.29,46,0.65
山口県,103,2.34,2,0.04,2,0.04,5,0.11,3,0.07,4,0.09,7,0.16,4,0.09,6,0.13,7,0.16,6,0.13,6,0.13,4,0.09,8,0.18,7,0.16,2,0.05,8,0.19,7,0.16,7,0.16,8,0.19
徳島県,55,2.39,0,0,2,0.09,1,0.04,0,0,2,0.09,4,0.17,1,0.04,2,0.09,6,0.26,1,0.04,2,0.09,0,0,5,0.22,5,0.22,7,0.3,4,0.17,2,0.09,2,0.09,9,0.39
香川県,121,4.32,4,0.14,3,0.11,5,0.18,3,0.11,4,0.14,4,0.14,5,0.18,7,0.25,7,0.25,11,0.39,5,0.18,6,0.21,6,0.21,4,0.14,6,0.21,3,0.11,9,0.32,13,0.46,16,0.57
愛媛県,124,3.44,1,0.03,7,0.19,2,0.05,2,0.05,1,0.03,3,0.08,2,0.05,4,0.11,7,0.19,5,0.14,4,0.11,7,0.19,13,0.36,4,0.11,4,0.11,13,0.35,12,0.32,9,0.24,24,0.65
高知県,47,1.81,2,0.07,2,0.07,1,0.04,0,0,1,0.04,0,0,2,0.07,0,0,1,0.04,0,0,3,0.11,4,0.15,8,0.3,1,0.04,3,0.11,2,0.07,3,0.11,6,0.22,8,0.31
福岡県,687,5.73,19,0.16,25,0.21,24,0.2,19,0.16,22,0.18,25,0.21,23,0.19,23,0.19,28,0.23,34,0.28,32,0.27,40,0.33,36,0.3,36,0.3,38,0.32,54,0.45,60,0.5,48,0.4,101,0.84
佐賀県,176,7.65,3,0.13,4,0.17,8,0.35,5,0.22,3,0.13,8,0.35,4,0.17,10,0.43,9,0.39,10,0.43,3,0.13,11,0.48,13,0.57,10,0.43,15,0.65,13,0.57,16,0.7,13,0.57,18,0.78
長崎県,160,3.64,7,0.16,3,0.07,5,0.11,1,0.02,6,0.14,3,0.07,9,0.2,9,0.2,14,0.32,8,0.18,13,0.3,15,0.34,15,0.34,5,0.11,4,0.09,8,0.18,12,0.27,6,0.14,17,0.39
熊本県,200,4.08,5,0.1,5,0.1,11,0.22,3,0.06,6,0.12,11,0.22,8,0.16,12,0.24,12,0.24,31,0.62,10,0.2,6,0.12,9,0.18,12,0.25,7,0.15,11,0.23,11,0.22,18,0.36,12,0.24
大分県,151,4.19,3,0.08,8,0.22,3,0.08,7,0.19,3,0.08,7,0.19,9,0.25,5,0.14,3,0.08,8,0.22,14,0.39,6,0.17,10,0.28,10,0.28,6,0.17,3,0.08,11,0.31,17,0.47,18,0.5
宮崎県,271,7.74,9,0.25,6,0.17,11,0.31,19,0.53,10,0.28,14,0.39,18,0.5,9,0.25,17,0.47,15,0.42,17,0.47,22,0.61,9,0.25,9,0.25,19,0.53,21,0.58,23,0.66,9,0.25,14,0.39
鹿児島県,469,8.85,16,0.3,11,0.2,17,0.31,22,0.41,18,0.33,26,0.48,31,0.57,31,0.57,12,0.22,17,0.31,21,0.39,32,0.59,12,0.23,23,0.43,23,0.43,31,0.58,39,0.74,36,0.68,51,0.96
沖縄県,139,4.34,5,0.15,7,0.21,6,0.18,4,0.12,4,0.12,7,0.22,5,0.16,6,0.19,4,0.13,8,0.25,5,0.16,8,0.25,13,0.39,4,0.12,6,0.19,12,0.38,17,0.53,6,0.19,12,0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,31246,9.94,673,0.21,867,0.27,1264,0.4,1271,0.4,1387,0.44,1312,0.42,1648,0.52,1472,0.47,1510,0.48,1605,0.51,1619,0.52,1503,0.48,1625,0.52,1541,0.49,1846,0.59,2520,0.8,2594,0.83,1837,0.59,3152,1.01
北海道,2253,16.33,53,0.39,49,0.35,76,0.55,81,0.59,76,0.55,110,0.79,154,1.11,125,0.9,119,0.86,110,0.79,154,1.11,129,0.93,105,0.76,118,0.85,133,0.96,171,1.22,208,1.49,97,0.7,185,1.35
青森県,132,3.22,2,0.05,4,0.1,7,0.17,9,0.21,3,0.07,10,0.24,5,0.12,13,0.31,4,0.1,4,0.1,11,0.26,6,0.14,3,0.07,4,0.1,6,0.15,14,0.35,9,0.23,5,0.13,13,0.34
岩手県,733,18.79,13,0.33,10,0.25,35,0.88,27,0.68,58,1.45,60,1.5,55,1.38,46,1.15,62,1.55,42,1.05,35,0.88,25,0.63,24,0.6,33,0.85,24,0.62,62,1.59,56,1.44,20,0.5,46,1.15
宮城県,360,6.32,10,0.17,4,0.07,6,0.1,33,0.57,19,0.33,25,0.43,26,0.45,12,0.21,20,0.34,20,0.34,22,0.38,6,0.1,11,0.19,18,0.32,40,0.73,28,0.51,19,0.35,18,0.33,23,0.43
秋田県,244,7.39,6,0.18,6,0.18,15,0.45,14,0.42,13,0.39,11,0.33,15,0.45,14,0.42,12,0.36,12,0.36,29,0.88,12,0.36,18,0.55,11,0.32,10,0.29,15,0.44,15,0.44,2,0.06,14,0.41
山形県,211,7.54,5,0.17,4,0.14,20,0.69,12,0.41,16,0.55,11,0.38,13,0.45,19,0.66,12,0.41,11,0.38,19,0.66,8,0.28,8,0.28,10,0.36,9,0.32,10,0.36,12,0.43,4,0.14,8,0.29
福島県,459,9.37,4,0.08,6,0.12,23,0.46,15,0.3,25,0.5,25,0.5,26,0.52,23,0.46,28,0.56,29,0.58,29,0.58,23,0.46,16,0.32,20,0.4,28,0.56,37,0.74,26,0.52,30,0.6,46,0.94
茨城県,713,9.51,19,0.25,14,0.19,19,0.25,59,0.79,22,0.29,15,0.2,39,0.52,42,0.56,17,0.23,50,0.67,29,0.39,36,0.48,33,0.43,35,0.47,30,0.4,52,0.69,54,0.7,63,0.84,85,1.13
栃木県,360,7.5,7,0.15,3,0.06,17,0.35,19,0.4,16,0.33,16,0.33,36,0.75,24,0.5,13,0.27,15,0.31,19,0.4,16,0.33,24,0.5,20,0.42,26,0.54,23,0.48,19,0.4,18,0.38,29,0.6
群馬県,261,4.92,5,0.09,5,0.09,13,0.25,7,0.13,7,0.13,7,0.13,24,0.45,8,0.15,24,0.45,15,0.28,7,0.13,14,0.26,22,0.42,12,0.22,20,0.37,18,0.33,16,0.3,15,0.28,22,0.41
埼玉県,1238,7.74,26,0.17,36,0.23,67,0.42,44,0.27,55,0.34,65,0.4,59,0.37,41,0.25,54,0.34,45,0.28,51,0.32,46,0.29,62,0.39,71,0.44,58,0.36,97,0.6,118,0.73,93,0.57,150,0.92
千葉県,1025,7.88,22,0.17,30,0.23,25,0.19,36,0.27,48,0.36,43,0.33,66,0.5,47,0.36,75,0.57,51,0.39,63,0.5,33,0.25,63,0.49,46,0.36,38,0.29,85,0.65,78,0.6,51,0.4,125,0.96
東京都,2097,8.1,28,0.11,39,0.15,64,0.25,59,0.23,62,0.24,81,0.31,92,0.35,105,0.41,93,0.36,103,0.4,100,0.39,93,0.36,88,0.34,99,0.38,139,0.53,190,0.73,198,0.76,171,0.66,293,1.12
神奈川県,1499,6.63,27,0.12,45,0.2,62,0.27,63,0.28,56,0.25,60,0.27,74,0.33,64,0.28,72,0.31,60,0.27,58,0.26,71,0.31,93,0.41,73,0.32,94,0.42,131,0.58,106,0.47,80,0.36,210,0.92
新潟県,1029,18.71,19,0.34,27,0.48,41,0.73,47,0.84,62,1.11,66,1.18,75,1.34,58,1.04,49,0.88,64,1.14,56,1,58,1.04,55,1.02,38,0.7,65,1.2,84,1.56,77,1.43,34,0.63,54,1
富山県,542,18.69,9,0.31,12,0.41,25,0.86,20,0.69,18,0.62,18,0.62,19,0.66,20,0.69,32,1.1,30,1.03,31,1.07,26,0.9,33,1.14,18,0.62,40,1.38,41,1.41,39,1.34,43,1.48,68,2.34
石川県,202,6.97,3,0.1,6,0.21,6,0.21,8,0.28,5,0.17,6,0.21,8,0.28,6,0.21,9,0.31,13,0.45,17,0.59,14,0.48,10,0.34,8,0.28,10,0.34,23,0.79,17,0.59,11,0.38,22,0.76
福井県,348,15.13,3,0.13,7,0.3,16,0.7,16,0.7,24,1.04,9,0.39,14,0.61,16,0.7,11,0.48,12,0.52,18,0.78,26,1.13,18,0.78,18,0.78,26,1.13,35,1.52,32,1.39,21,0.84,26,1.04
山梨県,28,1.17,2,0.08,3,0.13,0,0,3,0.13,1,0.04,1,0.04,0,0,1,0.04,2,0.08,0,0,1,0.04,0,0,1,0.04,0,0,3,0.13,2,0.08,1,0.04,2,0.08,5,0.21
長野県,191,3.6,13,0.24,13,0.24,12,0.22,9,0.17,31,0.57,4,0.08,10,0.19,4,0.08,8,0.15,7,0.13,6,0.11,4,0.08,11,0.21,7,0.13,4,0.08,10,0.19,18,0.34,7,0.13,13,0.24
岐阜県,243,4.67,5,0.09,3,0.06,8,0.15,2,0.04,8,0.15,2,0.04,6,0.11,12,0.23,6,0.11,7,0.13,10,0.19,9,0.17,17,0.33,18,0.34,27,0.51,25,0.47,19,0.36,24,0.45,35,0.66
静岡県,422,4.8,7,0.08,10,0.11,20,0.22,17,0.19,10,0.11,12,0.13,18,0.2,22,0.25,14,0.16,37,0.42,8,0.09,34,0.38,17,0.18,27,0.31,28,0.32,27,0.31,37,0.42,36,0.41,41,0.46
愛知県,1494,8.21,24,0.13,42,0.23,63,0.35,96,0.53,102,0.56,82,0.45,92,0.51,80,0.44,64,0.35,50,0.27,79,0.43,73,0.4,59,0.32,76,0.42,90,0.49,109,0.6,101,0.55,73,0.4,139,0.76
三重県,209,4.75,9,0.2,11,0.24,7,0.16,13,0.3,9,0.2,9,0.2,3,0.07,4,0.09,7,0.16,3,0.07,5,0.11,16,0.36,20,0.44,15,0.33,5,0.11,19,0.42,15,0.33,18,0.4,21,0.47
滋賀県,271,7.74,7,0.19,3,0.08,19,0.53,6,0.17,11,0.31,0,0,10,0.28,17,0.47,16,0.44,13,0.36,14,0.39,13,0.36,11,0.31,12,0.34,18,0.5,48,1.33,19,0.53,11,0.32,23,0.64
京都府,1121,14.95,25,0.33,54,0.71,66,0.87,54,0.71,50,0.66,31,0.41,64,0.84,65,0.86,49,0.64,63,0.83,53,0.7,48,0.64,66,0.87,50,0.66,35,0.46,84,1.11,93,1.26,67,0.88,104,1.37
大阪府,2255,11.68,33,0.17,51,0.26,75,0.39,111,0.57,71,0.37,88,0.45,83,0.43,67,0.35,92,0.47,71,0.36,126,0.65,99,0.51,111,0.57,123,0.63,156,0.8,213,1.11,242,1.24,153,0.79,290,1.56
兵庫県,844,6.59,16,0.12,27,0.21,41,0.32,25,0.19,34,0.26,37,0.29,39,0.3,41,0.32,38,0.29,39,0.3,33,0.26,23,0.18,47,0.36,36,0.28,54,0.42,72,0.56,64,0.5,54,0.43,124,0.96
奈良県,216,6.35,7,0.21,10,0.29,7,0.21,12,0.35,16,0.47,5,0.15,6,0.18,6,0.18,10,0.29,9,0.26,8,0.24,13,0.38,6,0.18,15,0.44,19,0.56,18,0.53,12,0.35,4,0.12,33,0.97
和歌山県,242,8.07,3,0.1,9,0.3,5,0.17,4,0.13,5,0.17,9,0.3,11,0.37,9,0.3,15,0.5,11,0.37,16,0.53,26,0.87,9,0.3,8,0.27,9,0.3,20,0.67,19,0.63,20,0.67,34,1.13
鳥取県,521,27.42,13,0.68,18,0.95,22,1.16,18,0.95,20,1.05,25,1.32,36,1.89,23,1.21,27,1.42,35,1.84,28,1.47,24,1.26,14,0.74,40,2.11,39,2.05,31,1.63,31,1.63,33,1.74,44,2.32
島根県,85,3.7,3,0.13,3,0.13,3,0.13,4,0.17,2,0.09,7,0.3,8,0.35,3,0.13,3,0.13,6,0.26,4,0.17,6,0.26,4,0.17,4,0.17,1,0.04,4,0.17,8,0.35,5,0.22,7,0.3
岡山県,202,3.74,10,0.19,7,0.13,3,0.06,8,0.15,18,0.33,10,0.19,9,0.17,3,0.06,7,0.13,11,0.2,9,0.17,8,0.15,6,0.11,5,0.09,6,0.11,19,0.35,33,0.61,14,0.26,16,0.3
広島県,628,8.85,9,0.13,14,0.19,23,0.32,20,0.28,22,0.31,40,0.56,22,0.31,24,0.33,30,0.42,38,0.53,17,0.24,41,0.57,36,0.5,24,0.33,35,0.49,50,0.69,67,0.93,45,0.63,71,1
山口県,536,12.18,19,0.42,23,0.51,10,0.22,11,0.24,12,0.27,22,0.49,20,0.44,7,0.16,13,0.29,24,0.53,27,0.6,29,0.64,24,0.53,20,0.44,28,0.65,61,1.42,55,1.28,66,1.53,65,1.51
徳島県,39,1.7,0,0,1,0.04,1,0.04,0,0,2,0.09,1,0.04,1,0.04,0,0,1,0.04,1,0.04,3,0.13,1,0.04,4,0.17,2,0.09,4,0.17,3,0.13,5,0.22,3,0.13,6,0.26
香川県,40,1.43,0,0,3,0.11,2,0.07,4,0.14,2,0.07,1,0.04,1,0.04,2,0.07,1,0.04,1,0.04,2,0.07,2,0.07,0,0,2,0.07,3,0.11,4,0.14,2,0.07,3,0.11,5,0.18
愛媛県,428,11.89,24,0.65,13,0.35,19,0.51,13,0.35,12,0.32,22,0.59,27,0.73,17,0.46,6,0.16,28,0.76,16,0.43,14,0.38,14,0.39,9,0.24,13,0.35,53,1.43,73,1.97,15,0.41,40,1.08
高知県,129,4.96,0,0,5,0.19,4,0.15,6,0.22,14,0.52,7,0.26,11,0.41,5,0.19,9,0.33,15,0.56,11,0.41,5,0.19,8,0.3,3,0.11,5,0.19,8,0.3,4,0.15,5,0.19,4,0.15
福岡県,3845,32.04,55,0.46,121,1.01,152,1.27,115,0.96,158,1.32,103,0.86,194,1.62,192,1.6,181,1.51,217,1.81,198,1.65,179,1.49,280,2.33,244,2.03,289,2.41,306,2.55,334,2.78,204,1.7,323,2.69
佐賀県,134,5.83,4,0.17,4,0.17,4,0.17,5,0.22,10,0.43,5,0.22,7,0.3,13,0.57,8,0.35,8,0.35,9,0.39,8,0.35,7,0.3,2,0.09,9,0.39,8,0.35,7,0.3,5,0.22,11,0.48
長崎県,1385,31.48,61,1.39,81,1.84,102,2.32,92,2.09,114,2.59,75,1.7,73,1.66,89,2.02,92,2.09,79,1.8,81,1.84,81,1.84,69,1.57,46,1.05,27,0.61,27,0.61,42,0.95,62,1.41,92,2.09
熊本県,243,4.96,6,0.12,5,0.1,8,0.16,4,0.08,8,0.16,10,0.2,11,0.22,16,0.32,20,0.4,25,0.5,2,0.04,8,0.16,8,0.16,7,0.15,11,0.23,22,0.46,34,0.69,12,0.24,26,0.52
大分県,321,8.92,8,0.22,6,0.17,11,0.31,10,0.28,9,0.25,8,0.22,18,0.5,8,0.22,12,0.33,9,0.25,16,0.44,15,0.42,12,0.33,17,0.47,15,0.42,29,0.81,47,1.31,32,0.89,39,1.08
宮崎県,384,10.97,16,0.44,5,0.14,8,0.23,10,0.28,10,0.28,10,0.28,20,0.56,21,0.58,11,0.31,27,0.75,15,0.42,22,0.61,23,0.64,25,0.69,47,1.31,38,1.06,30,0.86,21,0.58,25,0.69
鹿児島県,393,7.42,11,0.2,8,0.15,14,0.26,7,0.13,13,0.24,22,0.41,14,0.26,14,0.26,19,0.35,36,0.67,24,0.44,22,0.41,18,0.35,12,0.23,26,0.49,33,0.62,29,0.55,29,0.55,42,0.79
沖縄県,691,21.59,22,0.67,7,0.21,18,0.55,23,0.7,28,0.85,26,0.81,34,1.06,24,0.75,43,1.34,49,1.53,50,1.56,38,1.19,37,1.12,40,1.21,44,1.38,61,1.91,54,1.69,38,1.23,55,1.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,330126,105,10989,3.5,18261,5.79,24310,7.71,23297,7.39,24968,7.91,22902,7.27,23109,7.33,19605,6.23,18776,5.95,18592,5.91,16869,5.38,13272,4.21,11753,3.73,11681,3.72,13166,4.2,15589,4.97,15561,4.96,10898,3.48,16528,5.28
北海道,6607,47.88,157,1.15,296,2.13,358,2.59,424,3.09,365,2.63,383,2.76,442,3.18,420,3.02,468,3.37,401,2.88,356,2.56,310,2.23,224,1.61,279,2.01,319,2.29,416,2.97,394,2.81,231,1.66,364,2.66
青森県,3814,93.02,76,1.81,143,3.4,251,5.98,296,7.05,394,9.38,374,8.9,396,9.43,311,7.4,311,7.4,213,5.07,210,5,148,3.52,122,2.9,101,2.53,81,2.03,113,2.83,106,2.65,57,1.43,111,2.92
岩手県,3915,100.38,112,2.8,176,4.4,262,6.55,326,8.15,397,9.93,278,6.95,298,7.45,225,5.63,240,6,246,6.15,237,5.93,154,3.85,137,3.43,124,3.18,121,3.1,164,4.21,178,4.56,93,2.33,147,3.68
宮城県,6846,120.11,128,2.21,280,4.83,364,6.28,473,8.16,584,10.07,629,10.84,491,8.47,412,7.1,519,8.95,597,10.29,497,8.57,308,5.31,287,4.95,209,3.73,191,3.47,196,3.56,245,4.45,187,3.4,249,4.61
秋田県,2048,62.06,38,1.15,55,1.67,99,3,156,4.73,214,6.48,164,4.97,202,6.12,157,4.76,139,4.21,112,3.39,95,2.88,95,2.88,69,2.09,78,2.29,66,1.94,93,2.74,68,2,62,1.82,86,2.53
山形県,3206,114.5,96,3.31,171,5.9,308,10.62,234,8.07,341,11.76,320,11.03,335,11.55,261,9,199,6.86,174,6,133,4.59,85,2.93,101,3.48,62,2.21,70,2.5,84,3,80,2.86,51,1.82,101,3.61
福島県,4399,89.78,105,2.1,188,3.76,297,5.94,360,7.2,381,7.62,413,8.26,392,7.84,345,6.9,296,5.92,286,5.72,247,4.94,153,3.06,122,2.44,124,2.48,164,3.28,152,3.04,158,3.16,103,2.06,113,2.31
茨城県,5632,75.09,284,3.79,427,5.77,421,5.61,400,5.33,458,6.11,395,5.27,403,5.37,329,4.39,295,3.93,276,3.68,311,4.15,219,2.92,165,2.17,151,2.01,154,2.05,206,2.75,235,3.05,237,3.16,266,3.55
栃木県,3803,79.23,115,2.4,166,3.46,317,6.6,392,8.17,398,8.29,333,6.94,343,7.15,291,6.06,210,4.38,153,3.19,232,4.83,142,2.96,119,2.48,94,1.96,125,2.6,112,2.33,123,2.56,68,1.42,70,1.46
群馬県,5349,100.92,216,4.08,309,5.83,473,8.92,473,8.92,472,8.91,438,8.26,432,8.15,347,6.55,297,5.6,241,4.55,219,4.13,176,3.32,167,3.15,174,3.22,152,2.81,194,3.59,240,4.44,133,2.51,196,3.63
