報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年19週(05月06日～05月12日),2024年05月15日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週
栃木県,15091,198.57,606,7.97,848,11.16,1388,18.26,1251,16.46,996,13.11,1059,13.93,988,13,909,11.96,858,11.29,1144,15.05,1371,18.04,1335,17.57,1148,15.11,558,7.34,278,3.66,225,2.96,84,1.11,20,0.26,25,0.33
群馬県,20459,243.56,887,10.44,857,10.08,1226,14.42,1235,14.53,1203,14.15,1401,16.48,1534,18.05,1600,19.05,1486,17.69,1883,22.42,2170,25.83,1896,22.57,1725,20.54,714,8.5,326,3.88,174,2.07,92,1.08,38,0.47,12,0.14
埼玉県,74822,288.89,3551,13.93,4145,15.88,5874,22.51,6336,24.28,6357,24.36,7732,29.74,7541,29,6331,24.35,4598,17.62,5150,19.73,5796,22.21,4569,17.51,3686,14.18,1608,6.21,753,2.91,446,1.72,206,0.8,83,0.33,60,0.23
千葉県,57611,285.2,2919,14.45,3623,17.85,4958,24.54,5296,26.35,5456,26.75,5513,27.43,4819,23.86,3976,19.68,3210,15.89,3833,18.98,4667,23.1,3709,18.36,2899,14.28,1225,6.03,657,3.24,456,2.25,268,1.33,81,0.41,46,0.23
東京都,84417,203.41,3164,7.81,4192,10.13,6725,16.24,7672,18.53,8398,20.29,9475,22.83,8909,21.47,6964,16.74,5214,12.53,5588,13.43,5847,14.09,4777,11.48,3903,9.4,1744,4.17,819,1.96,504,1.21,298,0.72,142,0.35,82,0.2
神奈川県,87559,240.55,2776,7.71,4328,11.96,6809,18.71,7902,21.59,9111,25.1,10035,27.57,8606,23.51,7246,19.69,6008,16.42,6280,17.16,6787,18.59,4529,12.31,3752,10.22,1587,4.34,791,2.18,555,1.51,288,0.8,104,0.29,65,0.18
新潟県,23258,270.44,948,11.02,823,9.57,1177,13.69,1520,17.67,1350,15.7,1248,14.51,839,9.76,1155,13.43,1571,18.27,2734,31.79,3268,38,2498,29.05,2074,24.12,892,10.25,507,5.83,419,4.82,160,1.84,44,0.51,31,0.36
富山県,12708,270.38,498,10.38,578,12.04,797,16.6,795,16.56,768,16,881,18.35,768,16,796,16.58,768,16,1258,26.21,1574,32.79,1394,29.04,1034,21.54,386,8.21,195,4.24,135,2.93,55,1.17,19,0.4,9,0.19
石川県,13496,287.15,566,12.86,450,10.23,605,13.44,645,14.02,693,15.07,966,21,1221,25.44,1197,24.94,1193,24.85,1781,37.1,1761,36.69,1062,22.13,759,15.81,291,6.06,159,3.31,84,1.75,48,1,11,0.23,4,0.08
福井県,9483,243.15,435,11.15,513,13.15,647,16.59,658,16.87,660,16.92,887,22.74,909,23.31,818,20.97,626,16.05,719,18.44,840,21.54,660,16.92,578,14.82,248,6.36,149,3.82,60,1.54,44,1.13,17,0.44,15,0.38
山梨県,7103,173.24,346,8.44,477,11.63,781,19.05,601,14.66,434,10.59,461,11.24,398,9.71,399,9.73,315,7.68,383,9.34,518,12.63,566,13.8,597,14.56,308,7.51,177,4.32,179,4.37,111,2.71,34,0.83,18,0.44
長野県,16736,192.37,1183,13.44,899,10.22,1147,13.03,1063,12.08,1067,12.13,1094,12.43,959,10.9,1001,11.38,915,10.4,1380,15.68,1681,19.1,1723,19.58,1158,13.16,488,5.55,336,3.82,293,3.33,230,2.61,54,0.62,65,0.75
岐阜県,14406,165.59,1811,20.82,1244,14.3,1251,14.38,1076,12.37,920,10.57,1070,12.3,1045,12.01,875,10.06,780,8.97,836,9.61,1083,12.45,907,10.43,783,9,377,4.33,157,1.8,100,1.15,55,0.63,18,0.21,18,0.21
静岡県,25426,182.92,1611,11.59,1924,13.84,2088,15.02,1972,14.19,2008,14.45,1924,13.84,1802,12.96,1307,9.4,1177,8.47,1663,11.96,2280,16.4,2160,15.54,1689,12.15,833,5.99,409,2.94,334,2.4,149,1.07,53,0.38,43,0.31
愛知県,49270,252.67,3303,16.94,3428,17.58,4428,22.71,4812,24.68,5368,27.53,5768,29.58,4735,24.28,3549,18.2,2533,12.99,2819,14.46,2788,14.3,2336,11.98,1711,8.77,758,3.89,397,2.04,256,1.31,159,0.82,75,0.38,47,0.24
三重県,15329,212.9,995,13.82,995,13.82,1292,17.94,1278,17.75,1495,20.76,1618,22.47,1488,20.67,1280,17.78,944,13.11,990,13.75,955,13.26,779,10.82,653,9.07,292,4.06,133,1.85,84,1.17,31,0.43,15,0.21,12,0.17
滋賀県,11505,195,881,14.93,699,11.65,949,16.08,1066,18.07,1097,18.28,1168,19.47,1066,17.77,838,13.97,639,10.65,718,11.97,742,12.37,672,11.2,559,9.32,210,3.5,88,1.47,58,0.97,24,0.4,21,0.37,10,0.17
京都府,26961,217.43,1361,11.16,1479,11.83,2436,19.65,2993,24.14,3844,31,3775,30.44,2842,22.74,1992,15.94,1365,10.92,1231,9.85,1085,8.68,796,6.37,639,5.15,387,3.07,233,1.85,226,1.79,141,1.12,69,0.55,67,0.54
大阪府,61197,200.65,3602,11.77,3710,12.12,5901,19.28,7306,23.88,9069,29.64,9146,29.79,6582,21.44,4160,13.55,2761,8.99,2445,7.96,2018,6.57,1541,5.02,1254,4.08,578,1.9,391,1.29,314,1.03,224,0.74,86,0.28,109,0.36
兵庫県,37603,189.91,1962,9.91,2263,11.43,3858,19.48,4407,22.26,5160,26.06,5280,26.67,3981,20.11,2698,13.63,1896,9.58,1550,7.83,1356,6.85,1103,5.57,951,4.8,490,2.46,264,1.33,172,0.86,116,0.58,50,0.25,46,0.23
奈良県,11708,216.81,454,8.25,750,13.64,1202,21.85,1428,25.96,1729,31.44,1792,32.58,1231,22.8,800,14.81,545,10.09,507,9.39,357,6.61,315,5.73,219,3.98,114,2.07,94,1.71,74,1.35,50,0.91,17,0.31,30,0.55
和歌山県,9164,187.02,521,10.63,596,12.16,759,15.49,796,16.24,975,19.9,923,18.84,881,17.98,585,11.94,518,10.57,493,10.06,529,10.8,555,11.33,567,11.57,230,4.69,127,2.59,55,1.12,37,0.76,6,0.12,11,0.22
鳥取県,4730,163.1,408,14.07,335,11.55,254,8.76,288,9.93,267,9.21,343,11.83,275,9.48,231,7.97,218,7.52,301,10.38,366,12.62,404,13.93,478,16.48,269,9.28,160,5.52,85,2.93,29,1,10,0.34,9,0.31
島根県,5642,148.47,443,11.66,277,7.29,324,8.53,246,6.47,380,10,304,8,246,6.47,213,5.61,267,7.03,498,13.11,757,19.92,631,16.61,442,11.63,283,7.45,131,3.45,112,2.87,52,1.37,21,0.55,15,0.39
岡山県,14593,173.73,922,10.98,882,10.5,1057,12.58,1144,13.62,1526,18.17,1565,18.63,1462,17.4,1295,15.42,1106,13.17,973,11.58,1026,12.21,674,8.02,510,6.07,231,2.75,97,1.15,46,0.55,34,0.4,21,0.25,22,0.26
広島県,21569,192.58,1226,10.85,1030,9.2,1260,11.15,1384,12.25,1837,16.4,2251,20.28,2113,18.87,1769,15.65,1442,12.76,1743,15.42,1863,16.49,1439,12.73,1264,11.19,499,4.5,210,1.91,110,1,76,0.69,31,0.28,22,0.19
山口県,15236,227.4,752,11.22,995,14.85,1164,17.37,1031,15.39,1322,19.73,1557,23.24,1283,19.15,1148,17.13,1037,15.48,1143,17.06,1140,17.01,916,13.67,838,12.51,415,6.19,180,2.69,141,2.1,84,1.25,60,0.9,30,0.45
徳島県,6958,188.05,503,13.59,492,13.3,576,15.57,617,16.68,610,16.49,496,13.41,510,13.78,433,11.7,412,11.14,510,13.78,565,15.27,479,12.95,396,10.7,180,4.86,80,2.16,46,1.24,32,0.86,8,0.22,13,0.35
香川県,7994,170.09,651,13.85,446,9.49,624,13.28,448,9.53,624,13.28,498,10.6,537,11.43,375,7.98,468,9.96,602,12.81,756,16.09,746,15.87,611,13,309,6.57,118,2.51,86,1.83,66,1.4,15,0.32,14,0.3
愛媛県,14532,242.2,588,9.97,876,14.36,1228,20.13,1106,18.13,1144,18.75,901,14.77,858,14.07,750,12.3,678,11.11,868,14.23,1298,21.28,1558,25.54,1574,25.8,590,9.67,230,3.77,150,2.46,79,1.3,38,0.62,18,0.3
高知県,9426,214.23,721,16.39,640,14.55,553,12.57,534,12.14,806,18.32,816,18.55,670,15.23,532,12.09,552,12.55,691,15.7,845,19.2,908,20.64,697,15.84,260,5.91,98,2.23,36,0.82,31,0.7,15,0.34,21,0.48
福岡県,65594,331.28,3504,17.7,3189,16.11,5159,26.06,6914,34.92,11359,57.37,11429,57.72,7393,37.34,4794,24.21,3167,15.99,3022,15.26,2260,11.41,1500,7.58,974,4.92,418,2.1,237,1.2,146,0.74,61,0.31,40,0.2,28,0.14
佐賀県,10465,268.33,487,12.49,513,13.15,857,21.97,873,22.38,1572,40.31,1488,38.15,1040,26.67,770,19.74,538,13.79,745,19.1,587,15.05,422,10.82,327,8.38,120,3.08,74,1.9,33,0.85,8,0.21,4,0.1,7,0.18
長崎県,18607,269.67,1186,16.94,1107,15.81,1372,19.6,1190,17,1868,26.69,1961,28.01,1592,22.74,1454,21.07,1299,18.83,1478,21.42,1420,20.58,1169,16.94,796,11.54,336,4.87,161,2.3,98,1.4,62,0.9,37,0.53,21,0.3
熊本県,21744,275.24,1275,15.94,1370,17.13,1669,20.86,1862,23.28,2506,31.33,2786,34.83,2393,29.91,1711,21.39,1346,16.83,1350,16.88,1260,15.75,818,10.35,726,9.08,322,4.08,131,1.66,99,1.25,68,0.86,31,0.39,21,0.27
大分県,16817,289.95,1114,19.21,1075,18.53,1203,20.74,1215,20.95,1876,32.34,1992,34.34,1767,30.47,1189,20.5,1022,17.62,1068,18.41,1068,18.41,875,15.09,690,11.9,307,5.29,167,2.88,77,1.33,44,0.76,46,0.79,22,0.38
宮崎県,17301,298.29,1511,26.05,1328,22.9,1613,27.81,1732,29.86,2270,39.14,1961,33.81,1535,26.47,1179,20.33,844,14.55,845,14.57,788,13.59,684,11.79,548,9.45,206,3.55,99,1.71,70,1.21,59,1.02,18,0.31,11,0.19
鹿児島県,20153,229.01,1325,14.89,1523,17.11,1818,20.43,1378,15.48,1960,22.02,2023,22.73,1783,20.03,1259,14.15,1047,11.76,1133,12.73,1283,14.42,1322,14.85,1057,11.88,468,5.32,297,3.34,223,2.51,125,1.4,71,0.8,58,0.65
沖縄県,16741,315.87,1018,18.85,1195,22.13,1746,32.33,1719,31.83,2214,41,1604,29.7,1530,28.33,1152,21.33,930,17.22,820,15.19,724,13.41,562,10.41,463,8.57,287,5.42,202,3.81,148,2.79,166,3.13,120,2.26,141,2.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,36993,11.82,131,0.04,198,0.06,235,0.08,358,0.11,380,0.12,438,0.14,466,0.15,661,0.21,900,0.29,1171,0.37,1493,0.48,1812,0.58,2494,0.8,3156,1.01,4453,1.42,5503,1.76,5403,1.73,3909,1.26,3832,1.22
北海道,2561,18.69,47,0.35,59,0.42,60,0.43,80,0.58,102,0.73,80,0.58,89,0.64,105,0.76,105,0.76,130,0.94,153,1.11,153,1.11,147,1.07,173,1.26,267,1.95,264,1.93,247,1.8,159,1.21,141,1.03
青森県,30,0.83,1,0.03,1,0.03,2,0.05,0,0,2,0.05,0,0,0,0,0,0,5,0.14,1,0.03,2,0.05,0,0,0,0,1,0.03,3,0.08,0,0,3,0.08,3,0.09,6,0.16
岩手県,84,2.15,1,0.03,6,0.15,4,0.1,8,0.21,6,0.15,0,0,2,0.05,0,0,1,0.03,4,0.1,3,0.08,3,0.08,3,0.08,4,0.1,8,0.2,3,0.08,5,0.13,12,0.3,11,0.28
宮城県,452,8.37,2,0.04,2,0.04,4,0.07,4,0.07,9,0.16,6,0.11,9,0.16,13,0.24,5,0.09,21,0.38,19,0.35,29,0.53,44,0.8,33,0.62,39,0.74,69,1.3,52,0.96,46,0.85,46,0.85
秋田県,56,1.7,0,0,1,0.03,0,0,0,0,1,0.03,1,0.03,2,0.06,4,0.12,6,0.18,4,0.12,5,0.15,1,0.03,1,0.03,1,0.03,4,0.12,4,0.12,8,0.24,6,0.18,7,0.21
山形県,137,4.89,2,0.07,0,0,1,0.04,2,0.07,1,0.04,2,0.07,2,0.07,0,0,0,0,5,0.18,5,0.18,8,0.29,20,0.71,21,0.75,15,0.54,10,0.36,20,0.71,12,0.43,11,0.39
福島県,616,12.57,6,0.12,5,0.1,14,0.29,32,0.65,9,0.18,21,0.43,23,0.47,15,0.31,30,0.61,29,0.59,37,0.76,49,1,39,0.8,52,1.06,54,1.1,50,1.02,54,1.1,55,1.12,42,0.86
茨城県,456,6.08,6,0.08,1,0.01,0,0,7,0.09,5,0.07,7,0.09,4,0.05,6,0.08,16,0.21,25,0.33,25,0.33,25,0.33,28,0.37,27,0.36,48,0.64,58,0.77,63,0.84,58,0.77,47,0.63
栃木県,561,11.69,1,0.02,3,0.06,3,0.06,12,0.25,13,0.27,14,0.29,13,0.27,13,0.27,32,0.67,33,0.69,21,0.44,32,0.67,52,1.08,60,1.25,54,1.13,42,0.88,67,1.4,44,0.92,52,1.08
群馬県,713,13.71,0,0,2,0.04,1,0.02,3,0.06,5,0.09,3,0.06,7,0.13,32,0.6,25,0.47,37,0.7,31,0.58,42,0.79,61,1.15,54,1.02,92,1.74,117,2.21,102,1.92,65,1.3,34,0.64
埼玉県,2223,13.72,2,0.01,7,0.04,8,0.05,13,0.08,13,0.08,22,0.13,26,0.16,46,0.28,50,0.3,40,0.24,74,0.45,104,0.63,204,1.25,219,1.35,295,1.82,326,2.01,352,2.17,225,1.42,197,1.2
千葉県,1085,8.68,8,0.06,4,0.03,1,0.01,32,0.26,21,0.17,30,0.24,19,0.15,11,0.09,20,0.16,19,0.15,20,0.16,36,0.29,47,0.37,75,0.6,116,0.92,181,1.44,194,1.55,129,1.04,122,0.98
東京都,2993,11.47,3,0.01,5,0.02,6,0.02,11,0.04,16,0.06,20,0.08,27,0.1,31,0.12,56,0.21,65,0.25,120,0.46,141,0.54,190,0.73,243,0.92,425,1.62,540,2.05,483,1.84,325,1.25,286,1.08
神奈川県,2052,8.96,1,0,15,0.07,5,0.02,6,0.03,5,0.02,4,0.02,10,0.04,22,0.09,37,0.16,46,0.2,82,0.36,97,0.42,138,0.6,182,0.79,280,1.21,371,1.59,331,1.46,197,0.88,223,0.97
新潟県,549,9.98,2,0.04,2,0.04,1,0.02,4,0.07,1,0.02,3,0.05,3,0.05,4,0.07,14,0.25,8,0.15,14,0.25,13,0.24,17,0.31,28,0.51,49,0.89,101,1.84,131,2.38,80,1.45,74,1.35
富山県,215,7.68,1,0.03,8,0.28,1,0.03,3,0.1,1,0.03,5,0.17,3,0.1,1,0.03,5,0.17,9,0.31,6,0.21,3,0.1,4,0.14,8,0.29,24,0.86,42,1.5,35,1.25,19,0.68,37,1.32
石川県,295,10.54,2,0.07,3,0.11,0,0,0,0,1,0.04,3,0.11,1,0.03,1,0.03,3,0.1,7,0.24,11,0.38,9,0.31,17,0.59,22,0.76,48,1.66,65,2.24,43,1.48,21,0.72,38,1.31
福井県,709,28.36,1,0.04,3,0.12,7,0.28,10,0.4,5,0.2,1,0.04,6,0.24,8,0.32,7,0.28,15,0.6,24,0.96,36,1.44,59,2.36,72,2.88,91,3.64,109,4.36,111,4.44,75,3,69,2.76
山梨県,87,3.63,0,0,1,0.04,2,0.08,1,0.04,0,0,0,0,0,0,3,0.13,3,0.13,5,0.21,2,0.08,3,0.13,5,0.21,4,0.17,9,0.38,16,0.67,17,0.71,10,0.42,6,0.25
長野県,264,4.89,0,0,6,0.11,5,0.09,7,0.13,6,0.11,7,0.13,6,0.11,9,0.17,16,0.3,10,0.19,11,0.2,11,0.2,6,0.11,14,0.26,33,0.61,27,0.5,43,0.8,22,0.41,25,0.46
岐阜県,528,9.96,3,0.06,2,0.04,2,0.04,3,0.06,6,0.11,15,0.28,9,0.17,10,0.19,16,0.3,13,0.25,14,0.26,19,0.36,42,0.79,54,1.02,55,1.04,68,1.28,65,1.23,53,1,79,1.49
静岡県,768,8.63,2,0.02,0,0,4,0.04,3,0.03,3,0.03,2,0.02,4,0.04,5,0.06,11,0.12,15,0.17,19,0.21,22,0.25,39,0.44,65,0.73,80,0.9,146,1.64,120,1.35,120,1.35,108,1.21
愛知県,1649,9.06,1,0.01,1,0.01,5,0.03,2,0.01,3,0.02,9,0.05,10,0.05,10,0.05,18,0.1,30,0.16,49,0.27,58,0.32,109,0.6,175,0.96,182,1,259,1.42,298,1.64,226,1.24,204,1.12
三重県,807,17.93,1,0.02,0,0,2,0.04,1,0.02,0,0,4,0.09,2,0.04,5,0.11,9,0.2,9,0.2,10,0.22,19,0.42,49,1.09,67,1.49,99,2.2,148,3.29,142,3.16,121,2.69,119,2.64
滋賀県,345,9.86,1,0.03,1,0.03,1,0.03,1,0.03,2,0.06,2,0.06,1,0.03,13,0.36,4,0.11,6,0.17,13,0.36,14,0.39,13,0.36,17,0.47,36,1,48,1.33,65,1.81,54,1.59,53,1.47
京都府,1078,14.37,3,0.04,0,0,5,0.07,4,0.05,4,0.05,18,0.24,7,0.09,20,0.26,20,0.26,28,0.37,47,0.62,42,0.55,95,1.25,117,1.52,144,1.87,162,2.1,182,2.36,96,1.26,84,1.11
大阪府,5893,29.91,19,0.1,21,0.11,29,0.15,53,0.27,52,0.26,68,0.34,75,0.38,133,0.67,204,1.03,307,1.55,367,1.85,441,2.23,520,2.63,666,3.4,774,3.95,865,4.41,600,3.06,365,1.87,334,1.71
兵庫県,1804,14.09,2,0.02,3,0.02,10,0.08,10,0.08,19,0.15,11,0.09,19,0.15,25,0.2,35,0.27,46,0.36,58,0.45,102,0.8,121,0.95,144,1.12,222,1.72,265,2.05,292,2.26,233,1.81,187,1.45
奈良県,1135,34.39,0,0,2,0.06,1,0.03,2,0.06,3,0.09,8,0.24,2,0.06,0,0,12,0.36,39,1.18,38,1.15,64,1.88,115,3.38,99,2.91,142,4.18,207,6.09,181,5.32,106,3.21,114,3.35
和歌山県,529,17.63,0,0,2,0.07,8,0.27,9,0.3,11,0.37,12,0.4,12,0.4,11,0.37,4,0.13,13,0.43,10,0.33,6,0.2,24,0.8,24,0.8,26,0.87,70,2.33,105,3.5,95,3.17,87,2.9
鳥取県,58,3.05,0,0,1,0.05,1,0.05,1,0.05,2,0.11,2,0.11,3,0.16,4,0.21,2,0.11,0,0,1,0.05,2,0.11,1,0.05,1,0.05,2,0.11,4,0.21,7,0.37,9,0.47,15,0.79
島根県,91,3.96,0,0,1,0.04,1,0.04,2,0.09,0,0,4,0.17,3,0.13,3,0.13,5,0.22,7,0.3,3,0.13,1,0.04,3,0.13,17,0.74,17,0.74,8,0.35,10,0.43,3,0.13,3,0.13
岡山県,155,2.87,2,0.04,1,0.02,1,0.02,3,0.06,1,0.02,1,0.02,2,0.04,2,0.04,7,0.13,7,0.13,12,0.22,7,0.13,10,0.19,12,0.22,14,0.26,16,0.3,20,0.37,17,0.31,20,0.37
広島県,757,10.97,1,0.01,4,0.06,7,0.1,5,0.07,9,0.13,10,0.15,10,0.14,7,0.1,29,0.41,25,0.36,29,0.41,28,0.4,50,0.71,47,0.69,97,1.45,117,1.75,99,1.48,86,1.26,97,1.33
山口県,914,21.26,0,0,0,0,0,0,2,0.05,1,0.02,3,0.07,4,0.09,21,0.49,14,0.33,14,0.33,24,0.56,45,1.05,49,1.14,68,1.58,107,2.49,143,3.33,115,2.67,142,3.3,162,3.77
徳島県,212,9.22,0,0,1,0.04,0,0,0,0,0,0,1,0.04,2,0.09,4,0.17,1,0.04,2,0.09,0,0,6,0.26,8,0.35,35,1.52,37,1.61,33,1.43,27,1.17,27,1.17,28,1.22
香川県,238,8.5,0,0,1,0.04,0,0,2,0.07,4,0.14,1,0.04,2,0.07,9,0.32,6,0.21,3,0.11,16,0.57,11,0.39,18,0.64,22,0.79,18,0.64,29,1.04,39,1.39,23,0.82,34,1.21
愛媛県,426,11.83,0,0,0,0,2,0.05,2,0.05,3,0.08,1,0.03,3,0.08,1,0.03,2,0.05,4,0.11,5,0.14,21,0.57,23,0.62,32,0.86,51,1.38,69,1.86,67,1.81,61,1.65,79,2.14
高知県,114,4.56,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0,1,0.04,0,0,2,0.08,16,0.64,14,0.56,37,1.48,19,0.76,22,0.88
福岡県,1189,9.91,0,0,6,0.05,8,0.07,3,0.03,11,0.09,12,0.1,19,0.16,18,0.15,14,0.12,38,0.32,48,0.4,42,0.35,56,0.47,86,0.72,125,1.04,158,1.32,190,1.58,169,1.41,186,1.55
佐賀県,299,13,0,0,5,0.22,0,0,2,0.09,1,0.04,2,0.09,3,0.13,0,0,6,0.26,4,0.17,5,0.22,9,0.39,6,0.26,13,0.57,22,0.96,42,1.83,70,3.04,50,2.17,59,2.57
長崎県,191,4.44,0,0,3,0.07,0,0,0,0,3,0.07,1,0.02,0,0,5,0.12,6,0.14,2,0.05,9,0.21,2,0.05,8,0.19,15,0.35,27,0.61,21,0.48,36,0.84,19,0.43,34,0.77
熊本県,333,6.66,0,0,0,0,0,0,1,0.02,2,0.04,5,0.1,5,0.1,7,0.14,7,0.14,15,0.3,15,0.3,25,0.5,28,0.56,26,0.52,31,0.62,32,0.64,49,0.98,45,0.9,40,0.8
大分県,181,5.03,3,0.08,0,0,0,0,0,0,1,0.03,3,0.08,2,0.06,3,0.08,3,0.08,7,0.19,3,0.08,1,0.03,0,0,2,0.06,11,0.31,28,0.78,36,1,37,1.03,41,1.14
宮崎県,296,8.22,2,0.06,4,0.11,1,0.03,3,0.08,1,0.03,1,0.03,1,0.03,2,0.06,5,0.14,6,0.17,5,0.14,6,0.17,6,0.17,21,0.58,64,1.78,51,1.42,37,1.03,38,1.06,42,1.17
鹿児島県,611,12.22,0,0,3,0.06,9,0.18,6,0.12,9,0.18,8,0.16,10,0.2,12,0.24,21,0.41,14,0.27,20,0.39,19,0.37,17,0.33,30,0.6,75,1.47,76,1.49,114,2.24,90,1.76,78,1.53
沖縄県,254,8.47,5,0.16,2,0.06,13,0.42,3,0.1,7,0.23,4,0.13,3,0.1,7,0.23,3,0.1,3,0.1,8,0.26,4,0.13,2,0.06,6,0.2,25,0.83,29,0.97,39,1.3,42,1.4,49,1.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,53424,17.07,4524,1.46,4526,1.44,4001,1.28,3881,1.24,3602,1.15,3347,1.07,2857,0.91,2643,0.84,2994,0.95,2748,0.88,2593,0.83,2199,0.7,1971,0.63,1770,0.57,1764,0.56,2109,0.67,2193,0.7,1566,0.5,2136,0.68
北海道,5574,40.69,511,3.81,469,3.37,464,3.34,413,2.97,394,2.83,364,2.62,325,2.34,308,2.22,327,2.35,268,1.94,242,1.75,261,1.89,190,1.39,125,0.91,153,1.12,186,1.36,182,1.33,154,1.18,238,1.74
