報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,
2025年04週(01月20日～01月26日),2025年01月29日作成,,,,,,,,,
インフルエンザ,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,460634,96.98,142308,33.89,172962,35.06,90770,18.4,54594,11.06
北海道,17072,80.15,6490,34.71,5957,26.83,2831,12.75,1794,8.08
青森県,4358,79.24,1721,36.62,1341,23.12,729,12.57,567,9.78
岩手県,6537,105.44,2200,35.48,2225,35.89,1363,21.98,749,12.08
宮城県,9101,100.01,1519,16.69,3773,41.46,2240,24.62,1569,17.24
秋田県,2365,53.75,261,12.43,975,18.75,660,12.69,469,9.02
山形県,4234,111.42,674,25.92,1370,32.62,1127,26.83,1063,25.31
福島県,9387,114.48,3841,46.84,2970,36.22,1675,20.43,901,10.99
茨城県,14594,126.9,6018,60.18,4940,41.17,2321,19.34,1315,10.96
栃木県,6907,100.1,1460,28.63,3072,40.42,1428,18.79,947,12.46
群馬県,8087,105.03,1964,35.71,3121,36.72,1859,21.87,1143,13.45
埼玉県,23076,100.77,6190,45.85,9131,34.98,4629,17.74,3126,11.98
千葉県,19399,99.48,4872,28.33,8101,39.91,4002,19.62,2424,11.88
東京都,20696,52.66,4474,13.98,9166,21.93,4297,10.28,2759,6.6
神奈川県,19687,59.12,2957,12.37,9636,26.55,4234,11.63,2860,7.81
新潟県,8679,100.92,1911,21.97,3041,35.36,1954,22.72,1773,20.62
富山県,4140,88.09,622,13.82,1661,34.6,1067,22.23,790,16.46
石川県,5918,123.29,1239,25.81,2233,46.52,1527,31.81,919,19.15
福井県,4024,103.18,1042,26.72,1448,37.13,936,24,598,15.33
山梨県,3313,80.8,786,19.17,1568,38.24,572,13.95,387,9.44
長野県,9909,120.84,3115,47.92,3477,39.51,1905,21.65,1412,16.05
岐阜県,11313,130.03,6148,70.67,2911,33.46,1425,16.38,829,9.53
静岡県,16890,121.51,5047,36.31,6635,47.73,3368,24.23,1840,13.24
愛知県,25949,133.76,10914,55.97,8374,42.94,4318,22.26,2343,12.08
三重県,6712,100.18,1973,36.54,2815,39.1,1333,18.51,591,8.21
滋賀県,5727,104.13,2191,53.44,1934,32.23,1070,17.83,532,8.87
京都府,10786,88.41,3538,30.24,3950,31.85,2062,16.63,1236,10.05
大阪府,21005,69.78,7735,25.61,7701,25.5,3564,11.84,2005,6.66
兵庫県,15964,83.58,3771,22.18,6995,35.33,3415,17.25,1783,9.01
奈良県,4206,91.43,496,24.8,1998,36.33,986,17.93,726,13.2
和歌山県,5034,107.11,1179,26.2,2098,43.71,1155,24.06,602,12.54
鳥取県,3091,106.59,1413,48.72,887,30.59,529,18.24,262,9.03
島根県,3681,96.87,1744,45.89,1053,27.71,579,15.24,305,8.03
岡山県,8259,98.32,2883,34.32,3016,35.9,1569,18.68,791,9.42
広島県,10180,92.55,3596,40.4,3766,32.19,1884,16.1,934,7.98
山口県,7161,106.88,1957,29.21,2907,43.39,1427,21.3,870,12.99
徳島県,5408,146.16,1566,42.32,2123,57.38,1129,30.51,590,15.95
香川県,5469,116.36,1749,37.21,1913,40.7,1178,25.06,629,13.38
愛媛県,7060,126.07,1509,34.3,3014,50.23,1681,28.02,856,14.27
高知県,6713,152.57,2045,46.48,2480,56.36,1414,32.14,774,17.59
福岡県,21000,106.6,8268,41.97,7052,35.8,3573,18.14,2107,10.7
佐賀県,5185,136.45,1635,45.42,1976,50.67,995,25.51,579,14.85
長崎県,9385,134.07,3192,45.6,3294,47.06,1769,25.27,1130,16.14
熊本県,10627,134.52,3782,47.87,3920,49.62,1955,24.75,970,12.28
大分県,7085,122.16,3147,54.26,2140,36.9,1153,19.88,645,11.12
宮崎県,8191,146.27,2164,41.62,3320,57.24,1835,31.64,872,15.03
鹿児島県,10156,114.11,3236,36.36,3560,40,2183,24.53,1177,13.22
沖縄県,6914,123.46,2074,37.04,1924,34.36,1865,33.3,1051,18.77
,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,5077,1.69,447,0.17,1070,0.34,1277,0.41,2283,0.73
北海道,607,4.74,62,0.59,158,1.16,153,1.13,234,1.72
青森県,40,1.14,7,0.22,13,0.35,12,0.32,8,0.22
岩手県,32,0.82,8,0.21,7,0.18,6,0.15,11,0.28
宮城県,50,0.91,5,0.09,8,0.15,12,0.22,25,0.45
秋田県,31,1.07,5,0.33,5,0.15,7,0.21,14,0.41
山形県,36,1.5,4,0.22,5,0.19,15,0.56,12,0.44
福島県,90,1.84,8,0.16,14,0.29,16,0.33,52,1.06
茨城県,96,1.35,15,0.25,15,0.2,23,0.31,43,0.57
栃木県,105,2.39,11,0.33,19,0.4,35,0.73,40,0.83
群馬県,96,2,5,0.14,5,0.09,25,0.47,61,1.15
埼玉県,289,1.99,32,0.36,67,0.41,61,0.37,129,0.79
千葉県,73,0.6,9,0.09,14,0.11,13,0.1,37,0.29
東京都,357,1.44,17,0.08,86,0.33,93,0.35,161,0.61
神奈川県,238,1.14,22,0.15,56,0.24,51,0.22,109,0.48
新潟県,56,1.02,7,0.13,13,0.24,17,0.31,19,0.35
富山県,25,0.89,4,0.14,5,0.17,5,0.17,11,0.38
石川県,49,1.69,3,0.1,10,0.34,10,0.34,26,0.9
福井県,68,2.72,9,0.36,15,0.6,20,0.8,24,0.96
山梨県,16,0.67,0,0,3,0.13,4,0.17,9,0.38
長野県,66,1.32,5,0.13,14,0.26,19,0.35,28,0.52
岐阜県,71,1.34,5,0.09,18,0.34,16,0.3,32,0.6
静岡県,90,1.01,10,0.11,19,0.21,26,0.29,35,0.39
愛知県,169,0.93,18,0.1,50,0.27,34,0.19,67,0.37
三重県,143,3.4,8,0.23,32,0.71,22,0.49,81,1.8
滋賀県,46,1.39,4,0.17,10,0.28,15,0.42,17,0.47
京都府,88,1.21,11,0.16,14,0.19,27,0.36,36,0.49
大阪府,723,3.75,59,0.31,165,0.85,189,0.98,310,1.61
兵庫県,349,2.86,11,0.1,67,0.52,110,0.86,161,1.26
奈良県,102,3.64,3,0.3,22,0.65,27,0.79,50,1.47
和歌山県,89,3.18,7,0.25,19,0.66,28,0.97,35,1.21
鳥取県,7,0.37,0,0,3,0.16,2,0.11,2,0.11
島根県,23,1,0,0,4,0.17,3,0.13,16,0.7
岡山県,34,0.63,2,0.04,4,0.07,6,0.11,22,0.41
広島県,93,1.37,5,0.09,8,0.11,19,0.26,61,0.82
山口県,81,1.88,9,0.21,10,0.23,21,0.49,41,0.95
徳島県,40,1.74,11,0.48,2,0.09,7,0.3,20,0.87
香川県,41,1.46,0,0,7,0.25,7,0.25,27,0.96
愛媛県,52,1.63,4,0.17,14,0.39,9,0.25,25,0.69
高知県,9,0.36,0,0,0,0,2,0.08,7,0.28
福岡県,200,1.68,19,0.16,30,0.25,48,0.4,103,0.87
佐賀県,21,0.95,1,0.05,1,0.04,5,0.22,14,0.61
長崎県,25,0.57,2,0.05,10,0.23,5,0.11,8,0.18
熊本県,44,0.9,3,0.06,5,0.1,21,0.43,15,0.31
大分県,21,0.58,4,0.11,4,0.11,8,0.22,5,0.14
宮崎県,33,0.94,0,0,8,0.22,8,0.22,17,0.47
鹿児島県,56,1.1,13,0.25,11,0.22,14,0.27,18,0.35
沖縄県,7,0.22,0,0,1,0.03,1,0.03,5,0.16
,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3046,1.01,311,0.12,987,0.32,710,0.23,1038,0.33
北海道,165,1.29,15,0.14,50,0.37,53,0.39,47,0.35
青森県,59,1.69,11,0.34,22,0.59,13,0.35,13,0.35
岩手県,53,1.36,7,0.18,12,0.31,14,0.36,20,0.51
宮城県,130,2.36,24,0.44,43,0.78,29,0.53,34,0.62
秋田県,25,0.86,0,0,5,0.15,5,0.15,15,0.44
山形県,67,2.79,7,0.39,29,1.07,14,0.52,17,0.63
福島県,78,1.59,18,0.37,24,0.49,12,0.24,24,0.49
茨城県,98,1.38,10,0.16,24,0.32,21,0.28,43,0.57
栃木県,54,1.23,3,0.09,9,0.19,12,0.25,30,0.63
群馬県,48,1,7,0.2,21,0.4,10,0.19,10,0.19
埼玉県,143,0.99,17,0.19,38,0.23,46,0.28,42,0.26
千葉県,71,0.58,2,0.02,38,0.3,14,0.11,17,0.13
東京都,120,0.48,12,0.06,34,0.13,27,0.1,47,0.18
神奈川県,88,0.42,7,0.05,25,0.11,23,0.1,33,0.14
新潟県,80,1.45,13,0.24,25,0.45,16,0.29,26,0.47
富山県,52,1.86,1,0.04,13,0.45,9,0.31,29,1
石川県,31,1.07,2,0.07,13,0.45,3,0.1,13,0.45
福井県,28,1.12,5,0.2,5,0.2,7,0.28,11,0.44
山梨県,16,0.67,1,0.04,8,0.33,1,0.04,6,0.25
長野県,30,0.6,4,0.1,9,0.17,5,0.09,12,0.22
岐阜県,41,0.77,4,0.08,21,0.4,8,0.15,8,0.15
静岡県,67,0.75,5,0.06,22,0.25,16,0.18,24,0.27
愛知県,117,0.65,4,0.02,46,0.25,29,0.16,38,0.21
三重県,40,0.95,7,0.2,21,0.47,8,0.18,4,0.09
滋賀県,17,0.52,5,0.21,6,0.17,2,0.06,4,0.11
京都府,137,1.88,5,0.07,41,0.55,33,0.44,58,0.78
大阪府,154,0.8,8,0.04,49,0.25,33,0.17,64,0.33
兵庫県,156,1.28,4,0.04,56,0.44,36,0.28,60,0.47
奈良県,19,0.68,0,0,8,0.24,4,0.12,7,0.21
和歌山県,14,0.5,2,0.07,2,0.07,5,0.17,5,0.17
鳥取県,18,0.95,1,0.05,6,0.32,3,0.16,8,0.42
島根県,21,0.91,1,0.04,9,0.39,7,0.3,4,0.17
岡山県,25,0.46,2,0.04,10,0.19,7,0.13,6,0.11
広島県,95,1.4,4,0.08,25,0.34,23,0.31,43,0.58
山口県,28,0.65,6,0.14,6,0.14,5,0.12,11,0.26
徳島県,25,1.09,3,0.13,9,0.39,7,0.3,6,0.26
香川県,19,0.68,1,0.04,1,0.04,7,0.25,10,0.36
愛媛県,38,1.19,3,0.13,12,0.33,7,0.19,16,0.44
高知県,9,0.36,0,0,3,0.12,2,0.08,4,0.16
福岡県,165,1.39,32,0.27,46,0.39,38,0.32,49,0.41
佐賀県,31,1.41,1,0.05,10,0.43,9,0.39,11,0.48
長崎県,38,0.86,3,0.07,15,0.34,9,0.2,11,0.25
熊本県,42,0.86,6,0.12,13,0.27,10,0.2,13,0.27
大分県,80,2.22,16,0.44,21,0.58,21,0.58,22,0.61
宮崎県,70,2,9,0.27,33,0.92,16,0.44,12,0.33
鹿児島県,127,2.49,13,0.25,40,0.78,29,0.57,45,0.88
沖縄県,17,0.53,0,0,9,0.28,2,0.06,6,0.19
,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,20202,6.71,1609,0.61,5428,1.73,5750,1.84,7415,2.37
北海道,1335,10.43,116,1.1,324,2.38,354,2.6,541,3.98
青森県,145,4.14,12,0.38,39,1.05,44,1.19,50,1.35
岩手県,387,9.92,24,0.62,99,2.54,108,2.77,156,4
宮城県,325,5.91,31,0.56,100,1.82,94,1.71,100,1.82
秋田県,87,3,1,0.07,21,0.62,35,1.03,30,0.88
山形県,179,7.46,17,0.94,53,1.96,49,1.81,60,2.22
福島県,259,5.29,39,0.8,57,1.16,70,1.43,93,1.9
茨城県,1329,18.72,179,2.93,429,5.72,323,4.31,398,5.31
栃木県,291,6.61,27,0.82,84,1.75,82,1.71,98,2.04
群馬県,187,3.9,16,0.46,51,0.96,58,1.09,62,1.17
埼玉県,1125,7.76,72,0.8,324,1.98,331,2.02,398,2.43
千葉県,1216,9.97,69,0.66,334,2.61,343,2.68,470,3.67
東京都,1572,6.34,89,0.44,409,1.56,464,1.76,610,2.32
神奈川県,930,4.47,22,0.15,268,1.17,266,1.17,374,1.63
新潟県,668,12.15,78,1.42,161,2.93,185,3.36,244,4.44
富山県,397,14.18,18,0.64,104,3.59,120,4.14,155,5.34
石川県,221,7.62,20,0.69,51,1.76,73,2.52,77,2.66
福井県,114,4.56,8,0.32,27,1.08,30,1.2,49,1.96
山梨県,30,1.25,2,0.08,9,0.38,10,0.42,9,0.38
長野県,253,5.06,26,0.65,53,0.98,82,1.52,92,1.7
岐阜県,182,3.43,15,0.28,52,0.98,58,1.09,57,1.08
静岡県,265,2.98,19,0.21,85,0.96,68,0.76,93,1.04
愛知県,640,3.54,23,0.13,184,1.01,198,1.09,235,1.3
三重県,295,7.02,21,0.6,67,1.49,83,1.84,124,2.76
滋賀県,146,4.42,11,0.46,39,1.08,45,1.25,51,1.42
京都府,384,5.26,40,0.59,109,1.45,103,1.37,132,1.78
大阪府,730,3.78,46,0.24,190,0.98,202,1.05,292,1.51
兵庫県,488,4,15,0.14,157,1.23,128,1,188,1.47
奈良県,106,3.79,2,0.2,31,0.91,34,1,39,1.15
和歌山県,83,2.96,11,0.39,22,0.76,26,0.9,24,0.83
鳥取県,200,10.53,11,0.58,54,2.84,52,2.74,83,4.37
島根県,136,5.91,9,0.39,33,1.43,50,2.17,44,1.91
岡山県,202,3.74,31,0.57,49,0.91,52,0.96,70,1.3
広島県,404,5.94,17,0.32,95,1.28,106,1.43,186,2.51
山口県,448,10.42,56,1.3,120,2.79,117,2.72,155,3.6
徳島県,64,2.78,9,0.39,14,0.61,13,0.57,28,1.22
香川県,181,6.46,16,0.57,43,1.54,68,2.43,54,1.93
愛媛県,318,9.94,26,1.13,81,2.25,94,2.61,117,3.25
