報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,
2024年03週(01月15日～01月21日),2024年01月24日作成,,,,,,,
インフルエンザ,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,213634,43.43,62225,12.7,64091,13,87318,17.72
北海道,5181,23.23,2310,10.55,1666,7.4,1205,5.36
青森県,1753,29.71,747,12.66,583,9.88,423,7.17
岩手県,1964,32.2,789,12.93,602,9.87,573,9.39
宮城県,3660,40.22,1025,11.26,1056,11.6,1579,17.35
秋田県,2199,43.98,851,17.37,658,12.9,690,13.53
山形県,1602,37.26,462,10.74,494,11.49,646,15.02
福島県,3755,45.79,1350,16.46,1057,12.89,1348,16.44
茨城県,6763,56.36,2681,22.34,1896,15.8,2186,18.22
栃木県,2842,37.39,606,7.97,848,11.16,1388,18.26
群馬県,2970,34.94,887,10.44,857,10.08,1226,14.42
埼玉県,13561,52.56,3551,13.93,4145,15.88,5865,22.56
千葉県,11500,56.93,2919,14.45,3623,17.85,4958,24.54
東京都,14081,34.26,3164,7.81,4192,10.13,6725,16.24
神奈川県,13913,38.43,2776,7.71,4328,11.96,6809,18.71
新潟県,2948,34.28,948,11.02,823,9.57,1177,13.69
富山県,1873,39.02,498,10.38,578,12.04,797,16.6
石川県,1621,36.84,566,12.86,450,10.23,605,13.44
福井県,1595,40.9,435,11.15,513,13.15,647,16.59
山梨県,1604,39.12,346,8.44,477,11.63,781,19.05
長野県,3229,36.69,1183,13.44,899,10.22,1147,13.03
岐阜県,4306,49.49,1811,20.82,1244,14.3,1251,14.38
静岡県,5623,40.45,1611,11.59,1924,13.84,2088,15.02
愛知県,11159,57.23,3303,16.94,3428,17.58,4428,22.71
三重県,3282,45.58,995,13.82,995,13.82,1292,17.94
滋賀県,2529,42.86,881,14.93,699,11.65,949,16.08
京都府,5235,42.56,1361,11.16,1479,11.83,2395,19.63
大阪府,13177,43.06,3598,11.76,3695,12.08,5884,19.23
兵庫県,8083,40.82,1962,9.91,2263,11.43,3858,19.48
奈良県,2406,43.75,454,8.25,750,13.64,1202,21.85
和歌山県,1876,38.29,521,10.63,596,12.16,759,15.49
鳥取県,997,34.38,408,14.07,335,11.55,254,8.76
島根県,1044,27.47,443,11.66,277,7.29,324,8.53
岡山県,2861,34.06,922,10.98,882,10.5,1057,12.58
広島県,3516,31.39,1226,10.85,1030,9.2,1260,11.15
山口県,2911,43.45,752,11.22,995,14.85,1164,17.37
徳島県,1571,42.46,503,13.59,492,13.3,576,15.57
香川県,1721,36.62,651,13.85,446,9.49,624,13.28
愛媛県,2692,44.87,588,9.97,876,14.36,1228,20.13
高知県,1914,43.5,721,16.39,640,14.55,553,12.57
福岡県,11812,59.66,3504,17.7,3189,16.11,5119,25.85
佐賀県,1857,47.62,487,12.49,513,13.15,857,21.97
長崎県,3665,52.36,1186,16.94,1107,15.81,1372,19.6
熊本県,4314,53.93,1275,15.94,1370,17.13,1669,20.86
大分県,3392,58.48,1114,19.21,1075,18.53,1203,20.74
宮崎県,4452,76.76,1511,26.05,1328,22.9,1613,27.81
鹿児島県,4666,52.43,1325,14.89,1523,17.11,1818,20.43
沖縄県,3959,73.31,1018,18.85,1195,22.13,1746,32.33
,,,,,,,,
ＲＳウイルス感染症,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週
,報告,定当,報告,定当,報告,定当,報告,定当
総数,567,0.18,131,0.04,198,0.06,238,0.08
北海道,166,1.21,47,0.35,59,0.42,60,0.43
青森県,4,0.11,1,0.03,1,0.03,2,0.05
岩手県,11,0.28,1,0.03,6,0.15,4,0.1
宮城県,8,0.15,2,0.04,2,0.04,4,0.07
秋田県,1,0.03,0,0,1,0.03,0,0
山形県,3,0.11,2,0.07,0,0,1,0.04
福島県,25,0.51,6,0.12,5,0.1,14,0.29
茨城県,7,0.09,6,0.08,1,0.01,0,0
栃木県,7,0.15,1,0.02,3,0.06,3,0.06
群馬県,3,0.06,0,0,2,0.04,1,0.02
埼玉県,17,0.1,2,0.01,7,0.04,8,0.05
千葉県,13,0.1,8,0.06,4,0.03,1,0.01
東京都,14,0.05,3,0.01,5,0.02,6,0.02
神奈川県,21,0.09,1,0,15,0.07,5,0.02
新潟県,5,0.09,2,0.04,2,0.04,1,0.02
富山県,10,0.34,1,0.03,8,0.28,1,0.03
石川県,5,0.19,2,0.07,3,0.11,0,0
福井県,11,0.44,1,0.04,3,0.12,7,0.28
山梨県,3,0.13,0,0,1,0.04,2,0.08
長野県,11,0.2,0,0,6,0.11,5,0.09
岐阜県,7,0.13,3,0.06,2,0.04,2,0.04
静岡県,6,0.07,2,0.02,0,0,4,0.04
愛知県,10,0.05,1,0.01,1,0.01,8,0.04
三重県,3,0.07,1,0.02,0,0,2,0.04
滋賀県,3,0.09,1,0.03,1,0.03,1,0.03
京都府,8,0.11,3,0.04,0,0,5,0.07
大阪府,69,0.35,19,0.1,21,0.11,29,0.15
兵庫県,15,0.12,2,0.02,3,0.02,10,0.08
奈良県,3,0.09,0,0,2,0.06,1,0.03
和歌山県,10,0.33,0,0,2,0.07,8,0.27
鳥取県,2,0.11,0,0,1,0.05,1,0.05
島根県,2,0.09,0,0,1,0.04,1,0.04
