報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,
2024年05週(01月29日～02月04日),2024年02月07日作成,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,420081,85.31,62229,12.7,64106,13,87425,17.73,94820,19.22,111501,22.62
北海道,9345,41.91,2310,10.55,1666,7.4,1205,5.36,1583,7.04,2581,11.47
青森県,2570,43.56,747,12.66,583,9.88,423,7.17,392,6.64,425,7.2
岩手県,3533,57.92,789,12.93,602,9.87,573,9.39,802,13.15,767,12.57
宮城県,8015,88.08,1025,11.26,1056,11.6,1579,17.35,2144,23.56,2211,24.3
秋田県,3213,64.26,851,17.37,658,12.9,690,13.53,632,12.39,382,7.49
山形県,2825,65.7,462,10.74,494,11.49,646,15.02,656,15.26,567,13.19
福島県,5418,66.07,1350,16.46,1057,12.89,1348,16.44,1026,12.51,637,7.77
茨城県,10264,85.53,2681,22.34,1896,15.8,2186,18.22,1796,14.97,1705,14.21
栃木県,5089,66.96,606,7.97,848,11.16,1388,18.26,1251,16.46,996,13.11
群馬県,5408,63.62,887,10.44,857,10.08,1226,14.42,1235,14.53,1203,14.15
埼玉県,26263,101.4,3551,13.93,4145,15.88,5874,22.51,6336,24.28,6357,24.36
千葉県,22250,110.15,2919,14.45,3623,17.85,4958,24.54,5296,26.35,5454,26.74
東京都,30151,73.18,3164,7.81,4192,10.13,6725,16.24,7672,18.53,8398,20.29
神奈川県,30898,85.35,2776,7.71,4328,11.96,6809,18.71,7902,21.59,9083,25.16
新潟県,5818,67.65,948,11.02,823,9.57,1177,13.69,1520,17.67,1350,15.7
富山県,3436,71.58,498,10.38,578,12.04,797,16.6,795,16.56,768,16
石川県,2959,65.76,566,12.86,450,10.23,605,13.44,645,14.02,693,15.07
福井県,2913,74.69,435,11.15,513,13.15,647,16.59,658,16.87,660,16.92
山梨県,2639,64.37,346,8.44,477,11.63,781,19.05,601,14.66,434,10.59
長野県,5359,60.9,1183,13.44,899,10.22,1147,13.03,1063,12.08,1067,12.13
岐阜県,6302,72.44,1811,20.82,1244,14.3,1251,14.38,1076,12.37,920,10.57
静岡県,9603,69.09,1611,11.59,1924,13.84,2088,15.02,1972,14.19,2008,14.45
愛知県,21339,109.43,3303,16.94,3428,17.58,4428,22.71,4812,24.68,5368,27.53
三重県,6055,84.1,995,13.82,995,13.82,1292,17.94,1278,17.75,1495,20.76
滋賀県,4692,79.53,881,14.93,699,11.65,949,16.08,1066,18.07,1097,18.28
京都府,12113,98.48,1361,11.16,1479,11.83,2436,19.65,2993,24.14,3844,31
大阪府,29588,96.69,3602,11.77,3710,12.12,5901,19.28,7306,23.88,9069,29.64
兵庫県,17610,89.39,1962,9.91,2263,11.43,3858,19.48,4407,22.26,5120,25.99
奈良県,5563,101.15,454,8.25,750,13.64,1202,21.85,1428,25.96,1729,31.44
和歌山県,3647,74.43,521,10.63,596,12.16,759,15.49,796,16.24,975,19.9
鳥取県,1550,53.45,408,14.07,335,11.55,254,8.76,288,9.93,265,9.14
島根県,1670,43.95,443,11.66,277,7.29,324,8.53,246,6.47,380,10
岡山県,5531,65.85,922,10.98,882,10.5,1057,12.58,1144,13.62,1526,18.17
広島県,6737,60.15,1226,10.85,1030,9.2,1260,11.15,1384,12.25,1837,16.4
山口県,5264,78.57,752,11.22,995,14.85,1164,17.37,1031,15.39,1322,19.73
徳島県,2798,75.62,503,13.59,492,13.3,576,15.57,617,16.68,610,16.49
香川県,2793,59.43,651,13.85,446,9.49,624,13.28,448,9.53,624,13.28
愛媛県,4942,82.37,588,9.97,876,14.36,1228,20.13,1106,18.13,1144,18.75
高知県,3254,73.95,721,16.39,640,14.55,553,12.57,534,12.14,806,18.32
福岡県,30124,152.14,3504,17.7,3189,16.11,5159,26.06,6914,34.92,11358,57.36
佐賀県,4302,110.31,487,12.49,513,13.15,857,21.97,873,22.38,1572,40.31
長崎県,6723,96.04,1186,16.94,1107,15.81,1372,19.6,1190,17,1868,26.69
熊本県,8682,108.53,1275,15.94,1370,17.13,1669,20.86,1862,23.28,2506,31.33
大分県,6483,111.78,1114,19.21,1075,18.53,1203,20.74,1215,20.95,1876,32.34
