報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,
2024年02週(01月08日～01月14日),2024年01月17日作成,,,,,
インフルエンザ,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,126231,25.69,62204,12.7,64027,12.99
北海道,3976,17.91,2310,10.55,1666,7.4
青森県,1330,22.54,747,12.66,583,9.88
岩手県,1391,22.8,789,12.93,602,9.87
宮城県,2081,22.87,1025,11.26,1056,11.6
秋田県,1509,30.18,851,17.37,658,12.9
山形県,956,22.23,462,10.74,494,11.49
福島県,2407,29.35,1350,16.46,1057,12.89
茨城県,4577,38.46,2681,22.34,1896,15.93
栃木県,1454,19.13,606,7.97,848,11.16
群馬県,1744,20.52,887,10.44,857,10.08
埼玉県,7696,29.83,3551,13.93,4145,15.88
千葉県,6542,32.39,2919,14.45,3623,17.85
東京都,7348,17.97,3162,7.83,4186,10.11
神奈川県,7104,19.68,2776,7.71,4328,11.96
新潟県,1771,20.59,948,11.02,823,9.57
富山県,1076,22.42,498,10.38,578,12.04
石川県,1016,23.09,566,12.86,450,10.23
福井県,948,24.31,435,11.15,513,13.15
山梨県,823,20.07,346,8.44,477,11.63
長野県,2082,23.66,1183,13.44,899,10.22
岐阜県,3055,35.11,1811,20.82,1244,14.3
静岡県,3535,25.43,1611,11.59,1924,13.84
愛知県,6731,34.52,3303,16.94,3428,17.58
三重県,1990,27.64,995,13.82,995,13.82
滋賀県,1580,26.78,881,14.93,699,11.65
京都府,2840,23.09,1361,11.16,1479,11.83
大阪府,7298,23.85,3603,11.77,3695,12.08
兵庫県,4225,21.34,1962,9.91,2263,11.43
奈良県,1204,21.89,454,8.25,750,13.64
和歌山県,1117,22.8,521,10.63,596,12.16
鳥取県,735,25.34,400,13.79,335,11.55
島根県,720,18.95,443,11.66,277,7.29
岡山県,1804,21.48,922,10.98,882,10.5
広島県,2256,20.14,1226,10.85,1030,9.2
山口県,1747,26.07,752,11.22,995,14.85
徳島県,995,26.89,503,13.59,492,13.3
香川県,1097,23.34,651,13.85,446,9.49
愛媛県,1464,24.4,588,9.97,876,14.36
高知県,1361,30.93,721,16.39,640,14.55
福岡県,6619,33.43,3488,17.62,3131,15.81
佐賀県,1000,25.64,487,12.49,513,13.15
長崎県,2293,32.76,1186,16.94,1107,15.81
熊本県,2645,33.06,1275,15.94,1370,17.13
大分県,2189,37.74,1114,19.21,1075,18.53
宮崎県,2839,48.95,1511,26.05,1328,22.9
鹿児島県,2848,32,1325,14.89,1523,17.11
沖縄県,2213,40.98,1018,18.85,1195,22.13
,,,,,,
ＲＳウイルス感染症,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,343,0.11,131,0.04,212,0.07
北海道,106,0.78,47,0.35,59,0.42
青森県,2,0.05,1,0.03,1,0.03
岩手県,7,0.18,1,0.03,6,0.15
宮城県,4,0.07,2,0.04,2,0.04
秋田県,1,0.03,0,0,1,0.03
山形県,2,0.07,2,0.07,0,0
福島県,11,0.22,6,0.12,5,0.1
茨城県,7,0.09,6,0.08,1,0.01
栃木県,4,0.08,1,0.02,3,0.06
群馬県,2,0.04,0,0,2,0.04
埼玉県,9,0.06,2,0.01,7,0.04
千葉県,12,0.1,8,0.06,4,0.03
東京都,22,0.09,3,0.01,19,0.07
神奈川県,16,0.07,1,0,15,0.07
新潟県,4,0.07,2,0.04,2,0.04
富山県,9,0.31,1,0.03,8,0.28
石川県,5,0.19,2,0.07,3,0.11
福井県,4,0.16,1,0.04,3,0.12
山梨県,1,0.04,0,0,1,0.04
長野県,6,0.11,0,0,6,0.11
岐阜県,5,0.09,3,0.06,2,0.04
静岡県,2,0.02,2,0.02,0,0
愛知県,2,0.01,1,0.01,1,0.01
三重県,1,0.02,1,0.02,0,0
滋賀県,2,0.06,1,0.03,1,0.03
京都府,3,0.04,3,0.04,0,0
大阪府,40,0.2,19,0.1,21,0.11
兵庫県,5,0.04,2,0.02,3,0.02
奈良県,2,0.06,0,0,2,0.06
和歌山県,2,0.07,0,0,2,0.07
鳥取県,1,0.05,0,0,1,0.05
島根県,1,0.04,0,0,1,0.04
岡山県,3,0.06,2,0.04,1,0.02
広島県,5,0.07,1,0.01,4,0.06
山口県,0,0,0,0,0,0
徳島県,1,0.04,0,0,1,0.04
香川県,1,0.04,0,0,1,0.04
愛媛県,0,0,0,0,0,0
高知県,0,0,0,0,0,0
福岡県,6,0.05,0,0,6,0.05
佐賀県,5,0.22,0,0,5,0.22
長崎県,3,0.07,0,0,3,0.07
熊本県,0,0,0,0,0,0
大分県,3,0.08,3,0.08,0,0
宮崎県,6,0.17,2,0.06,4,0.11
鹿児島県,3,0.06,0,0,3,0.06
沖縄県,7,0.23,5,0.16,2,0.06
,,,,,,
咽頭結膜熱,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,9046,2.9,4524,1.46,4522,1.44
北海道,980,7.21,511,3.81,469,3.37
青森県,86,2.32,54,1.46,32,0.86
岩手県,109,2.79,53,1.36,56,1.44
宮城県,236,4.29,100,1.82,136,2.47
秋田県,36,1.13,16,0.52,20,0.61
山形県,136,4.86,78,2.79,58,2.07
福島県,209,4.27,105,2.14,104,2.12
茨城県,149,1.99,68,0.91,81,1.08
栃木県,106,2.21,57,1.19,49,1.02
群馬県,108,2.04,44,0.83,64,1.21
埼玉県,592,3.68,350,2.2,242,1.48
千葉県,364,2.89,187,1.48,177,1.4
東京都,421,1.64,178,0.7,243,0.93
神奈川県,450,1.99,222,1,228,1
新潟県,169,3.07,65,1.18,104,1.89
富山県,130,4.48,60,2.07,70,2.41
石川県,138,5.11,80,2.96,58,2.15
福井県,174,6.96,68,2.72,106,4.24
山梨県,49,2.04,24,1,25,1.04
長野県,81,1.5,34,0.63,47,0.87
岐阜県,110,2.08,55,1.04,55,1.04
静岡県,164,1.84,65,0.73,99,1.11
愛知県,318,1.75,148,0.81,170,0.93
三重県,155,3.44,74,1.64,81,1.8
滋賀県,80,2.22,54,1.5,26,0.72
京都府,147,1.96,82,1.11,65,0.86
大阪府,304,1.54,129,0.65,175,0.89
兵庫県,287,2.24,133,1.04,154,1.2
奈良県,80,2.35,36,1.06,44,1.29
和歌山県,95,3.17,55,1.83,40,1.33
鳥取県,16,0.84,6,0.32,10,0.53
島根県,51,2.22,27,1.17,24,1.04
岡山県,127,2.35,58,1.07,69,1.28
広島県,283,4.04,143,2.04,140,2
山口県,113,2.63,51,1.19,62,1.44
徳島県,54,2.35,37,1.61,17,0.74
香川県,69,2.46,42,1.5,27,0.96
愛媛県,122,3.39,72,2,50,1.35
高知県,73,2.81,40,1.54,33,1.27
福岡県,421,3.51,217,1.81,204,1.7
佐賀県,89,3.87,43,1.87,46,2
長崎県,225,5.11,111,2.52,114,2.59
熊本県,189,3.78,110,2.2,79,1.58
大分県,135,3.75,64,1.78,71,1.97
宮崎県,153,4.25,76,2.11,77,2.14
鹿児島県,370,7.25,194,3.8,176,3.45
沖縄県,93,3,48,1.55,45,1.45
,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,14261,4.57,5395,1.74,8866,2.83
北海道,1031,7.58,447,3.34,584,4.2
青森県,104,2.81,50,1.35,54,1.46
岩手県,108,2.77,41,1.05,67,1.72
宮城県,218,3.96,81,1.47,137,2.49
秋田県,50,1.56,24,0.77,26,0.79
山形県,232,8.29,73,2.61,159,5.68
福島県,251,5.12,108,2.2,143,2.92
茨城県,460,6.13,225,3,235,3.13
栃木県,173,3.6,76,1.58,97,2.02
群馬県,245,4.62,78,1.47,167,3.15
埼玉県,857,5.32,366,2.3,491,2.99
千葉県,771,6.12,300,2.38,471,3.74
東京都,1124,4.37,379,1.49,745,2.85
神奈川県,798,3.53,291,1.3,507,2.21
新潟県,321,5.84,119,2.16,202,3.67
富山県,184,6.34,53,1.83,131,4.52
石川県,104,3.85,57,2.11,47,1.74
福井県,145,5.8,62,2.48,83,3.32
山梨県,39,1.63,17,0.71,22,0.92
長野県,265,4.91,93,1.72,172,3.19
岐阜県,82,1.55,27,0.51,55,1.04
静岡県,353,3.97,131,1.47,222,2.49
愛知県,525,2.88,211,1.16,314,1.73
三重県,211,4.69,67,1.49,144,3.2
滋賀県,69,1.92,28,0.78,41,1.14
京都府,226,3.01,78,1.05,148,1.95
大阪府,813,4.13,302,1.53,511,2.59
兵庫県,475,3.71,189,1.48,286,2.23
奈良県,117,3.44,46,1.35,71,2.09
和歌山県,83,2.77,37,1.23,46,1.53
鳥取県,128,6.74,36,1.89,92,4.84
島根県,64,2.78,25,1.09,39,1.7
岡山県,153,2.83,65,1.2,88,1.63
広島県,283,4.04,96,1.37,187,2.67
山口県,274,6.37,128,2.98,146,3.4
徳島県,46,2,19,0.83,27,1.17
香川県,84,3,35,1.25,49,1.75
愛媛県,220,6.11,79,2.19,141,3.81
高知県,129,4.96,36,1.38,93,3.58
福岡県,977,8.14,292,2.43,685,5.71
佐賀県,123,5.35,35,1.52,88,3.83
長崎県,196,4.45,64,1.45,132,3
熊本県,225,4.5,80,1.6,145,2.9
大分県,184,5.11,69,1.92,115,3.19
宮崎県,227,6.31,91,2.53,136,3.78
鹿児島県,306,6,106,2.08,200,3.92
沖縄県,208,6.71,83,2.68,125,4.03
,,,,,,
感染性胃腸炎,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,25552,8.19,8781,2.83,16771,5.35
北海道,402,2.96,159,1.19,243,1.75
青森県,288,7.78,95,2.57,193,5.22
岩手県,289,7.41,81,2.08,208,5.33
宮城県,344,6.25,116,2.11,228,4.15
秋田県,95,2.97,35,1.13,60,1.82
山形県,146,5.21,36,1.29,110,3.93
福島県,207,4.22,73,1.49,134,2.73
茨城県,573,7.64,218,2.91,355,4.73
栃木県,282,5.88,103,2.15,179,3.73
群馬県,373,7.04,119,2.25,254,4.79
埼玉県,1707,10.6,526,3.31,1181,7.2
千葉県,1326,10.52,461,3.66,865,6.87
東京都,2953,11.49,911,3.59,2042,7.82
神奈川県,2192,9.7,705,3.16,1487,6.49
新潟県,199,3.62,68,1.24,131,2.38
富山県,213,7.34,99,3.41,114,3.93
石川県,312,11.56,108,4,204,7.56
福井県,226,9.04,81,3.24,145,5.8
山梨県,129,5.38,49,2.04,80,3.33
長野県,327,6.06,110,2.04,217,4.02
岐阜県,262,4.94,73,1.38,189,3.57
静岡県,647,7.27,252,2.83,395,4.44
愛知県,1087,5.97,349,1.92,738,4.05
三重県,358,7.96,118,2.62,240,5.33
滋賀県,214,5.94,58,1.61,156,4.33
京都府,353,4.71,112,1.51,241,3.17
大阪府,1401,7.11,488,2.48,913,4.63
兵庫県,1070,8.36,342,2.67,728,5.69
奈良県,262,7.71,73,2.15,189,5.56
和歌山県,176,5.87,58,1.93,118,3.93
鳥取県,125,6.58,33,1.74,92,4.84
島根県,248,10.78,72,3.13,176,7.65
岡山県,419,7.76,177,3.28,242,4.48
広島県,678,9.69,237,3.39,441,6.3
山口県,407,9.47,142,3.3,265,6.16
徳島県,171,7.43,86,3.74,85,3.7
香川県,429,15.32,154,5.5,275,9.82
愛媛県,448,12.44,178,4.94,270,7.3
高知県,95,3.65,18,0.69,77,2.96
福岡県,1159,9.66,484,4.03,675,5.63
佐賀県,157,6.83,68,2.96,89,3.87
長崎県,286,6.5,125,2.84,161,3.66
熊本県,568,11.36,197,3.94,371,7.42
大分県,502,13.94,212,5.89,290,8.06
宮崎県,584,16.22,205,5.69,379,10.53
鹿児島県,735,14.41,255,5,480,9.41
沖縄県,128,4.13,62,2,66,2.13
,,,,,,
水痘,,,,,,
,総数,総数,01週,01週,02週,02週
,報告,定当,報告,定当,報告,定当
総数,901,0.29,452,0.15,449,0.14
北海道,47,0.35,17,0.13,30,0.22
青森県,13,0.35,5,0.14,8,0.22
岩手県,17,0.44,7,0.18,10,0.26
宮城県,22,0.4,10,0.18,12,0.22
秋田県,18,0.56,11,0.35,7,0.21
山形県,9,0.32,5,0.18,4,0.14
福島県,19,0.39,5,0.1,14,0.29
茨城県,14,0.19,8,0.11,6,0.08
栃木県,1,0.02,0,0,1,0.02
群馬県,12,0.23,3,0.06,9,0.17
埼玉県,70,0.43,29,0.18,41,0.25
千葉県,30,0.24,15,0.12,15,0.12
東京都,81,0.32,31,0.12,50,0.19
神奈川県,109,0.48,69,0.31,40,0.17
新潟県,19,0.35,10,0.18,9,0.16
富山県,15,0.52,3,0.1,12,0.41
石川県,18,0.67,7,0.26,11,0.41
福井県,3,0.12,1,0.04,2,0.08
山梨県,1,0.04,0,0,1,0.04
長野県,4,0.07,2,0.04,2,0.04
岐阜県,4,0.08,0,0,4,0.08
静岡県,18,0.2,11,0.12,7,0.08
愛知県,28,0.15,19,0.1,9,0.05
三重県,5,0.11,5,0.11,0,0
滋賀県,10,0.28,4,0.11,6,0.17
京都府,18,0.24,7,0.09,11,0.14
大阪府,60,0.3,30,0.15,30,0.15
兵庫県,31,0.24,24,0.19,7,0.05
奈良県,4,0.12,2,0.06,2,0.06
和歌山県,4,0.13,2,0.07,2,0.07
鳥取県,2,0.11,0,0,2,0.11
島根県,8,0.35,5,0.22,3,0.13
