報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,
2025年05週(01月27日～02月02日),2025年02月05日作成,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,489603,102.28,142308,33.89,172962,35.06,90770,18.4,54620,11.07,28943,5.87
北海道,18475,85.93,6490,34.71,5957,26.83,2831,12.75,1794,8.08,1403,6.32
青森県,4859,88.35,1721,36.62,1341,23.12,729,12.57,567,9.78,501,8.64
岩手県,7241,116.79,2200,35.48,2225,35.89,1363,21.98,749,12.08,704,11.35
宮城県,9960,109.45,1519,16.69,3773,41.46,2240,24.62,1569,17.24,859,9.44
秋田県,2653,58.96,261,12.43,975,18.75,660,12.69,469,9.02,288,5.54
山形県,4907,129.13,674,25.92,1370,32.62,1127,26.83,1063,25.31,673,16.02
福島県,9767,119.11,3841,46.84,2970,36.22,1675,20.43,901,10.99,380,4.63
茨城県,15152,130.62,6018,60.18,4940,41.17,2321,19.34,1315,10.96,558,4.65
栃木県,7426,104.59,1460,28.63,3072,40.42,1428,18.79,947,12.46,519,6.83
群馬県,8848,112,1964,35.71,3121,36.72,1859,21.87,1143,13.45,761,8.95
埼玉県,24675,105,6190,45.85,9131,34.98,4629,17.74,3126,11.98,1599,6.13
千葉県,20604,104.59,4872,28.33,8101,39.91,4002,19.62,2424,11.88,1205,5.91
東京都,22282,55.98,4474,13.98,9166,21.93,4297,10.28,2759,6.6,1586,3.79
神奈川県,21438,63.24,2957,12.37,9636,26.55,4234,11.63,2863,7.8,1748,4.83
新潟県,9964,115.86,1911,21.97,3041,35.36,1954,22.72,1773,20.62,1285,14.94
富山県,4553,96.87,622,13.82,1661,34.6,1067,22.23,790,16.46,413,8.6
石川県,6363,132.56,1239,25.81,2233,46.52,1527,31.81,919,19.15,445,9.27
福井県,4332,111.08,1042,26.72,1448,37.13,936,24,598,15.33,308,7.9
山梨県,3534,86.2,786,19.17,1568,38.24,572,13.95,387,9.44,221,5.39
長野県,10644,128.24,3115,47.92,3477,39.51,1905,21.65,1412,16.05,735,8.35
岐阜県,11791,135.53,6148,70.67,2911,33.46,1425,16.38,829,9.53,478,5.49
静岡県,17844,128.37,5047,36.31,6635,47.73,3368,24.23,1840,13.24,954,6.86
愛知県,27220,140.31,10914,55.97,8374,42.94,4318,22.26,2343,12.08,1271,6.55
三重県,7028,103.35,1973,36.54,2815,39.1,1333,18.51,591,8.21,316,4.45
滋賀県,5968,106.57,2191,53.44,1934,32.23,1070,17.83,532,8.87,241,4.02
京都府,11344,92.98,3538,30.24,3950,31.85,2062,16.63,1236,10.05,558,4.5
大阪府,22019,73.15,7735,25.61,7701,25.5,3564,11.84,2014,6.69,1005,3.34
兵庫県,16867,87.85,3771,22.18,6995,35.33,3415,17.25,1783,9.01,903,4.56
奈良県,4595,95.73,496,24.8,1998,36.33,986,17.93,726,13.2,389,7.07
和歌山県,5270,112.13,1179,26.2,2098,43.71,1155,24.06,602,12.54,236,4.92
鳥取県,3211,110.72,1413,48.72,887,30.59,529,18.24,262,9.03,120,4.14
島根県,3825,100.66,1744,45.89,1053,27.71,579,15.24,305,8.03,144,3.79
岡山県,8556,101.86,2883,34.32,3016,35.9,1569,18.68,791,9.42,297,3.54
広島県,10600,95.5,3596,40.4,3766,32.19,1884,16.1,934,7.98,420,3.59
山口県,7457,111.3,1957,29.21,2907,43.39,1427,21.3,870,12.99,296,4.42
徳島県,5624,152,1566,42.32,2123,57.38,1129,30.51,590,15.95,216,5.84
香川県,5793,123.26,1749,37.21,1913,40.7,1178,25.06,629,13.38,324,6.89
愛媛県,7410,132.32,1509,34.3,3014,50.23,1681,28.02,856,14.27,350,5.83
高知県,7054,160.32,2045,46.48,2480,56.36,1414,32.14,774,17.59,341,7.75
福岡県,21925,111.29,8268,41.97,7052,35.8,3573,18.14,2121,10.77,911,4.62
佐賀県,5479,144.18,1635,45.42,1976,50.67,995,25.51,579,14.85,294,7.54
長崎県,9911,141.59,3192,45.6,3294,47.06,1769,25.27,1130,16.14,526,7.51
熊本県,11055,139.94,3782,47.87,3920,49.62,1955,24.75,970,12.28,428,5.35
大分県,7325,126.29,3147,54.26,2140,36.9,1153,19.88,645,11.12,240,4.14
宮崎県,8543,152.55,2164,41.62,3320,57.24,1835,31.64,872,15.03,352,6.07
鹿児島県,10552,118.56,3236,36.36,3560,40,2183,24.53,1177,13.22,396,4.45
沖縄県,7660,136.79,2074,37.04,1924,34.36,1865,33.3,1051,18.77,746,13.32
,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,7757,2.56,447,0.17,1070,0.34,1277,0.41,2286,0.73,2677,0.86
北海道,870,6.74,62,0.59,158,1.16,153,1.13,234,1.72,263,1.93
青森県,55,1.53,7,0.22,13,0.35,12,0.32,8,0.22,15,0.41
岩手県,74,1.9,8,0.21,7,0.18,6,0.15,11,0.28,42,1.08
宮城県,64,1.16,5,0.09,8,0.15,12,0.22,25,0.45,14,0.25
秋田県,40,1.33,5,0.33,5,0.15,7,0.21,14,0.41,9,0.26
山形県,50,2,4,0.22,5,0.19,15,0.56,12,0.44,14,0.52
福島県,128,2.61,8,0.16,14,0.29,16,0.33,52,1.06,38,0.78
茨城県,131,1.82,15,0.25,15,0.2,23,0.31,43,0.57,35,0.47
栃木県,152,3.38,11,0.33,19,0.4,35,0.73,40,0.83,47,0.98
群馬県,162,3.31,5,0.14,5,0.09,25,0.47,61,1.15,66,1.25
埼玉県,423,2.84,32,0.36,67,0.41,61,0.37,129,0.79,134,0.82
千葉県,132,1.07,9,0.09,14,0.11,13,0.1,37,0.29,59,0.46
東京都,531,2.12,17,0.08,86,0.33,93,0.35,161,0.61,174,0.66
神奈川県,368,1.74,22,0.15,56,0.24,51,0.22,109,0.48,130,0.57
新潟県,91,1.65,7,0.13,13,0.24,17,0.31,19,0.35,35,0.64
富山県,32,1.14,4,0.14,5,0.17,5,0.17,11,0.38,7,0.24
石川県,83,2.86,3,0.1,10,0.34,10,0.34,26,0.9,34,1.17
福井県,104,4.16,9,0.36,15,0.6,20,0.8,24,0.96,36,1.44
山梨県,27,1.13,0,0,3,0.13,4,0.17,9,0.38,11,0.46
長野県,96,1.88,5,0.13,14,0.26,19,0.35,28,0.52,30,0.56
岐阜県,131,2.47,5,0.09,18,0.34,16,0.3,32,0.6,60,1.13
静岡県,147,1.65,10,0.11,19,0.21,26,0.29,35,0.39,57,0.64
愛知県,259,1.43,18,0.1,50,0.27,34,0.19,67,0.37,90,0.5
三重県,201,4.79,8,0.23,32,0.71,22,0.49,81,1.8,58,1.32
滋賀県,67,2.03,4,0.17,10,0.28,15,0.42,17,0.47,21,0.58
京都府,138,1.89,11,0.16,14,0.19,27,0.36,36,0.49,50,0.67
大阪府,1056,5.47,59,0.31,165,0.85,189,0.98,310,1.61,333,1.73
兵庫県,526,4.28,11,0.1,67,0.52,110,0.86,161,1.26,177,1.38
奈良県,156,5.38,3,0.3,22,0.65,27,0.79,50,1.47,54,1.59
和歌山県,122,4.36,7,0.25,19,0.66,28,0.97,35,1.21,33,1.14
鳥取県,10,0.53,0,0,3,0.16,2,0.11,2,0.11,3,0.16
島根県,44,1.91,0,0,4,0.17,3,0.13,16,0.7,21,0.91
岡山県,50,0.93,2,0.04,4,0.07,6,0.11,22,0.41,16,0.3
