報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,
2025年01週(12月30日～01月05日),2025年01月09日作成,,,
インフルエンザ,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,141998,33.82,141998,33.82
北海道,6490,34.71,6490,34.71
青森県,1721,36.62,1721,36.62
岩手県,2200,35.48,2200,35.48
宮城県,1519,16.69,1519,16.69
秋田県,261,12.43,261,12.43
山形県,674,25.92,674,25.92
福島県,3841,46.84,3841,46.84
茨城県,6018,60.18,6018,60.18
栃木県,1460,28.63,1460,28.63
群馬県,1964,35.71,1964,35.71
埼玉県,6174,46.07,6174,46.07
千葉県,4872,28.33,4872,28.33
東京都,4474,13.81,4474,13.81
神奈川県,2948,12.44,2948,12.44
新潟県,1911,21.97,1911,21.97
富山県,622,13.82,622,13.82
石川県,1239,25.81,1239,25.81
福井県,1042,26.72,1042,26.72
山梨県,786,19.17,786,19.17
長野県,3115,47.92,3115,47.92
岐阜県,6148,70.67,6148,70.67
静岡県,5047,36.31,5047,36.31
愛知県,10914,55.97,10914,55.97
三重県,1973,36.54,1973,36.54
滋賀県,2103,52.58,2103,52.58
京都府,3538,30.24,3538,30.24
大阪府,7658,25.36,7658,25.36
兵庫県,3771,22.18,3771,22.18
奈良県,496,24.8,496,24.8
和歌山県,1179,26.2,1179,26.2
鳥取県,1413,48.72,1413,48.72
島根県,1744,45.89,1744,45.89
岡山県,2883,34.32,2883,34.32
広島県,3596,40.4,3596,40.4
山口県,1957,29.21,1957,29.21
徳島県,1566,42.32,1566,42.32
香川県,1749,37.21,1749,37.21
愛媛県,1509,34.3,1509,34.3
高知県,2045,46.48,2045,46.48
福岡県,7958,40.4,7958,40.4
佐賀県,1635,45.42,1635,45.42
長崎県,3192,45.6,3192,45.6
熊本県,3782,47.87,3782,47.87
大分県,3147,54.26,3147,54.26
宮崎県,2354,45.27,2354,45.27
鹿児島県,3236,36.36,3236,36.36
沖縄県,2074,37.04,2074,37.04
,,,,
ＲＳウイルス感染症,,,,
,総数,総数,01週,01週
,報告,定当,報告,定当
総数,446,0.17,446,0.17
北海道,62,0.59,62,0.59
青森県,7,0.22,7,0.22
岩手県,8,0.21,8,0.21
宮城県,5,0.09,5,0.09
秋田県,5,0.33,5,0.33
山形県,4,0.22,4,0.22
福島県,8,0.16,8,0.16
茨城県,15,0.25,15,0.25
栃木県,11,0.33,11,0.33
