報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,
2025年07週(02月10日～02月16日),2025年02月19日作成,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,516778,107.48,141129,33.97,170864,34.97,89615,18.34,54620,11.07,28970,5.87,18616,3.77,12964,2.63
北海道,20202,93.1,6490,34.71,5957,26.83,2831,12.75,1794,8.08,1403,6.32,963,4.34,764,3.44
青森県,5397,96.38,1721,36.62,1341,23.12,729,12.57,567,9.78,501,8.64,282,4.86,256,4.41
岩手県,8173,131.82,2200,35.48,2225,35.89,1363,21.98,749,12.08,704,11.35,554,8.94,378,6.1
宮城県,10941,120.23,1519,16.69,3773,41.46,2240,24.62,1569,17.24,859,9.44,547,6.01,434,4.77
秋田県,2954,62.85,261,12.43,975,18.75,660,12.69,469,9.02,288,5.54,187,3.6,114,2.19
山形県,5479,140.49,674,25.92,1370,32.62,1127,26.83,1063,25.31,673,16.02,357,8.5,215,5.24
福島県,10044,124,3841,46.84,2970,36.22,1675,20.43,901,10.99,380,4.69,172,2.12,105,1.3
茨城県,15768,134.77,6018,60.18,4940,41.17,2321,19.34,1315,10.96,558,4.65,330,2.75,286,2.38
栃木県,8199,113.88,1460,28.63,3072,40.42,1428,18.79,947,12.46,519,6.83,383,5.04,390,5.13
群馬県,9777,122.21,1964,35.71,3121,36.72,1859,21.87,1143,13.45,761,8.95,593,6.98,336,3.95
埼玉県,26543,109.23,6190,45.85,9131,34.98,4629,17.74,3126,11.98,1599,6.13,1097,4.2,771,2.95
千葉県,22051,110.81,4872,28.33,8101,39.91,4002,19.62,2424,11.88,1205,5.91,828,4.06,619,3.02
東京都,24096,59.64,4474,13.98,9166,21.93,4297,10.28,2759,6.6,1586,3.79,1129,2.69,685,1.63
神奈川県,23310,67.57,2957,12.37,9636,26.55,4234,11.63,2863,7.8,1748,4.83,1133,3.12,739,2.04
新潟県,11491,133.62,1911,21.97,3041,35.36,1954,22.72,1773,20.62,1285,14.94,928,10.79,599,6.97
富山県,4874,103.7,622,13.82,1661,34.6,1067,22.23,790,16.46,413,8.6,200,4.17,121,2.52
石川県,6829,142.27,1239,25.81,2233,46.52,1527,31.81,919,19.15,445,9.27,285,5.94,181,3.77
福井県,4551,116.69,1042,26.72,1448,37.13,936,24,598,15.33,308,7.9,145,3.72,74,1.9
山梨県,3625,88.41,786,19.17,1568,38.24,572,13.95,387,9.44,221,5.39,73,1.78,18,0.44
長野県,11452,136.33,3115,47.92,3477,39.51,1905,21.65,1412,16.05,735,8.35,521,6.06,287,3.26
岐阜県,12210,140.34,6148,70.67,2911,33.46,1425,16.38,829,9.53,478,5.49,242,2.78,177,2.03
静岡県,18933,136.21,5047,36.31,6635,47.73,3368,24.23,1840,13.24,954,6.86,676,4.86,413,2.97
愛知県,28449,146.64,10914,55.97,8374,42.94,4318,22.26,2343,12.08,1271,6.55,779,3.99,450,2.31
三重県,7336,106.32,1973,36.54,2815,39.1,1333,18.51,591,8.21,329,4.57,180,2.5,115,1.6
滋賀県,6189,108.58,2191,53.44,1934,32.23,1070,17.83,532,8.87,241,4.02,136,2.27,85,1.42
京都府,11830,96.97,3538,30.24,3950,31.85,2062,16.63,1236,10.05,558,4.5,299,2.41,187,1.51
大阪府,23291,77.38,7735,25.61,7701,25.5,3564,11.84,2014,6.69,1012,3.36,711,2.36,554,1.83
兵庫県,17757,91.53,3771,22.18,6995,35.33,3415,17.25,1783,9.01,903,4.56,500,2.53,390,1.97
奈良県,4965,99.3,496,24.8,1998,36.33,986,17.93,726,13.2,389,7.07,247,4.49,123,2.24
和歌山県,1166,43.19,0,0,0,0,0,0,602,12.54,236,4.92,199,4.15,129,2.69
鳥取県,3319,114.45,1413,48.72,887,30.59,529,18.24,262,9.03,120,4.14,67,2.31,41,1.41
島根県,3989,104.97,1744,45.89,1053,27.71,579,15.24,305,8.03,144,3.79,88,2.32,76,2
岡山県,8904,106,2883,34.32,3016,35.9,1569,18.68,791,9.42,297,3.54,188,2.24,160,1.9
広島県,11071,97.97,3596,40.4,3766,32.19,1884,16.1,934,7.98,420,3.59,225,1.92,246,2.1
山口県,7730,115.37,1957,29.21,2907,43.39,1427,21.3,870,12.99,296,4.42,174,2.6,99,1.48
徳島県,5787,156.41,1566,42.32,2123,57.38,1129,30.51,590,15.95,216,5.84,99,2.68,64,1.73
香川県,6137,130.57,1749,37.21,1913,40.7,1178,25.06,629,13.38,324,6.89,182,3.87,162,3.45
愛媛県,7750,135.96,1509,34.3,3014,50.23,1681,28.02,856,14.27,350,5.83,195,3.25,145,2.42
高知県,7442,169.14,2045,46.48,2480,56.36,1414,32.14,774,17.59,341,7.75,230,5.23,158,3.59
福岡県,22926,116.38,8268,41.97,7052,35.8,3573,18.14,2121,10.77,918,4.66,572,2.9,422,2.14
佐賀県,5729,150.76,1635,45.42,1976,50.67,995,25.51,579,14.85,294,7.54,160,4.1,90,2.31
